Location,Date Enacted,Policy,Criteria for Honoring Detainer,Designation
"Colorado County Jails, Colorado",Sep-14,County Jails' Decision,All county jails in Colorado will not honor ICE detainer,2
"Suffolk County, New York",Sep-14,County Sheriff's Office Decision,Will not honor ICE detainer without a warrant,2
"Sarpy County, Nebraska",Sep-14,County Sheriff's Office Decision,Will not honor ICE detainer without a warrant,2
"Lancaster County, Nebraska",Sep-14,County Sheriff's Office Decision,Will not honor ICE detainer without a warrant,2
"Washoe County, Nevada",Sep-14,County Sheriff's Office Decision,Will not honor ICE detainer unless provided with a warrant which could he issued without review by a judge,2
"Hillsborough County, Florida",Aug-14,County Sheriff's Office Decision,Will not honor ICE detainer unless provided with a federal warrant from a judge or a federal deportation order from a federal judge,2
"Boston, Massachusetts",2015-08-14,Boston Trust Act,Will not honor ICE detainer without a criminal warrant,1
"Delaware County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer without a court order,2
"Dubuque County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unless a judge has approved the move with a probable cause warrant,2
"Allamakee County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unless judge has approved the move with a probable cause warrant,2
"Winneshiek County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unless a judge has approved the move with a probable cause warrant,2
"Jefferson County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Wapello County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Iowa County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Benton County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Franklin County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Marion County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Greene County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Cass County, lowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Montgomery County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Fremont County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Ida County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Pottawattamie County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Monona County, Iowa",Aug-14,County Jails' Decision,Will not honor ICE detainer unlessa judge has approved the move with a probable cause warrant,2
"Ocean County, New Jersey",Aug-14,Department of Corrections Policy,"Ocean County Department of Corrections will not honor ICE detainer unless individual has an indictable offense of the first, second, or third degree and involve one of the following offenses: Offenses for danger to the person or community;  Offenses against property; Offenses against others'; Offenses against public order, health, and decency; or Other offenses such as escape and eluding an officer or tampering with witnesses and informant",2
"Union County, New Jersey",Aug-14,County Counsel's Decision,"Will not honor ICE detainer without warrant, court order, or other legally sufficient proof of probable cause from ICE",2
"Franklin County, New York",Aug-14,County Sheriff's Office Decision,Will not honor ICE detainer without warrant,2
"St. Lawrence County, New York",Aug-14,County Sheriff's Office Decision,Will not honor ICE detainer,2
"Onondaga County, New York",Jul-14,County Sheriff's Office Decision,Onondaga County Justice Center Jail will not honor ICE detainer without a signed waniant,2
"Saratoga County, New York",Jul-14,County Sheriff's Office Decision,Will not honor ICE detainer,2
"Rensselaer County, New York",Jul-14,County Sheriff's Office Decision,Will not honor ICE detainer,2
"Wayne County, New York",Jul-14,County Sheriff's Office Decision,Will not honor ICE detainer,2
"Polk County, Iowa",Jul-14,County Sheriff's Office Decision,Will not honor ICE detainer without judge's approval,2
"Palm Beach County, Florida",Jul-14,County Sheriff's Office Decision,"Will not honor ICE detainer without judicial authority, an official order of deportation, or warrant signed by a federal judge or magistrate",2
Rhode Island,Jul-14,Department of Corrections Policy from the Governor,Will not honor ICE detainer without a warrant,3
"Hall County, Nebraska",Jul-14,County Corrections Decision,Hall County Corrections will not honor ICE detainer without a warrant,2
"Clark County, Nevada",Jul-14,County Sheriff's Office Decision,Will not honor ICE detainer without judicial determination of probable cause or warrant from a judicial officer,2
"Pinellas County, Florida",Jul-14,County Sheriff's Office Decision,Will not honor ICE detainer,2
"Middlesex County, New Jersey",Jul-14,County Decision,Will not honor ICE detainer unless an individual: Is charged with a first- or second-degree crime; Is identified as a known gang member; or Has been subject to a final order of removal by ICE,2
"Los Angeles, California",Jul-14,"Los Angeles Police, Department Decision",Los Angeles Police Department will not honor ICE detainer without a court order or arrest warrant,1
"Nassau County, New York",Jul-14,County Sheriffs Office Decision,Will not honor ICE detainerwithout a warrant,2
"Cambridge, Massachusetts",Jul-14,City Council Resolution,Will not honor ICE detainer unless in cases where immigration agents have a criminal warrant or Cambridge officials have a legitimate law enforcement purpose not related to immigration,1
"Broward County, Florida",Jul-14,County Sheriffs Office Decision,Will not honor ICE detainer without order of removal or an administrative arrest order,2
"Hernando County, Florida",Jul-14,County Sheriff's Office Decision,Will not honor ICE detainer,2
"Pasco County, Florida",Jul-14,County Sheriff's Office Decision,Will not honor ICE detainer without probable cause,2
"Travis County, Texas",Jul-14,County Sheriff's Office Decision,Will not honor ICE detainer without another accompanying criminal charge,2
"Orange County, California",Jul-14,County Sheriff's Office Decision,Will not honor ICE detainer,2
"Los Angeles County, California",Jul-14,County Sheriff's Office Decision,Will not honor ICE detainer,2
