State,Total Unauthorized Population,State_init
California," 3,019,000 ",CA
Texas," 1,470,000 ",TX
New York," 850,000 ",NY
Florida," 610,000 ",FL
Illinois," 519,000 ",IL
New Jersey," 498,000 ",NJ
Georgia," 377,000 ",GA
North Carolina," 338,000 ",NC
Virginia," 272,000 ",VA
Maryland," 253,000 ",MD
Arizona," 244,000 ",AZ
Washington," 219,000 ",WA
Massachusetts," 173,000 ",MA
Colorado," 163,000 ",CO
Pennsylvania," 137,000 ",PA
Nevada," 129,000 ",NV
Tennessee," 120,000 ",TN
Oregon," 116,000 ",OR
Connecticut," 105,000 ",CT
South Carolina," 98,000 ",SC
Michigan," 97,000 ",MI
Indiana," 94,000 ",IN
Minnesota," 85,000 ",MN
Oklahoma," 85,000 ",OK
Ohio," 83,000 ",OH
Utah," 81,000 ",UT
Wisconsin," 71,000 ",WI
Alabama," 71,000 ",AL
New Mexico," 68,000 ",NM
Louisiana," 66,000 ",LA
Kansas," 63,000 ",KS
Missouri," 57,000 ",MO
Arkansas," 56,000 ",AR
Kentucky," 45,000 ",KY
Nebraska," 38,000 ",NE
Iowa," 36,000 ",IA
Idaho," 33,000 ",ID
Rhode Island," 29,000 ",RI
District of Columbia," 27,000 ",DC
Mississippi," 25,000 ",MS
Delaware," 23,000 ",DE
Hawaii," 21,000 ",HI
New Hampshire," 9,000 ",NH
Alaska," 7,000 ",AK
Wyoming," 6,000 ",WY
West Virginia," 6,000 ",WV
Maine," 5,000 ",ME
South Dakota," 5,000 ",SD
