State,City,RDID,Candidate Name,Candidate Party,Candidate Office,Full Office Name,Electoral District,Number Elected,OCDID,Sex,Race
AR,Little Rock,RDcitycand0001,Jeff Yates,Independent,Little Rock Director,Little Rock Director Ward 4,Little Rock AR - ward 4,1,ocd-division/country:us/state:ar/place:little_rock/ward:4,Male,White
AR,Little Rock,RDcitycand0002,Roy Brooks,Independent,Little Rock Director,Little Rock Director Ward 4,Little Rock AR - ward 4,1,ocd-division/country:us/state:ar/place:little_rock/ward:4,Male,Black or African-American
AR,Little Rock,RDcitycand0003,Capi Peck,Independent,Little Rock Director,Little Rock Director Ward 4,Little Rock AR - ward 4,1,ocd-division/country:us/state:ar/place:little_rock/ward:4,Female,White
AR,Little Rock,RDcitycand0004,Jason Ferguson,Independent,Little Rock Director,Little Rock Director Position 9,Little Rock city,1,ocd-division/country:us/state:ar/place:little_rock,Male,White
AR,Little Rock,RDcitycand0005,Clayton Johnson,Independent,Little Rock Director,Little Rock Director Position 9,Little Rock city,1,ocd-division/country:us/state:ar/place:little_rock,Male,White
AR,Little Rock,RDcitycand0006,Gene Fortson,Independent,Little Rock Director,Little Rock Director Position 9,Little Rock city,1,ocd-division/country:us/state:ar/place:little_rock,Male,White
AR,Little Rock,RDcitycand0007,Molly Miller,Independent,Little Rock Director,Little Rock Director Position 10,Little Rock city,1,ocd-division/country:us/state:ar/place:little_rock,Female,White
AR,Little Rock,RDcitycand0008,Joan Adcock,Independent,Little Rock Director,Little Rock Director Position 10,Little Rock city,1,ocd-division/country:us/state:ar/place:little_rock,Female,White
AZ,Chandler,RDcitycand0009,Mark Stewart,Nonpartisan,Chandler City Council Member,Chandler City Council Member,Chandler city,1,ocd-division/country:us/state:az/place:chandler,Male,White
AZ,Chandler,RDcitycand0010,Matt Eberle,Nonpartisan,Chandler City Council Member,Chandler City Council Member,Chandler city,1,ocd-division/country:us/state:az/place:chandler,Male,White
AZ,Gilbert,RDcitycand0011,Scott Anderson,Nonpartisan,Gilbert Town Council Member,AL District Attorney Circuit 8,Gilbert town,2,ocd-division/country:us/state:az/place:gilbert,Male,White
AZ,Gilbert,RDcitycand0012,Jared Taylor,Nonpartisan,Gilbert Town Council Member,Gilbert Town Council Member,Gilbert town,2,ocd-division/country:us/state:az/place:gilbert,Male,White
AZ,Gilbert,RDcitycand0013,Jim Torgeson,Nonpartisan,Gilbert Town Council Member,Gilbert Town Council Member,Gilbert town,2,ocd-division/country:us/state:az/place:gilbert,Male,White
AZ,Gilbert,RDcitycand0014,Joel Anderson,Nonpartisan,Gilbert Town Council Member,Gilbert Town Council Member,Gilbert town,2,ocd-division/country:us/state:az/place:gilbert,Male,White
AZ,Mesa,RDcitycand0015,Shelly Allen,Nonpartisan,Mesa City Council Member,Mesa City Council Member District 2,Mesa AZ City Council district 2,1,ocd-division/country:us/state:az/place:mesa/council_district:2,Female,White
AZ,Mesa,RDcitycand0016,Jeremy Whittaker,Nonpartisan,Mesa City Council Member,Mesa City Council Member District 2,Mesa AZ City Council district 2,1,ocd-division/country:us/state:az/place:mesa,Male,White
