State,County,All,Yes,No
Alabama,All,9943,4482.0,5461.0
Alabama,Autauga County,67,45.0,22.0
Alabama,Baldwin County,738,401.0,337.0
Alabama,Barbour County,11,5.0,6.0
Alabama,Bibb County,14,13.0,1.0
Alabama,Blount County,43,15.0,28.0
Alabama,Bullock County,8,4.0,4.0
Alabama,Butler County,22,16.0,6.0
Alabama,Calhoun County,109,31.0,78.0
Alabama,Chambers County,41,33.0,8.0
Alabama,Cherokee County,22,8.0,14.0
Alabama,Chilton County,342,217.0,125.0
Alabama,Clarke County,10,6.0,4.0
Alabama,Clay County,12,2.0,10.0
Alabama,Cleburne County,9,4.0,5.0
Alabama,Coffee County,186,140.0,46.0
Alabama,Colbert County,11,,11.0
Alabama,Conecuh County,3,3.0,
Alabama,Coosa County,19,15.0,4.0
Alabama,Covington County,22,15.0,7.0
Alabama,Crenshaw County,5,5.0,
Alabama,Cullman County,187,82.0,105.0
Alabama,Dale County,115,65.0,50.0
Alabama,Dallas County,70,41.0,29.0
Alabama,DeKalb County,256,113.0,143.0
Alabama,Elmore County,89,55.0,34.0
Alabama,Escambia County,26,9.0,17.0
Alabama,Etowah County,413,273.0,140.0
Alabama,Fayette County,5,3.0,2.0
Alabama,Franklin County,87,5.0,82.0
Alabama,Geneva County,61,48.0,13.0
Alabama,Hale County,46,18.0,28.0
Alabama,Henry County,13,8.0,5.0
Alabama,Houston County,187,109.0,78.0
Alabama,Jackson County,123,23.0,100.0
Alabama,Jefferson County,508,41.0,467.0
Alabama,Lamar County,6,3.0,3.0
Alabama,Lauderdale County,91,35.0,56.0
Alabama,Lawrence County,32,8.0,24.0
Alabama,Lee County,348,200.0,148.0
Alabama,Limestone County,356,131.0,225.0
Alabama,Lowndes County,2,1.0,1.0
Alabama,Macon County,8,6.0,2.0
Alabama,Madison County,664,309.0,355.0
Alabama,Marengo County,1,1.0,
Alabama,Marion County,30,6.0,24.0
Alabama,Marshall County,431,161.0,270.0
Alabama,Mobile County,482,299.0,183.0
Alabama,Montgomery County,1199,581.0,618.0
Alabama,Morgan County,355,67.0,288.0
Alabama,Pickens County,331,220.0,111.0
Alabama,Pike County,16,11.0,5.0
Alabama,Randolph County,21,14.0,7.0
Alabama,Russell County,47,26.0,21.0
Alabama,Shelby County,288,34.0,254.0
Alabama,St. Clair County,40,1.0,39.0
Alabama,Talladega County,783,332.0,451.0
Alabama,Tallapoosa County,191,127.0,64.0
Alabama,Tuscaloosa County,285,30.0,255.0
Alabama,Walker County,30,,30.0
Alabama,Washington County,8,4.0,4.0
Alabama,Wilcox County,5,4.0,1.0
Alabama,Winston County,13,,13.0
Alaska,Aleutians West Census Area,7,3.0,4.0
Alaska,Anchorage Borough,832,261.0,571.0
Alaska,Fairbanks North Star Borough,22,10.0,12.0
Alaska,Juneau Borough,17,9.0,8.0
Alaska,Kenai Peninsula Borough,15,5.0,10.0
Alaska,Ketchikan Gateway Borough,12,3.0,9.0
Alaska,Kodiak Island Borough,9,2.0,7.0
Alaska,Matanuska-Susitna Borough,31,15.0,16.0
Alaska,Nome Census Area,1,1.0,
Arizona,All,97414,64910.0,32504.0
Arizona,Apache County,132,96.0,36.0
Arizona,Cochise County,444,208.0,236.0
Arizona,Coconino County,1033,797.0,236.0
Arizona,Gila County,300,126.0,174.0
Arizona,Graham County,1115,411.0,704.0
Arizona,Greenlee County,4,2.0,2.0
Arizona,La Paz County,172,119.0,53.0
Arizona,Maricopa County,76166,53043.0,23123.0
Arizona,Mohave County,599,418.0,181.0
Arizona,Navajo County,798,622.0,176.0
Arizona,Pima County,9982,5754.0,4228.0
Arizona,Pinal County,3869,1622.0,2247.0
Arizona,Santa Cruz County,562,244.0,318.0
Arizona,Yavapai County,1759,1207.0,552.0
Arizona,Yuma County,479,241.0,238.0
Arkansas,All,9584,3545.0,6039.0
Arkansas,Arkansas County,74,17.0,57.0
Arkansas,Ashley County,46,6.0,40.0
Arkansas,Baxter County,29,9.0,20.0
Arkansas,Benton County,1196,764.0,432.0
Arkansas,Boone County,24,11.0,13.0
Arkansas,Calhoun County,2,1.0,1.0
Arkansas,Carroll County,231,86.0,145.0
Arkansas,Chicot County,24,7.0,17.0
Arkansas,Clark County,31,17.0,14.0
Arkansas,Clay County,14,3.0,11.0
Arkansas,Cleburne County,59,19.0,40.0
Arkansas,Cleveland County,17,1.0,16.0
Arkansas,Columbia County,14,6.0,8.0
Arkansas,Conway County,17,4.0,13.0
Arkansas,Craighead County,386,137.0,249.0
Arkansas,Crawford County,152,44.0,108.0
Arkansas,Crittenden County,44,13.0,31.0
Arkansas,Dallas County,42,11.0,31.0
Arkansas,Desha County,1,1.0,
Arkansas,Drew County,13,4.0,9.0
Arkansas,Faulkner County,151,67.0,84.0
Arkansas,Franklin County,36,2.0,34.0
Arkansas,Garland County,109,44.0,65.0
Arkansas,Grant County,7,3.0,4.0
Arkansas,Greene County,8,5.0,3.0
Arkansas,Hempstead County,164,35.0,129.0
Arkansas,Hot Spring County,17,2.0,15.0
Arkansas,Howard County,56,26.0,30.0
Arkansas,Independence County,75,23.0,52.0
Arkansas,Izard County,16,6.0,10.0
Arkansas,Jackson County,117,41.0,76.0
Arkansas,Jefferson County,133,31.0,102.0
Arkansas,Johnson County,164,42.0,122.0
Arkansas,Lafayette County,5,2.0,3.0
Arkansas,Lawrence County,5,,5.0
Arkansas,Lee County,16,4.0,12.0
Arkansas,Lincoln County,145,43.0,102.0
Arkansas,Logan County,12,3.0,9.0
Arkansas,Lonoke County,67,22.0,45.0
Arkansas,Madison County,10,7.0,3.0
Arkansas,Marion County,7,2.0,5.0
Arkansas,Miller County,59,18.0,41.0
Arkansas,Mississippi County,45,8.0,37.0
Arkansas,Monroe County,6,2.0,4.0
Arkansas,Montgomery County,11,3.0,8.0
Arkansas,Nevada County,40,22.0,18.0
Arkansas,Ouachita County,6,,6.0
Arkansas,Perry County,12,7.0,5.0
Arkansas,Phillips County,2,,2.0
Arkansas,Pike County,56,20.0,36.0
Arkansas,Poinsett County,11,2.0,9.0
Arkansas,Polk County,45,16.0,29.0
Arkansas,Pope County,127,36.0,91.0
Arkansas,Prairie County,3,1.0,2.0
Arkansas,Pulaski County,851,369.0,482.0
Arkansas,Randolph County,2,1.0,1.0
Arkansas,Saline County,706,232.0,474.0
Arkansas,Scott County,44,13.0,31.0
Arkansas,Searcy County,2,,2.0
Arkansas,Sebastian County,785,225.0,560.0
Arkansas,Sevier County,294,61.0,233.0
Arkansas,Sharp County,6,3.0,3.0
Arkansas,St. Francis County,1471,303.0,1168.0
Arkansas,Stone County,15,10.0,5.0
Arkansas,Union County,78,16.0,62.0
Arkansas,Van Buren County,9,,9.0
Arkansas,Washington County,1058,556.0,502.0
Arkansas,White County,103,49.0,54.0
Arkansas,Woodruff County,1,1.0,
California,Alameda County,15203,10417.0,4786.0
California,All,440034,255245.0,184789.0
