FIPS,fips_county,countyname,Reporting,trump,clinton,johnson,Others,stein,Darrell Castle,Rocky De La Fuente,mcmullin,Lynn S. Kahn,Gloria La Riva,Christopher Robert Keniston,Mike Smith,Michael A. Maturen,Rod Silva,Ryan Alan Scott,Alyson Kennedy,Laurence Kotlikoff,Bradford Lyttle,Frank Atwood,Emidio Soltysik,Scott Copeland,Jerry White,Monica Moorehead,Richard Duncan,Peter Skewes,Rocky Giordani,total_votes,state,ind_cand
02000,AK,"Alaska, AK",99.55,130415,93007,14593,0,4445,3156,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246588,AK,23166
01107,"Pickens County, AL","Pickens, AL",100.0,5456,3972,49,46,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9542,AL,114
01007,"Bibb County, AL","Bibb, AL",100.0,6738,1874,124,66,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8819,AL,207
01079,"Lawrence County, AL","Lawrence, AL",100.0,10833,3627,250,88,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14829,AL,369
01115,"St. Clair County, AL","St. Clair, AL",100.0,31651,5589,684,346,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38400,AL,1160
01109,"Pike County, AL","Pike, AL",100.0,7693,5056,257,114,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13168,AL,419
01091,"Marengo County, AL","Marengo, AL",100.0,5233,5615,104,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10994,AL,146
01069,"Houston County, AL","Houston, AL",100.0,30728,10664,779,324,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42639,AL,1247
01003,"Baldwin County, AL","Baldwin, AL",100.0,72883,18458,2464,954,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95215,AL,3874
01021,"Chilton County, AL","Chilton, AL",100.0,15081,2911,228,97,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18369,AL,377
01075,"Lamar County, AL","Lamar, AL",100.0,5823,1036,62,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6966,AL,107
01133,"Winston County, AL","Winston, AL",100.0,9228,872,131,53,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10313,AL,213
01057,"Fayette County, AL","Fayette, AL",100.0,6712,1362,109,42,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8249,AL,175
01053,"Escambia County, AL","Escambia, AL",100.0,9935,4605,188,80,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14845,AL,305
01123,"Tallapoosa County, AL","Tallapoosa, AL",100.0,13594,5519,233,88,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19486,AL,373
01129,"Washington County, AL","Washington, AL",100.0,6042,2374,73,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8533,AL,117
01049,"DeKalb County, AL","DeKalb, AL",100.0,21405,3622,458,189,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25826,AL,799
01095,"Marshall County, AL","Marshall, AL",100.0,29233,4917,678,330,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35316,AL,1166
01087,"Macon County, AL","Macon, AL",100.0,1431,7566,69,25,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9140,AL,143
01131,"Wilcox County, AL","Wilcox, AL",100.0,1742,4339,22,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6123,AL,42
01009,"Blount County, AL","Blount, AL",100.0,22859,2156,338,146,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25588,AL,573
01037,"Coosa County, AL","Coosa, AL",100.0,3381,1782,53,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5252,AL,89
01025,"Clarke County, AL","Clarke, AL",100.0,7140,5749,99,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13031,AL,142
01121,"Talladega County, AL","Talladega, AL",100.0,20614,12121,411,155,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33407,AL,672
01059,"Franklin County, AL","Franklin, AL",100.0,9466,2197,238,85,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12040,AL,377
01011,"Bullock County, AL","Bullock, AL",100.0,1140,3530,22,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4710,AL,40
01031,"Coffee County, AL","Coffee, AL",100.0,15875,4221,396,171,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20767,AL,671
01033,"Colbert County, AL","Colbert, AL",100.0,16746,7312,511,239,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24915,AL,857
01071,"Jackson County, AL","Jackson, AL",100.0,16672,3673,393,156,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20984,AL,639
01093,"Marion County, AL","Marion, AL",100.0,11274,1432,181,71,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12984,AL,278
01081,"Lee County, AL","Lee, AL",100.0,34617,21230,2030,950,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59191,AL,3344
01077,"Lauderdale County, AL","Lauderdale, AL",100.0,27899,9952,987,465,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39525,AL,1674
01035,"Conecuh County, AL","Conecuh, AL",100.0,3420,3080,51,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6585,AL,85
01043,"Cullman County, AL","Cullman, AL",100.0,32989,3798,687,265,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37873,AL,1086
01013,"Butler County, AL","Butler, AL",100.0,4901,3726,65,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8732,AL,105
01039,"Covington County, AL","Covington, AL",100.0,13267,2387,183,67,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15940,AL,286
01041,"Crenshaw County, AL","Crenshaw, AL",100.0,4513,1664,65,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6267,AL,90
01063,"Greene County, AL","Greene, AL",100.0,838,4013,13,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4880,AL,29
01045,"Dale County, AL","Dale, AL",100.0,13808,4413,350,116,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18749,AL,528
01023,"Choctaw County, AL","Choctaw, AL",100.0,4106,3109,52,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7292,AL,77
01017,"Chambers County, AL","Chambers, AL",100.0,7843,5784,168,61,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13900,AL,273
01089,"Madison County, AL","Madison, AL",100.0,89520,62822,6621,3172,1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163389,AL,11047
01127,"Walker County, AL","Walker, AL",100.0,24266,4497,455,159,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29472,AL,709
01099,"Monroe County, AL","Monroe, AL",100.0,5795,4332,88,39,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10271,AL,144
01125,"Tuscaloosa County, AL","Tuscaloosa, AL",100.0,47723,31762,1873,952,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82700,AL,3215
01113,"Russell County, AL","Russell, AL",100.0,9210,9579,281,118,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19256,AL,467
01111,"Randolph County, AL","Randolph, AL",100.0,7705,2291,124,48,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10187,AL,191
01105,"Perry County, AL","Perry, AL",100.0,1407,3824,23,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5278,AL,47
01027,"Clay County, AL","Clay, AL",100.0,5245,1237,93,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6624,AL,142
01117,"Shelby County, AL","Shelby, AL",100.0,73020,22977,2965,1812,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101254,AL,5257
01019,"Cherokee County, AL","Cherokee, AL",100.0,8953,1547,147,60,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10733,AL,233
01073,"Jefferson County, AL","Jefferson, AL",100.0,134768,156873,6645,4351,1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304191,AL,12550
01083,"Limestone County, AL","Limestone, AL",100.0,29067,9468,1055,502,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40294,AL,1759
01047,"Dallas County, AL","Dallas, AL",100.0,5789,12836,96,47,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18792,AL,167
01119,"Sumter County, AL","Sumter, AL",100.0,1581,4746,57,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6411,AL,84
01015,"Calhoun County, AL","Calhoun, AL",100.0,32865,13242,1116,379,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47864,AL,1757
01103,"Morgan County, AL","Morgan, AL",100.0,37486,11254,1168,518,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50644,AL,1904
01061,"Geneva County, AL","Geneva, AL",100.0,9994,1525,149,66,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11758,AL,239
01051,"Elmore County, AL","Elmore, AL",100.0,27634,8443,738,333,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37260,AL,1183
01097,"Mobile County, AL","Mobile, AL",100.0,95116,72186,3291,1353,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172737,AL,5435
01085,"Lowndes County, AL","Lowndes, AL",100.0,1751,4883,32,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6684,AL,50
