,State,State_init,countyname,fips_countyname_county,clinton,trump,total_votes,County,total_detained,ICE_custody,No_ICE_custody,pct_ice,pct_clinton,dem_votes_per_custody,dem_excess_per_custody,test
11069,Virginia,VA,"Arlington, VA",Arlington County,92016,20186,121339,Arlington County,1705,1379.0,326.0,0.8087976539589443,0.7583382094792276,66.72661348803481,52.088469905728786,0.6133421647342258
1971,Colorado,CO,"Boulder, CO",Boulder County,132334,41396,188145,Boulder County,1235,954.0,281.0,0.7724696356275303,0.7033617688484946,138.71488469601678,95.32285115303984,0.5433256092967318
11459,Wisconsin,WI,"Dane, WI",Dane County,217697,71275,309354,Dane County,1066,817.0,249.0,0.7664165103189493,0.7037148380172876,266.4589963280294,179.21909424724603,0.5393386704128743
1338,California,CA,"Alameda, CA",Alameda County,514842,95922,659543,Alameda County,15203,10417.0,4786.0,0.6851937117674143,0.7806041455977851,49.42325045598541,40.21503311894019,0.5348650519431775
7101,Pennsylvania,PA,"Philadelphia, PA",Philadelphia County,584025,108748,709618,Philadelphia County,4591,2961.0,1630.0,0.6449575255935526,0.8230132268347196,197.23910840932118,160.51232691658223,0.5308085743100859
11345,Washington,WA,"King, WA",King County,718322,216339,1028450,King County,8266,6236.0,2030.0,0.7544156786837648,0.6984510671398707,115.18954457985889,80.49759461193072,0.5269224358437253
7152,South Carolina,SC,"Allendale, SC",Allendale County,2735,789,3592,Allendale County,32,22.0,10.0,0.6875,0.7614142538975501,124.31818181818181,88.45454545454545,0.5234722995545658
648,California,CA,"San Mateo, CA",San Mateo County,237882,57929,314384,San Mateo County,8347,5588.0,2759.0,0.6694620821852163,0.7566606443075984,42.57015032211883,32.20347172512527,0.5065556104457721
6957,Oregon,OR,"Washington, OR",Washington County,153251,83197,269232,Washington County,4821,4202.0,619.0,0.8716034017838623,0.5692153978724669,36.4709662065683,16.671584959543075,0.4961300771333968
4867,Minnesota,MN,"Ramsey, MN",Ramsey County,177738,70894,273143,Ramsey County,1958,1487.0,471.0,0.7594484167517875,0.6507140948148039,119.52790854068594,71.85205110961668,0.4941837890651754
2143,Delaware,DE,"New Castle, DE",New Castle County,162919,85525,262979,New Castle County,881,702.0,179.0,0.7968217934165721,0.6195133451720479,232.07834757834758,110.24786324786325,0.4936417347454911
5781,New Jersey,NJ,"Hudson, NJ",Hudson County,163917,49043,220542,Hudson County,3000,1959.0,1041.0,0.653,0.7432461844002503,83.67381316998468,58.63910158244002,0.4853397584133634
738,California,CA,"San Francisco, CA",San Francisco County,345084,37688,408541,San Francisco County,8908,5117.0,3791.0,0.5744274809160306,0.8446740963575259,67.43873363298808,60.0734805550127,0.4852040133656781
