,State,State_init,countyname,fips_countyname_county,clinton,trump,total_votes,County,total_detained,ICE_custody,No_ICE_custody,pct_ice,pct_clinton,dem_votes_per_custody,dem_excess_per_custody
1881,Washington,WA,"Adams, WA",Adams County,1299.0,3083.0,4782.0,Adams County,232.0,175.0,57.0,0.754310344828,0.271643663739,7.42285714286,-10.1942857143
1882,Washington,WA,"Asotin, WA",Asotin County,3134.0,5741.0,9974.0,Asotin County,11.0,6.0,5.0,0.545454545455,0.314216964107,522.333333333,-434.5
1883,Washington,WA,"Benton, WA",Benton County,26360.0,47194.0,83592.0,Benton County,1695.0,1322.0,373.0,0.77994100295,0.315341180974,19.9394856278,-15.7594553707
1884,Washington,WA,"Chelan, WA",Chelan County,13032.0,18114.0,34433.0,Chelan County,1817.0,1507.0,310.0,0.829389102917,0.378474138181,8.64764432648,-3.37226277372
1885,Washington,WA,"Clallam, WA",Clallam County,17677.0,18794.0,40533.0,Clallam County,25.0,16.0,9.0,0.64,0.43611378383,1104.8125,-69.8125
1886,Washington,WA,"Clark, WA",Clark County,92757.0,92441.0,208485.0,Clark County,1608.0,1233.0,375.0,0.766791044776,0.444909705734,75.2287104623,0.256285482563
1887,Washington,WA,"Columbia, WA",Columbia County,526.0,1497.0,2229.0,Columbia County,2.0,2.0,,1.0,0.235980260206,263.0,-485.5
1888,Washington,WA,"Cowlitz, WA",Cowlitz County,17908.0,24185.0,47142.0,Cowlitz County,623.0,504.0,119.0,0.808988764045,0.379873573459,35.5317460317,-12.4543650794
1889,Washington,WA,"Ferry, WA",Ferry County,1098.0,2202.0,3644.0,Ferry County,1.0,,1.0,,0.301317233809,,
1890,Washington,WA,"Franklin, WA",Franklin County,8886.0,13206.0,24614.0,Franklin County,3054.0,2524.0,530.0,0.826457105435,0.361014057041,3.5206022187,-1.71156893819
1891,Washington,WA,"Garfield, WA",Garfield County,279.0,851.0,1266.0,Garfield County,10.0,8.0,2.0,0.8,0.220379146919,34.875,-71.5
1892,Washington,WA,"Grant, WA",Grant County,7810.0,18518.0,29258.0,Grant County,1089.0,849.0,240.0,0.779614325069,0.266935538998,9.19905771496,-12.6124852768
1893,Washington,WA,"Grays Harbor, WA",Grays Harbor County,12020.0,14067.0,29301.0,Grays Harbor County,478.0,363.0,115.0,0.759414225941,0.410224907,33.1129476584,-5.6391184573
1894,Washington,WA,"Island, WA",Island County,20960.0,18465.0,44273.0,Island County,37.0,28.0,9.0,0.756756756757,0.473426241727,748.571428571,89.1071428571
1895,Washington,WA,"Jefferson, WA",Jefferson County,12656.0,6037.0,20879.0,Jefferson County,21.0,12.0,9.0,0.571428571429,0.606159298817,1054.66666667,551.583333333
1896,Washington,WA,"King, WA",King County,718322.0,216339.0,1028450.0,King County,8266.0,6236.0,2030.0,0.754415678684,0.69845106714,115.18954458,80.4975946119
1897,Washington,WA,"Kitsap, WA",Kitsap County,63156.0,49018.0,128770.0,Kitsap County,488.0,449.0,39.0,0.920081967213,0.490455851518,140.659242762,31.4877505568
1898,Washington,WA,"Kittitas, WA",Kittitas County,7489.0,10100.0,19615.0,Kittitas County,245.0,185.0,60.0,0.755102040816,0.38179964313,40.4810810811,-14.1135135135
1899,Washington,WA,"Klickitat, WA",Klickitat County,4194.0,5789.0,11074.0,Klickitat County,103.0,77.0,26.0,0.747572815534,0.378724941304,54.4675324675,-20.7142857143
1900,Washington,WA,"Lewis, WA",Lewis County,9654.0,21992.0,35199.0,Lewis County,603.0,516.0,87.0,0.855721393035,0.274269155374,18.7093023256,-23.9108527132
1901,Washington,WA,"Lincoln, WA",Lincoln County,1244.0,4108.0,5861.0,Lincoln County,10.0,8.0,2.0,0.8,0.212250469203,155.5,-358.0
1902,Washington,WA,"Mason, WA",Mason County,11993.0,13677.0,29003.0,Mason County,1304.0,841.0,463.0,0.644938650307,0.41350894735,14.2604042806,-2.00237812128
1903,Washington,WA,"Okanogan, WA",Okanogan County,6298.0,9610.0,17556.0,Okanogan County,51.0,27.0,24.0,0.529411764706,0.358737753475,233.259259259,-122.666666667
1904,Washington,WA,"Pacific, WA",Pacific County,4620.0,5360.0,10972.0,Pacific County,134.0,108.0,26.0,0.805970149254,0.421071819176,42.7777777778,-6.85185185185
1905,Washington,WA,"Pend Oreille, WA",Pend Oreille County,1934.0,4373.0,7016.0,Pend Oreille County,5.0,3.0,2.0,0.6,0.275655644242,644.666666667,-813.0
1906,Washington,WA,"Pierce, WA",Pierce County,172538.0,146824.0,360017.0,Pierce County,2754.0,2277.0,477.0,0.826797385621,0.479249590992,75.774264383,11.2929292929
1907,Washington,WA,"San Juan, WA",San Juan County,7172.0,2688.0,11134.0,San Juan County,20.0,15.0,5.0,0.75,0.644153044728,478.133333333,298.933333333
1908,Washington,WA,"Skagit, WA",Skagit County,26690.0,24736.0,58059.0,Skagit County,300.0,249.0,51.0,0.83,0.459704783066,107.18875502,7.84738955823
1909,Washington,WA,"Skamania, WA",Skamania County,2232.0,2928.0,5829.0,Skamania County,26.0,22.0,4.0,0.846153846154,0.382913021101,101.454545455,-31.6363636364
1910,Washington,WA,"Snohomish, WA",Snohomish County,185227.0,128255.0,354734.0,Snohomish County,3319.0,2817.0,502.0,0.848749623381,0.522157447552,65.7532836351,20.2243521477
1911,Washington,WA,"Spokane, WA",Spokane County,93767.0,113435.0,236050.0,Spokane County,326.0,205.0,121.0,0.628834355828,0.397233636941,457.4,-95.9414634146
1912,Washington,WA,"Stevens, WA",Stevens County,5767.0,15161.0,23395.0,Stevens County,6.0,4.0,2.0,0.666666666667,0.246505663603,1441.75,-2348.5
1913,Washington,WA,"Thurston, WA",Thurston County,68798.0,48624.0,134191.0,Thurston County,400.0,333.0,67.0,0.8325,0.512687139972,206.600600601,60.5825825826
1914,Washington,WA,"Wahkiakum, WA",Wahkiakum County,832.0,1344.0,2429.0,Wahkiakum County,4.0,4.0,,1.0,0.342527789214,208.0,-128.0
1915,Washington,WA,"Walla Walla, WA",Walla Walla County,9694.0,13651.0,26228.0,Walla Walla County,310.0,252.0,58.0,0.812903225806,0.369605002288,38.4682539683,-15.7023809524
1916,Washington,WA,"Whatcom, WA",Whatcom County,60340.0,40599.0,113339.0,Whatcom County,266.0,206.0,60.0,0.774436090226,0.532385145449,292.912621359,95.8300970874
1917,Washington,WA,"Whitman, WA",Whitman County,8146.0,7403.0,18028.0,Whitman County,17.0,14.0,3.0,0.823529411765,0.451852673619,581.857142857,53.0714285714
1918,Washington,WA,"Yakima, WA",Yakima County,31291.0,41735.0,79741.0,Yakima County,4507.0,3360.0,1147.0,0.745506989128,0.392407920643,9.31279761905,-3.10833333333
260,Delaware,DE,"Kent, DE",Kent County,33351.0,36991.0,74729.0,Kent County,211.0,126.0,85.0,0.597156398104,0.446292603942,264.69047619,-28.8888888889
261,Delaware,DE,"New Castle, DE",New Castle County,162919.0,85525.0,262979.0,New Castle County,881.0,702.0,179.0,0.796821793417,0.619513345172,232.078347578,110.247863248
262,Delaware,DE,"Sussex, DE",Sussex County,39333.0,62611.0,106106.0,Sussex County,1358.0,910.0,448.0,0.670103092784,0.370695342393,43.2230769231,-25.5802197802
1919,Wisconsin,WI,"Adams, WI",Adams County,3745.0,5966.0,10130.0,Adams County,9.0,5.0,4.0,0.555555555556,0.369693978282,749.0,-444.2
1920,Wisconsin,WI,"Ashland, WI",Ashland County,4226.0,3303.0,8032.0,Ashland County,3.0,2.0,1.0,0.666666666667,0.526145418327,2113.0,461.5
1921,Wisconsin,WI,"Barron, WI",Barron County,7889.0,13614.0,22671.0,Barron County,23.0,16.0,7.0,0.695652173913,0.347977592519,493.0625,-357.8125
1922,Wisconsin,WI,"Bayfield, WI",Bayfield County,4953.0,4124.0,9612.0,Bayfield County,1.0,1.0,,1.0,0.515293383271,4953.0,829.0
1923,Wisconsin,WI,"Brown, WI",Brown County,53382.0,67210.0,129011.0,Brown County,479.0,354.0,125.0,0.739039665971,0.413778670036,150.796610169,-39.0621468927
1924,Wisconsin,WI,"Buffalo, WI",Buffalo County,2525.0,4048.0,6981.0,Buffalo County,9.0,7.0,2.0,0.777777777778,0.361696032087,360.714285714,-217.571428571
1925,Wisconsin,WI,"Calumet, WI",Calumet County,9642.0,15367.0,26595.0,Calumet County,32.0,21.0,11.0,0.65625,0.362549351382,459.142857143,-272.619047619
1926,Wisconsin,WI,"Chippewa, WI",Chippewa County,11887.0,17916.0,31568.0,Chippewa County,56.0,23.0,33.0,0.410714285714,0.376552204764,516.826086957,-262.130434783
1927,Wisconsin,WI,"Clark, WI",Clark County,4221.0,8652.0,13673.0,Clark County,73.0,55.0,18.0,0.753424657534,0.308710597528,76.7454545455,-80.5636363636
1928,Wisconsin,WI,"Columbia, WI",Columbia County,13528.0,14163.0,29698.0,Columbia County,60.0,43.0,17.0,0.716666666667,0.455518890161,314.604651163,-14.7674418605
1929,Wisconsin,WI,"Crawford, WI",Crawford County,3419.0,3836.0,7728.0,Crawford County,13.0,9.0,4.0,0.692307692308,0.442417184265,379.888888889,-46.3333333333
1930,Wisconsin,WI,"Dane, WI",Dane County,217697.0,71275.0,309354.0,Dane County,1066.0,817.0,249.0,0.766416510319,0.703714838017,266.458996328,179.219094247
1931,Wisconsin,WI,"Dodge, WI",Dodge County,13968.0,26635.0,43078.0,Dodge County,804.0,400.0,404.0,0.497512437811,0.324249036631,34.92,-31.6675
1932,Wisconsin,WI,"Door, WI",Door County,8014.0,8580.0,17592.0,Door County,15.0,14.0,1.0,0.933333333333,0.455547976353,572.428571429,-40.4285714286
1933,Wisconsin,WI,"Douglas, WI",Douglas County,11357.0,9661.0,22536.0,Douglas County,6.0,4.0,2.0,0.666666666667,0.503949236777,2839.25,424.0
1934,Wisconsin,WI,"Dunn, WI",Dunn County,9034.0,11486.0,22106.0,Dunn County,31.0,27.0,4.0,0.870967741935,0.408667330137,334.592592593,-90.8148148148
1935,Wisconsin,WI,"Eau Claire, WI",Eau Claire County,27340.0,23331.0,55025.0,Eau Claire County,45.0,31.0,14.0,0.688888888889,0.496865061336,881.935483871,129.322580645
1936,Wisconsin,WI,"Fond du Lac, WI",Fond du Lac County,17387.0,31022.0,51796.0,Fond du Lac County,51.0,27.0,24.0,0.529411764706,0.335682292069,643.962962963,-505.0
1937,Wisconsin,WI,"Grant, WI",Grant County,10051.0,12350.0,24368.0,Grant County,39.0,26.0,13.0,0.666666666667,0.412467170059,386.576923077,-88.4230769231
1938,Wisconsin,WI,"Green, WI",Green County,9122.0,8693.0,18985.0,Green County,43.0,33.0,10.0,0.767441860465,0.4804845931,276.424242424,13.0
1939,Wisconsin,WI,"Green Lake, WI",Green Lake County,2693.0,6216.0,9416.0,Green Lake County,13.0,8.0,5.0,0.615384615385,0.286002548853,336.625,-440.375
1940,Wisconsin,WI,"Iowa, WI",Iowa County,6669.0,4809.0,12275.0,Iowa County,29.0,18.0,11.0,0.620689655172,0.543299389002,370.5,103.333333333
1941,Wisconsin,WI,"Iron, WI",Iron County,1275.0,2081.0,3513.0,Iron County,1.0,1.0,,1.0,0.36293766012,1275.0,-806.0
1942,Wisconsin,WI,"Jackson, WI",Jackson County,3818.0,4906.0,9267.0,Jackson County,30.0,17.0,13.0,0.566666666667,0.411999568361,224.588235294,-64.0
1943,Wisconsin,WI,"Jefferson, WI",Jefferson County,16569.0,23417.0,43109.0,Jefferson County,214.0,140.0,74.0,0.654205607477,0.384351295553,118.35,-48.9142857143
1944,Wisconsin,WI,"Juneau, WI",Juneau County,4073.0,7130.0,11735.0,Juneau County,44.0,32.0,12.0,0.727272727273,0.347081380486,127.28125,-95.53125
1945,Wisconsin,WI,"Kenosha, WI",Kenosha County,35799.0,36037.0,76304.0,Kenosha County,321.0,239.0,82.0,0.744548286604,0.469162822395,149.786610879,-0.995815899582
1946,Wisconsin,WI,"Kewaunee, WI",Kewaunee County,3627.0,6618.0,10767.0,Kewaunee County,9.0,8.0,1.0,0.888888888889,0.336862635832,453.375,-373.875
1947,Wisconsin,WI,"La Crosse, WI",La Crosse County,32406.0,26378.0,63674.0,La Crosse County,15.0,11.0,4.0,0.733333333333,0.508936143481,2946.0,548.0
1948,Wisconsin,WI,"Lafayette, WI",Lafayette County,3288.0,3977.0,7662.0,Lafayette County,55.0,44.0,11.0,0.8,0.429130775255,74.7272727273,-15.6590909091
1949,Wisconsin,WI,"Langlade, WI",Langlade County,3250.0,6478.0,10186.0,Langlade County,8.0,5.0,3.0,0.625,0.31906538386,650.0,-645.6
1950,Wisconsin,WI,"Lincoln, WI",Lincoln County,5371.0,8401.0,14712.0,Lincoln County,17.0,8.0,9.0,0.470588235294,0.365076128331,671.375,-378.75
1951,Wisconsin,WI,"Manitowoc, WI",Manitowoc County,14538.0,23244.0,40786.0,Manitowoc County,198.0,134.0,64.0,0.676767676768,0.356445839259,108.492537313,-64.9701492537
1952,Wisconsin,WI,"Marathon, WI",Marathon County,26481.0,39014.0,69518.0,Marathon County,120.0,76.0,44.0,0.633333333333,0.380922926436,348.434210526,-164.907894737
1953,Wisconsin,WI,"Marinette, WI",Marinette County,6409.0,13122.0,20343.0,Marinette County,5.0,2.0,3.0,0.4,0.315046944895,3204.5,-3356.5
1954,Wisconsin,WI,"Marquette, WI",Marquette County,2808.0,4709.0,7891.0,Marquette County,149.0,56.0,93.0,0.375838926174,0.355848434926,50.1428571429,-33.9464285714
1955,Wisconsin,WI,"Milwaukee, WI",Milwaukee County,288822.0,126069.0,441053.0,Milwaukee County,1795.0,1081.0,714.0,0.602228412256,0.654846469699,267.180388529,150.557816836
1956,Wisconsin,WI,"Monroe, WI",Monroe County,7052.0,11356.0,19699.0,Monroe County,72.0,54.0,18.0,0.75,0.357987715112,130.592592593,-79.7037037037
1957,Wisconsin,WI,"Oconto, WI",Oconto County,5940.0,13345.0,20206.0,Oconto County,9.0,5.0,4.0,0.555555555556,0.293972087499,1188.0,-1481.0
1958,Wisconsin,WI,"Oneida, WI",Oneida County,8109.0,12132.0,21531.0,Oneida County,9.0,6.0,3.0,0.666666666667,0.376619757559,1351.5,-670.5
1959,Wisconsin,WI,"Outagamie, WI",Outagamie County,38068.0,49879.0,93933.0,Outagamie County,347.0,274.0,73.0,0.789625360231,0.405267584342,138.934306569,-43.1058394161
1960,Wisconsin,WI,"Ozaukee, WI",Ozaukee County,20170.0,30464.0,54560.0,Ozaukee County,29.0,21.0,8.0,0.724137931034,0.369684750733,960.476190476,-490.19047619
1961,Wisconsin,WI,"Pepin, WI",Pepin County,1344.0,2206.0,3735.0,Pepin County,4.0,2.0,2.0,0.5,0.35983935743,672.0,-431.0
1962,Wisconsin,WI,"Pierce, WI",Pierce County,8399.0,11272.0,21376.0,Pierce County,10.0,6.0,4.0,0.6,0.392917290419,1399.83333333,-478.833333333
1963,Wisconsin,WI,"Polk, WI",Polk County,7565.0,13810.0,22745.0,Polk County,11.0,8.0,3.0,0.727272727273,0.332600571554,945.625,-780.625
1964,Wisconsin,WI,"Portage, WI",Portage County,18529.0,17305.0,38589.0,Portage County,38.0,22.0,16.0,0.578947368421,0.480162740677,842.227272727,55.6363636364
1965,Wisconsin,WI,"Racine, WI",Racine County,42641.0,46681.0,94302.0,Racine County,343.0,238.0,105.0,0.69387755102,0.452174927361,179.163865546,-16.974789916
1966,Wisconsin,WI,"Rock, WI",Rock County,39339.0,31493.0,76074.0,Rock County,259.0,210.0,49.0,0.810810810811,0.517114914425,187.328571429,37.3619047619
1967,Wisconsin,WI,"Rusk, WI",Rusk County,2171.0,4564.0,7088.0,Rusk County,5.0,3.0,2.0,0.6,0.306292325056,723.666666667,-797.666666667
1968,Wisconsin,WI,"St. Croix, WI",St. Croix County,17482.0,26222.0,47508.0,St. Croix County,17.0,10.0,7.0,0.588235294118,0.367980129662,1748.2,-874.0
1969,Wisconsin,WI,"Sauk, WI",Sauk County,14690.0,14799.0,31357.0,Sauk County,177.0,149.0,28.0,0.841807909605,0.468475938387,98.5906040268,-0.731543624161
1970,Wisconsin,WI,"Shawano, WI",Shawano County,6068.0,12769.0,19810.0,Shawano County,11.0,7.0,4.0,0.636363636364,0.306309944472,866.857142857,-957.285714286
1971,Wisconsin,WI,"Sheboygan, WI",Sheboygan County,23000.0,32514.0,59766.0,Sheboygan County,222.0,177.0,45.0,0.797297297297,0.384834186661,129.943502825,-53.7514124294
1972,Wisconsin,WI,"Taylor, WI",Taylor County,2393.0,6579.0,9471.0,Taylor County,44.0,32.0,12.0,0.727272727273,0.252666033154,74.78125,-130.8125
1973,Wisconsin,WI,"Trempealeau, WI",Trempealeau County,5636.0,7366.0,13687.0,Trempealeau County,249.0,187.0,62.0,0.751004016064,0.411777599182,30.1390374332,-9.2513368984
1974,Wisconsin,WI,"Vernon, WI",Vernon County,6371.0,7004.0,14275.0,Vernon County,3.0,3.0,,1.0,0.446304728546,2123.66666667,-211.0
1975,Wisconsin,WI,"Vilas, WI",Vilas County,4770.0,8166.0,13611.0,Vilas County,5.0,5.0,,1.0,0.350451840423,954.0,-679.2
1976,Wisconsin,WI,"Walworth, WI",Walworth County,18710.0,28863.0,51391.0,Walworth County,271.0,215.0,56.0,0.793357933579,0.364071530034,87.023255814,-47.223255814
1977,Wisconsin,WI,"Washburn, WI",Washburn County,3282.0,5436.0,9193.0,Washburn County,4.0,2.0,2.0,0.5,0.357010769063,1641.0,-1077.0
1978,Wisconsin,WI,"Waukesha, WI",Waukesha County,79224.0,142543.0,237593.0,Waukesha County,230.0,173.0,57.0,0.752173913043,0.333444167126,457.942196532,-366.005780347
1979,Wisconsin,WI,"Waupaca, WI",Waupaca County,8451.0,16209.0,26095.0,Waupaca County,21.0,10.0,11.0,0.47619047619,0.323855144664,845.1,-775.8
1980,Wisconsin,WI,"Waushara, WI",Waushara County,3791.0,7667.0,12074.0,Waushara County,17.0,7.0,10.0,0.411764705882,0.313980453868,541.571428571,-553.714285714
1981,Wisconsin,WI,"Winnebago, WI",Winnebago County,37047.0,43445.0,87135.0,Winnebago County,136.0,95.0,41.0,0.698529411765,0.425167843002,389.968421053,-67.3473684211
1982,Wisconsin,WI,"Wood, WI",Wood County,14225.0,21498.0,37818.0,Wood County,46.0,34.0,12.0,0.739130434783,0.376143635306,418.382352941,-213.911764706
1126,New Jersey,NJ,"Camden, NJ",Camden County,146717.0,72631.0,229047.0,Camden County,867.0,543.0,324.0,0.626297577855,0.64055412208,270.197053407,136.438305709
1129,New Jersey,NJ,"Essex, NJ",Essex County,240837.0,63176.0,312884.0,Essex County,2798.0,1505.0,1293.0,0.537884203002,0.769732552639,160.024584718,118.04717608
1130,New Jersey,NJ,"Gloucester, NJ",Gloucester County,66870.0,67544.0,141254.0,Gloucester County,166.0,104.0,62.0,0.626506024096,0.473402523114,642.980769231,-6.48076923077
1139,New Jersey,NJ,"Salem, NJ",Salem County,11904.0,16381.0,29853.0,Salem County,314.0,212.0,102.0,0.675159235669,0.398753894081,56.1509433962,-21.1179245283
973,North Carolina,NC,"Alamance, NC",Alamance County,29833.0,38815.0,71157.0,Alamance County,1585.0,1245.0,340.0,0.785488958991,0.419256011355,23.962248996,-7.21445783133
974,North Carolina,NC,"Alexander, NC",Alexander County,3767.0,13893.0,18271.0,Alexander County,38.0,20.0,18.0,0.526315789474,0.206173717914,188.35,-506.3
975,North Carolina,NC,"Alleghany, NC",Alleghany County,1306.0,3814.0,5315.0,Alleghany County,113.0,58.0,55.0,0.513274336283,0.245719661336,22.5172413793,-43.2413793103
