State,Jurisdiction,All,Yes,No,County,Facility
Alabama,All,"9,943","4,482","5,461",All,All
Alabama,Talladega County - Talladega Fci,772,332,440,Talladega County,Talladega Fci
Alabama,Madison County - Madison County Jail,659,305,354,Madison County,Madison County Jail
Alabama,Montgomery County - Alabama Dept Of Correction,554,232,322,Montgomery County,Alabama Dept Of Correction
Alabama,Etowah County - Etowah County Jail,394,266,128,Etowah County,Etowah County Jail
Alabama,Mobile County - Mobile County Jail,393,260,133,Mobile County,Mobile County Jail
Alabama,Limestone County - Limestone County Jail,356,131,225,Limestone County,Limestone County Jail
Alabama,Lee County - Lee County Jail,348,200,148,Lee County,Lee County Jail
Alabama,Chilton County - Chilton County Jail,342,217,125,Chilton County,Chilton County Jail
Alabama,Pickens County - Aliceville Fci,331,220,111,Pickens County,Aliceville Fci
Alabama,Baldwin County - Baldwin County Corrections Center,306,153,153,Baldwin County,Baldwin County Corrections Center
Alabama,Marshall County - Albertville City Jail,301,128,173,Marshall County,Albertville City Jail
Alabama,Tuscaloosa County - Tuscaloosa County Jail,283,30,253,Tuscaloosa County,Tuscaloosa County Jail
Alabama,Baldwin County - Foley Pol. Dept. Jail,259,136,123,Baldwin County,Foley Pol. Dept. Jail
Alabama,Montgomery County - Montgomery City Jail,259,185,74,Montgomery County,Montgomery City Jail
Alabama,Jefferson County - Jefferson County Jail,246,25,221,Jefferson County,Jefferson County Jail
Alabama,Shelby County - Shelby County Jail,232,29,203,Shelby County,Shelby County Jail
Alabama,Jefferson County - Hoover City Jail,209,12,197,Jefferson County,Hoover City Jail
Alabama,Cullman County - Cullman County Jail,187,82,105,Cullman County,Cullman County Jail
Alabama,Coffee County - Coffee County Jail,186,140,46,Coffee County,Coffee County Jail
Alabama,Morgan County - Decatur City Jail,179,18,161,Morgan County,Decatur City Jail
Alabama,Morgan County - Morgan County Jail,176,49,127,Morgan County,Morgan County Jail
Alabama,"Montgomery County - Us Marshals, M.Dist. Al",173,78,95,Montgomery County,"Us Marshals, M.Dist. Al"
Alabama,DeKalb County - Dekalb County Jail,146,57,89,DeKalb County,Dekalb County Jail
Alabama,Dale County - Dale County Jail,115,65,50,Dale County,Dale County Jail
Alabama,Montgomery County - Montgomery Co Mac Sim Butler D,114,74,40,Montgomery County,Montgomery Co Mac Sim Butler D
Alabama,Tallapoosa County - Alexandria City Jail,111,69,42,Tallapoosa County,Alexandria City Jail
Alabama,DeKalb County - DeKalb County Detention Center,102,55,47,DeKalb County,DeKalb County Detention Center
Alabama,Marshall County - Marshall County Jail,98,25,73,Marshall County,Marshall County Jail
Alabama,Calhoun County - Calhoun County Sheriff,97,30,67,Calhoun County,Calhoun County Sheriff
Alabama,Houston County - Houston County Jail,95,61,34,Houston County,Houston County Jail
Alabama,Houston County - Dothan City Jail,92,48,44,Houston County,Dothan City Jail
Alabama,Lauderdale County - Lauderdale County Det. Center,91,35,56,Lauderdale County,Lauderdale County Det. Center
Alabama,Montgomery County - Maxwell Afb Fed Pris Camp,83,5,78,Montgomery County,Maxwell Afb Fed Pris Camp
Alabama,Elmore County - Elmore County Jail,81,52,29,Elmore County,Elmore County Jail
Alabama,Jackson County - Jackson County Jail,72,8,64,Jackson County,Jackson County Jail
Alabama,Dallas County - Dallas County Jail,70,41,29,Dallas County,Dallas County Jail
Alabama,Autauga County - Autauga County Jail,67,45,22,Autauga County,Autauga County Jail
Alabama,Franklin County - Franklin County Jail,66,5,61,Franklin County,Franklin County Jail
Alabama,"Mobile County - Mobile City Jail, Ala",64,27,37,Mobile County,"Mobile City Jail, Ala"
Alabama,Geneva County - Geneva County Jail,61,48,13,Geneva County,Geneva County Jail
Alabama,Shelby County - Pelham Police Dept/Jail,56,5,51,Shelby County,Pelham Police Dept/Jail
Alabama,Tallapoosa County - Tallapoosa County Jail,54,37,17,Tallapoosa County,Tallapoosa County Jail
Alabama,Jackson County - Scottsboro Police Dept/Jail,51,15,36,Jackson County,Scottsboro Police Dept/Jail
Alabama,Russell County - Russell County Jail,47,26,21,Russell County,Russell County Jail
Alabama,Hale County - Hale County Jail,46,18,28,Hale County,Hale County Jail
Alabama,Baldwin County - Fairhope City Corr. Facility,45,25,20,Baldwin County,Fairhope City Corr. Facility
Alabama,Blount County - Blount County Jail,43,15,28,Blount County,Blount County Jail
Alabama,Chambers County - Chambers County Jail,41,33,8,Chambers County,Chambers County Jail
Alabama,St. Clair County - St. Clair County Jail,40,1,39,St. Clair County,St. Clair County Jail
Alabama,Baldwin County - Gulf Shores Pol. Dept. Corr.,35,26,9,Baldwin County,Gulf Shores Pol. Dept. Corr.
Alabama,Jefferson County - Birmingham Hold Room,34,1,33,Jefferson County,Birmingham Hold Room
Alabama,Lawrence County - Lawrence County Jail,32,8,24,Lawrence County,Lawrence County Jail
