State,Jurisdiction,All,Yes,No,County,Facility
Alaska,Anchorage Borough - Anchorage Jail,269,85,184,Anchorage Borough,Anchorage Jail
Alaska,Anchorage Borough - Anchorage Jail,269,85,184,Anchorage Borough,Anchorage Jail
Alaska,Anchorage Borough - Anchorage Jail,269,85,184,Anchorage Borough,Anchorage Jail
Alaska,Fairbanks North Star Borough - Fairbanks Corr Ctr,22,10,12,Fairbanks North Star Borough,Fairbanks Corr Ctr
Alaska,"Juneau Borough - Lemon Creek, Juneau,ak",17,9,8,Juneau Borough,"Lemon Creek, Juneau,ak"
Alaska,Anchorage Borough - Highland Mtn Cor Ctr,16,4,12,Anchorage Borough,Highland Mtn Cor Ctr
Alaska,Matanuska-Susitna Borough - Palmer Correctional Ce,13,7,6,Matanuska-Susitna Borough,Palmer Correctional Ce
Alaska,Ketchikan Gateway Borough - Ketchikan Regional Cc,12,3,9,Ketchikan Gateway Borough,Ketchikan Regional Cc
Alaska,Matanuska-Susitna Borough - Goose Creek Correction,10,5,5,Matanuska-Susitna Borough,Goose Creek Correction
Alaska,Kodiak Island Borough - Kodiak City Jail,9,2,7,Kodiak Island Borough,Kodiak City Jail
Alaska,Kenai Peninsula Borough - Wldwood Correctional Cen,9,2,7,Kenai Peninsula Borough,Wldwood Correctional Cen
Alaska,Anchorage Borough - State Cor Ctr Annex Ancho,8,1,7,Anchorage Borough,State Cor Ctr Annex Ancho
Alaska,"Matanuska-Susitna Borough - Matsu Pretrial, Palmer",8,3,5,Matanuska-Susitna Borough,"Matsu Pretrial, Palmer"
Alaska,Aleutians West Census Area - Dutch Harbor City Jai,7,3,4,Aleutians West Census Area,Dutch Harbor City Jai
Alaska,Kenai Peninsula Borough - Wildwood Pre-Trial Fac.,4,2,2,Kenai Peninsula Borough,Wildwood Pre-Trial Fac.
Alaska,"Kenai Peninsula Borough - Seward Cor Ctr, Seward A",2,1,1,Kenai Peninsula Borough,"Seward Cor Ctr, Seward A"
Alaska,"Nome Census Area - Anvil Mountain Cc, Nome,",1,1,,Nome Census Area,"Anvil Mountain Cc, Nome,"
Alaska,Anchorage Borough - Anchorage Sub-Office Hold Room,1,1,,Anchorage Borough,Anchorage Sub-Office Hold Room
