State,Jurisdiction,All,Yes,No,County,Facility
Arizona,All,"97,414","64,910","32,504",All,All
Arizona,Maricopa County - Maricopa County Jail,"39,459","30,779","8,680",Maricopa County,Maricopa County Jail
Arizona,Maricopa County - Aspc Alhambra,"18,427","11,780","6,647",Maricopa County,Aspc Alhambra
Arizona,Pima County - Pima County Jail,"6,455","3,858","2,597",Pima County,Pima County Jail
Arizona,Maricopa County - Us Marshal - Phoenix,"5,888","2,897","2,991",Maricopa County,Us Marshal
Arizona,Maricopa County - Mcso Madison Facility,"3,535",927,"2,608",Maricopa County,Mcso Madison Facility
Arizona,Pinal County - Pinal County Jail,"2,540",813,"1,727",Pinal County,Pinal County Jail
Arizona,Maricopa County - Maricopa Co Lower Buckeye Jail,"2,357","1,791",566,Maricopa County,Maricopa Co Lower Buckeye Jail
Arizona,Pima County - Us Marshal - Tucson,"1,517",854,663,Pima County,Us Marshal
Arizona,Pima County - Tucson Fed.Corr.Inst.,"1,461",690,771,Pima County,Tucson Fed.Corr.Inst.
Arizona,Yavapai County - Yavapai County Juvenile Detention,"1,259",889,370,Yavapai County,Yavapai County Juvenile Detention
Arizona,Maricopa County - Tempe City Jail,"1,231","1,032",199,Maricopa County,Tempe City Jail
Arizona,Coconino County - Coconino Co Detention Facility,"1,016",792,224,Coconino County,Coconino Co Detention Facility
Arizona,Navajo County - Navajo County Sheriff,797,622,175,Navajo County,Navajo County Sheriff
Arizona,Pinal County - Florence Service Processing Center,781,516,265,Pinal County,Florence Service Processing Center
Arizona,Maricopa County - Scottsdale Jail Dist 1,726,658,68,Maricopa County,Scottsdale Jail Dist 1
Arizona,Maricopa County - Mesa Pd Holding Facility,667,573,94,Maricopa County,Mesa Pd Holding Facility
Arizona,Graham County - Safford Fed.Corr.Inst.,625,208,417,Graham County,Safford Fed.Corr.Inst.
Arizona,Maricopa County - Avondale Police Dep't.,611,537,74,Maricopa County,Avondale Police Dep't.
