State,Jurisdiction,All,Yes,No,County,Facility
Colorado,All,"50,994","33,207","17,787",All,All
Colorado,Adams County - Adams County Jail,"5,107","3,988","1,119",Adams County,Adams County Jail
Colorado,Denver County - Denver Justice Center,"4,865","3,477","1,388",Denver County,Denver Justice Center
Colorado,Arapahoe County - Arapahoe County Jail,"4,589","3,501","1,088",Arapahoe County,Arapahoe County Jail
Colorado,Arapahoe County - Aurora City Jail,"4,065","3,412",653,Arapahoe County,Aurora City Jail
Colorado,El Paso County - Colo Dept Of Corrections,"4,002","1,385","2,617",El Paso County,Colo Dept Of Corrections
Colorado,Garfield County - 1st Choice Inns,"2,672","1,370","1,302",Garfield County,1st Choice Inns
Colorado,El Paso County - El Paso County Jail,"2,506","1,688",818,El Paso County,El Paso County Jail
Colorado,Jefferson County - Jefferson County Jail,"2,369","1,655",714,Jefferson County,Jefferson County Jail
Colorado,Weld County - Weld County Jail,"1,931",989,942,Weld County,Weld County Jail
Colorado,Garfield County - Garfield County Jail,"1,581","1,050",531,Garfield County,Garfield County Jail
Colorado,Denver County - Denver County Jail,"1,336",636,700,Denver County,Denver County Jail
Colorado,Boulder County - Boulder County Jail,"1,235",954,281,Boulder County,Boulder County Jail
Colorado,Douglas County - Douglas County Jail,"1,230",944,286,Douglas County,Douglas County Jail
Colorado,Larimer County - Larimer County Jail,"1,088",794,294,Larimer County,Larimer County Jail
Colorado,"Denver County - Us Marshals, Colorado",967,166,801,Denver County,"Us Marshals, Colorado"
Colorado,Eagle County - Eagle County Jail,963,563,400,Eagle County,Eagle County Jail
Colorado,Fremont County - Florence Fed.Corr.Inst.,855,509,346,Fremont County,Florence Fed.Corr.Inst.
Colorado,Arapahoe County - Denver Contract Detention Facili,825,535,290,Arapahoe County,Denver Contract Detention Facili
Colorado,Montrose County - Montrose County Jail,743,481,262,Montrose County,Montrose County Jail
Colorado,Mesa County - Mesa County Jail,729,513,216,Mesa County,Mesa County Jail
Colorado,Pueblo County - Pueblo County Jail,636,273,363,Pueblo County,Pueblo County Jail
Colorado,Broomfield County - Broomfield Detention Center,588,469,119,Broomfield County,Broomfield Detention Center
Colorado,Summit County - Summit County Jail,514,336,178,Summit County,Summit County Jail
Colorado,Morgan County - Morgan County Jail,383,198,185,Morgan County,Morgan County Jail
Colorado,Lake County - Lake County Jail,382,262,120,Lake County,Lake County Jail
Colorado,La Plata County - La Plata County Jail,322,210,112,La Plata County,La Plata County Jail
Colorado,Gilpin County - Gilpin County Sheriff,278,234,44,Gilpin County,Gilpin County Sheriff
