State,Jurisdiction,All,Yes,No,County,Facility
Connecticut,All,"6,718","4,061","2,657",All,All
Connecticut,Fairfield County - Danbury Fed.Corr.Inst.,"2,655","1,268","1,387",Fairfield County,Danbury Fed.Corr.Inst.
Connecticut,Fairfield County - Bridgeport Corr Center,871,649,222,Fairfield County,Bridgeport Corr Center
Connecticut,Hartford County - Hartford Office Holding Facility,558,469,89,Hartford County,Hartford Office Holding Facility
Connecticut,Hartford County - Hartford Corr Center,515,310,205,Hartford County,Hartford Corr Center
Connecticut,New Haven County - New Haven Corr Center,281,181,100,New Haven County,New Haven Corr Center
Connecticut,Tolland County - Osborn Corr Inst,183,127,56,Tolland County,Osborn Corr Inst
Connecticut,Tolland County - Northeast Corr Center,152,137,15,Tolland County,Northeast Corr Center
Connecticut,New Haven County - Cheshire Corr Institute,142,60,82,New Haven County,Cheshire Corr Institute
Connecticut,New London County - York Corr Inst,128,86,42,New London County,York Corr Inst
Connecticut,Hartford County - Robinson Corr Inst,124,92,32,Hartford County,Robinson Corr Inst
Connecticut,New London County - Corrigan Corr Inst,117,68,49,New London County,Corrigan Corr Inst
Connecticut,Hartford County - Mcdougall Corr Inst,116,37,79,Hartford County,Mcdougall Corr Inst
Connecticut,Hartford County - Enfield Corr Inst,100,86,14,Hartford County,Enfield Corr Inst
Connecticut,Windham County - Brooklyn Corr Center,95,69,26,Windham County,Brooklyn Corr Center
Connecticut,New London County - Radgowski Corr Center,87,67,20,New London County,Radgowski Corr Center
Connecticut,Fairfield County - Stamford Police Dept.,83,48,35,Fairfield County,Stamford Police Dept.
Connecticut,Hartford County - Willard Corr Inst,69,59,10,Hartford County,Willard Corr Inst
Connecticut,Hartford County - Walker Rec Ctr,66,24,42,Hartford County,Walker Rec Ctr
Connecticut,New London County - Gates Corr Inst,57,48,9,New London County,Gates Corr Inst
Connecticut,New Haven County - Manson Youth Inst,50,38,12,New Haven County,Manson Youth Inst
Connecticut,Fairfield County - Garner Corr Inst,37,14,23,Fairfield County,Garner Corr Inst
Connecticut,Fairfield County - Danbury Police Dept.,32,14,18,Fairfield County,Danbury Police Dept.
Connecticut,Fairfield County - Bridgeport Police Dept.,29,10,19,Fairfield County,Bridgeport Police Dept.
Connecticut,Hartford County - Hartford Police Dept.,24,15,9,Hartford County,Hartford Police Dept.
Connecticut,Fairfield County - Fairfield Police Dept.,23,13,10,Fairfield County,Fairfield Police Dept.
Connecticut,New Haven County - New Have Police Dept.,22,9,13,New Haven County,New Have Police Dept.
Connecticut,Fairfield County - Norwalk Police Dept.,18,9,9,Fairfield County,Norwalk Police Dept.
Connecticut,New Haven County - Webster Corr Inst,16,14,2,New Haven County,Webster Corr Inst
Connecticut,Tolland County - Cybulski Corr Inst,13,11,2,Tolland County,Cybulski Corr Inst
Connecticut,Tolland County - Northern Corr Inst,10,5,5,Tolland County,Northern Corr Inst
Connecticut,Hartford County - Manchester Police Dept.,7,3,4,Hartford County,Manchester Police Dept.
Connecticut,Fairfield County - Stratford Police Dept.,6,3,3,Fairfield County,Stratford Police Dept.
Connecticut,Hartford County - Laffayette Sheriff's Lock,6,2,4,Hartford County,Laffayette Sheriff's Lock
Connecticut,New London County - Niantic Corr Inst,5,3,2,New London County,Niantic Corr Inst
Connecticut,New Haven County - Wallingford Police Dept.,4,2,2,New Haven County,Wallingford Police Dept.
Connecticut,Fairfield County - Westport Police Dept.,4,3,1,Fairfield County,Westport Police Dept.
Connecticut,New Haven County - Cheshire Police Dept,3,2,1,New Haven County,Cheshire Police Dept
Connecticut,New Haven County - East Haven Police Dept.,3,2,1,New Haven County,East Haven Police Dept.
Connecticut,New Haven County - Naugatuck Police Dept.,2,,2,New Haven County,Naugatuck Police Dept.
Connecticut,Fairfield County - Trumbull Police Dept.,2,2,,Fairfield County,Trumbull Police Dept.
Connecticut,Fairfield County - New Canaan Police Dept.,1,1,,Fairfield County,New Canaan Police Dept.
Connecticut,Fairfield County - Bethel Police Dept.,1,1,,Fairfield County,Bethel Police Dept.
Connecticut,New Haven County - Hamden Police Dept,1,,1,New Haven County,Hamden Police Dept
