State,Jurisdiction,All,Yes,No,County,Facility
Florida,All,"89,081","51,276","37,805",All,All
Florida,Miami-Dade County - Dade County Correctional,"11,843","6,378","5,465",Miami-Dade County,Dade County Correctional
Florida,Leon County - Fl Dept Of Corrections,"7,022","3,619","3,403",Leon County,Fl Dept Of Corrections
Florida,Collier County - Collier County Sheriff Facility,"6,356","5,259","1,097",Collier County,Collier County Sheriff Facility
Florida,Palm Beach County - Palm Beach County Jail,"5,738","3,902","1,836",Palm Beach County,Palm Beach County Jail
Florida,Broward County - Broward County Jail,"5,082","3,107","1,975",Broward County,Broward County Jail
Florida,Hillsborough County - Hillsborough County Jail,"4,564","2,475","2,089",Hillsborough County,Hillsborough County Jail
Florida,Orange County - Orange County Jail,"4,272","2,239","2,033",Orange County,Orange County Jail
Florida,Duval County - Duval/Jacksonville Jail,"2,498","1,914",584,Duval County,Duval/Jacksonville Jail
Florida,Sumter County - Coleman Fci,"2,200","1,005","1,195",Sumter County,Coleman Fci
Florida,Pinellas County - Pinellas County Jail,"2,123","1,200",923,Pinellas County,Pinellas County Jail
Florida,Polk County - Polk County Jail,"2,067","1,241",826,Polk County,Polk County Jail
Florida,Lee County - Lee County Jail,"2,058","1,145",913,Lee County,Lee County Jail
Florida,Marion County - Marion County Jail,"1,988","1,036",952,Marion County,Marion County Jail
Florida,Miami-Dade County - Krome North Service Processing,"1,933","1,669",264,Miami-Dade County,Krome North Service Processing
Florida,Manatee County - Manatee County Detention-Annex,"1,441",775,666,Manatee County,Manatee County Detention-Annex
Florida,Martin County - Martin County Jail,"1,409","1,027",382,Martin County,Martin County Jail
Florida,Sarasota County - Sarasota County Jail,"1,308",604,704,Sarasota County,Sarasota County Jail
Florida,"Orange County - Cen. Fl Rec. Ctr.,orlando","1,238",561,677,Orange County,"Cen. Fl Rec. Ctr.,orlando"
Florida,Miami-Dade County - South Florida Recept Cent,"1,231",387,844,Miami-Dade County,South Florida Recept Cent
Florida,Pasco County - Pasco County Jail,"1,158",600,558,Pasco County,Pasco County Jail
Florida,Osceola County - Osceola County Jail,"1,085",473,612,Osceola County,Osceola County Jail
Florida,Okaloosa County - Okaloosa County D.O.C.,"1,050",483,567,Okaloosa County,Okaloosa County D.O.C.
Florida,Unknown County - Unspecified BOP Facility,989,14,975,Unknown County,Unspecified BOP Facility
Florida,St. Lucie County - St. Lucie County Jail,980,545,435,St. Lucie County,St. Lucie County Jail
Florida,Leon County - Tallahassee Fed.Corr.Inst,893,452,441,Leon County,Tallahassee Fed.Corr.Inst
Florida,Miami-Dade County - Miami Fci (Former Mcc),871,331,540,Miami-Dade County,Miami Fci (Former Mcc)
Florida,Seminole County - Seminole County Jail,849,544,305,Seminole County,Seminole County Jail
Florida,Brevard County - Brevard County Jail Complex,804,500,304,Brevard County,Brevard County Jail Complex
Florida,Indian River County - Indian River County Jail,726,510,216,Indian River County,Indian River County Jail
Florida,Hendry County - Hendry County Jail,642,402,240,Hendry County,Hendry County Jail
Florida,Miami-Dade County - Miami Federal Detention Center,635,275,360,Miami-Dade County,Miami Federal Detention Center
Florida,Leon County - Florida Dept Of Corr. Cor,632,345,287,Leon County,Florida Dept Of Corr. Cor
Florida,Lake County - Lake County Jail,610,354,256,Lake County,Lake County Jail
Florida,Lee County - Fort Myers Sheriff,567,481,86,Lee County,Fort Myers Sheriff
Florida,Alachua County - Alachua County Jail,537,305,232,Alachua County,Alachua County Jail
Florida,"Hillsborough County - Us Marshals,mid.Dist.Fl",514,264,250,Hillsborough County,"Us Marshals,mid.Dist.Fl"
Florida,Highlands County - Highlands County Jail,455,352,103,Highlands County,Highlands County Jail
Florida,DeSoto County - Desoto County Jail,434,245,189,DeSoto County,Desoto County Jail
Florida,Clay County - Clay County Jail,430,263,167,Clay County,Clay County Jail
Florida,Volusia County - Volusia County Jail.,410,177,233,Volusia County,Volusia County Jail.
Florida,Okeechobee County - Okeechobee County Jail,399,285,114,Okeechobee County,Okeechobee County Jail
Florida,Escambia County - Escambia County Jail,394,212,182,Escambia County,Escambia County Jail
Florida,Miami-Dade County - Turner Guiford Knight (Tgk) Ja,384,26,358,Miami-Dade County,Turner Guiford Knight (Tgk) Ja
Florida,Monroe County - Monroe County Jail,378,159,219,Monroe County,Monroe County Jail
