State,Jurisdiction,All,Yes,No,County,Facility
Georgia,All,"75,479","43,128","32,351",All,All
Georgia,Gwinnett County - Gwinnett County Jail,"14,659","11,763","2,896",Gwinnett County,Gwinnett County Jail
Georgia,Cobb County - Cobb County Jail,"7,585","5,207","2,378",Cobb County,Cobb County Jail
Georgia,"Telfair County - Mcrae Correctional Facility, Cca","5,898","2,555","3,343",Telfair County,"Mcrae Correctional Facility, Cca"
Georgia,Fulton County - Georgia Dept Of Correctio,"4,366","2,239","2,127",Fulton County,Georgia Dept Of Correctio
Georgia,Hall County - Hall County Jail,"3,978","3,338",640,Hall County,Hall County Jail
Georgia,Charlton County - D. Ray James Prison,"3,731","2,329","1,402",Charlton County,D. Ray James Prison
Georgia,Clayton County - Clayton County Jail,"3,318","1,411","1,907",Clayton County,Clayton County Jail
Georgia,DeKalb County - Dekalb Co Jail,"3,167","1,308","1,859",DeKalb County,Dekalb Co Jail
Georgia,Whitfield County - Whitfield County Jail,"2,687","2,215",472,Whitfield County,Whitfield County Jail
Georgia,DeKalb County - Dekalb County Jail,"2,490","1,311","1,179",DeKalb County,Dekalb County Jail
Georgia,Fulton County - Fulton County Jail,"1,725",679,"1,046",Fulton County,Fulton County Jail
Georgia,Fulton County - Atlanta U.S. Pen.,"1,154",577,577,Fulton County,Atlanta U.S. Pen.
Georgia,Cherokee County - Cherokee Co Jail Ga,"1,129",515,614,Cherokee County,Cherokee Co Jail Ga
Georgia,Fulton County - Roswell City Jail,840,372,468,Fulton County,Roswell City Jail
Georgia,Forsyth County - Forsyth County Sheriff's Office,718,324,394,Forsyth County,Forsyth County Sheriff's Office
Georgia,DeKalb County - Doraville City Jail,646,157,489,DeKalb County,Doraville City Jail
Georgia,"Fulton County - Us Marshals, N.Dist.Ga",626,92,534,Fulton County,"Us Marshals, N.Dist.Ga"
Georgia,Wayne County - Jesup Fed.Corr.Inst.,575,332,243,Wayne County,Jesup Fed.Corr.Inst.
Georgia,Rockdale County - Rockdale County Ga. Jail,570,278,292,Rockdale County,Rockdale County Ga. Jail
Georgia,Houston County - Houston County Detention Center,554,162,392,Houston County,Houston County Detention Center
Georgia,Bartow County - Bartow Co Jail,535,197,338,Bartow County,Bartow Co Jail
Georgia,Cobb County - Smyrna City Jail,522,195,327,Cobb County,Smyrna City Jail
Georgia,Chatham County - Chatham Co Jail,498,232,266,Chatham County,Chatham Co Jail
Georgia,Douglas County - Douglas County Sheriff,495,233,262,Douglas County,Douglas County Sheriff
Georgia,Fulton County - Atlanta Pretrial Detention Center,478,241,237,Fulton County,Atlanta Pretrial Detention Center
Georgia,Floyd County - Floyd County Jail,467,197,270,Floyd County,Floyd County Jail
Georgia,Coweta County - Coweta County Sheriff,415,203,212,Coweta County,Coweta County Sheriff
Georgia,Fayette County - Fayette County Sheriff's Office,413,181,232,Fayette County,Fayette County Sheriff's Office
Georgia,Henry County - Henry County Sheriff,390,167,223,Henry County,Henry County Sheriff
Georgia,Glynn County - Glynn County Detention Center,347,186,161,Glynn County,Glynn County Detention Center
Georgia,Muscogee County - Muscogee County Sheriff Fac.,335,37,298,Muscogee County,Muscogee County Sheriff Fac.
Georgia,Lowndes County - Lowndes County Sheriff,322,37,285,Lowndes County,Lowndes County Sheriff
Georgia,Colquitt County - Colquitt County Jail,309,110,199,Colquitt County,Colquitt County Jail
Georgia,Richmond County - Richmond County Jail,286,137,149,Richmond County,Richmond County Jail
Georgia,"Bibb County - Us Marshals, M.Dist.Ga",279,67,212,Bibb County,"Us Marshals, M.Dist.Ga"
Georgia,Clarke County - Athens-Clarke Co. Jail,264,102,162,Clarke County,Athens-Clarke Co. Jail
Georgia,Gordon County - Gordon County Sheriff,264,109,155,Gordon County,Gordon County Sheriff
Georgia,DeKalb County - Chamblee Police Dept,260,47,213,DeKalb County,Chamblee Police Dept
Georgia,Dougherty County - Dougherty County Jail,259,111,148,Dougherty County,Dougherty County Jail
Georgia,Crisp County - Crisp County Sheriff,255,70,185,Crisp County,Crisp County Sheriff
Georgia,Carroll County - Carroll County Jail,247,127,120,Carroll County,Carroll County Jail
Georgia,Clarke County - Clark County Jail,226,39,187,Clarke County,Clark County Jail
Georgia,Coffee County - Coffee County Sheriff,190,78,112,Coffee County,Coffee County Sheriff
Georgia,Newton County - Newton County Jail,185,81,104,Newton County,Newton County Jail
Georgia,Barrow County - Barrow County Jail,179,72,107,Barrow County,Barrow County Jail
Georgia,Polk County - Polk County Sheriff,178,88,90,Polk County,Polk County Sheriff
Georgia,Harris County - Harris County Jail,176,90,86,Harris County,Harris County Jail
Georgia,Troup County - Troup County Sheriff,165,58,107,Troup County,Troup County Sheriff
Georgia,Habersham County - Habersham County Sheriff,162,81,81,Habersham County,Habersham County Sheriff
Georgia,Columbia County - Columbia County Sheriff,158,64,94,Columbia County,Columbia County Sheriff
Georgia,Appling County - Appling County Jail,155,81,74,Appling County,Appling County Jail
Georgia,Atkinson County - Atkinson County Jail,154,97,57,Atkinson County,Atkinson County Jail
Georgia,Bibb County - Bibb County Sheriff,151,71,80,Bibb County,Bibb County Sheriff
Georgia,Sumter County - Sumter County Sheriff,148,53,95,Sumter County,Sumter County Sheriff
Georgia,Jackson County - Jackson County Sheriff,142,69,73,Jackson County,Jackson County Sheriff
Georgia,Stewart County - Stewart Detention Center,141,77,64,Stewart County,Stewart Detention Center
Georgia,Dawson County - Dawson Co. Det. Center,140,70,70,Dawson County,Dawson Co. Det. Center
Georgia,Tift County - Tift County Sheriff,135,12,123,Tift County,Tift County Sheriff
Georgia,Chatham County - Chatham County Jail,135,63,72,Chatham County,Chatham County Jail
Georgia,Butts County - Butts County Jail,131,59,72,Butts County,Butts County Jail
Georgia,Brooks County - Brooks County Sheriff,129,76,53,Brooks County,Brooks County Sheriff
Georgia,Toombs County - Toombs County Sheriff,108,47,61,Toombs County,Toombs County Sheriff
Georgia,Cobb County - Acworth Police Dept.,102,34,68,Cobb County,Acworth Police Dept.
Georgia,Paulding County - Paulding Co Georgia,101,44,57,Paulding County,Paulding Co Georgia
Georgia,Fulton County - Atlanta District Office Holding Ro,100,31,69,Fulton County,Atlanta District Office Holding Ro
Georgia,Butts County - Georgia Diag & Class State Prison,97,21,76,Butts County,Georgia Diag & Class State Prison
Georgia,Cook County - Cook County Sheriff,96,21,75,Cook County,Cook County Sheriff
Georgia,Dooly County - Dooly County Sheriff,94,27,67,Dooly County,Dooly County Sheriff
Georgia,Bulloch County - Bulloch County Jail,91,26,65,Bulloch County,Bulloch County Jail
Georgia,Walton County - Walton County Jail,89,33,56,Walton County,Walton County Jail
Georgia,Irwin County - Irwin County Detention Center,86,65,21,Irwin County,Irwin County Detention Center
Georgia,Rabun County - Rabun County Det. Center,83,27,56,Rabun County,Rabun County Det. Center
Georgia,Tattnall County - Tattnall County Sheriff,81,44,37,Tattnall County,Tattnall County Sheriff
Georgia,Lee County - Lee County Sheriff,76,29,47,Lee County,Lee County Sheriff
Georgia,Grady County - Grady County Sheriff,75,5,70,Grady County,Grady County Sheriff
Georgia,Jeff Davis County - Jeff Davis County Sheriff,74,41,33,Jeff Davis County,Jeff Davis County Sheriff
Georgia,Jeff Davis County - Jeff Davis County Sheriff,74,41,33,Jeff Davis County,Jeff Davis County Sheriff
Georgia,Jeff Davis County - Jeff Davis County Sheriff,74,41,33,Jeff Davis County,Jeff Davis County Sheriff
Georgia,Jeff Davis County - Jeff Davis County Sheriff,74,41,33,Jeff Davis County,Jeff Davis County Sheriff
Georgia,Jeff Davis County - Jeff Davis County Sheriff,74,41,33,Jeff Davis County,Jeff Davis County Sheriff
Georgia,Ware County - Ware County Sheriff,68,32,36,Ware County,Ware County Sheriff
Georgia,Wayne County - Wayne County Jail,67,22,45,Wayne County,Wayne County Jail
Georgia,Murray County - Murray County Sheriff,67,23,44,Murray County,Murray County Sheriff
Georgia,Putnam County - Putnam County Sheriff,67,31,36,Putnam County,Putnam County Sheriff
Georgia,Bulloch County - Bullock County Jail,65,32,33,Bulloch County,Bullock County Jail
Georgia,Spalding County - Spalding County Sheriff,61,22,39,Spalding County,Spalding County Sheriff
Georgia,Catoosa County - Catoosa County Jail,60,25,35,Catoosa County,Catoosa County Jail
Georgia,Laurens County - Laurens County Sheriff,58,20,38,Laurens County,Laurens County Sheriff
Georgia,McIntosh County - Mcintosh County Jail,56,20,36,McIntosh County,Mcintosh County Jail
Georgia,Clay County - Clay County Sheriff,55,25,30,Clay County,Clay County Sheriff
Georgia,Lanier County - Lanier County Sheriff,52,45,7,Lanier County,Lanier County Sheriff
Georgia,Banks County - Banks County Sheriff,51,24,27,Banks County,Banks County Sheriff
Georgia,Twiggs County - Twiggs County Sheriff,49,15,34,Twiggs County,Twiggs County Sheriff
Georgia,"Chatham County - Us Marshals, S.Dist.Ga",48,6,42,Chatham County,"Us Marshals, S.Dist.Ga"
Georgia,Camden County - Camden County Jail,48,28,20,Camden County,Camden County Jail
Georgia,Seminole County - Seminole County Sheriff,48,9,39,Seminole County,Seminole County Sheriff
Georgia,Lumpkin County - Lumpkin County Det. Center,46,16,30,Lumpkin County,Lumpkin County Det. Center
Georgia,Cobb County - Kennesaw City Jail,45,15,30,Cobb County,Kennesaw City Jail
Georgia,Greene County - Greene County Sheriff,45,19,26,Greene County,Greene County Sheriff
Georgia,Elbert County - Elbert Co. Det. Center,44,24,20,Elbert County,Elbert Co. Det. Center
Georgia,Turner County - Turner Count Sheriff,44,2,42,Turner County,Turner Count Sheriff
Georgia,Pierce County - Pierce County Jail,43,21,22,Pierce County,Pierce County Jail
Georgia,Dodge County - Dodge County Sheriff,43,13,30,Dodge County,Dodge County Sheriff
Georgia,Peach County - Peach County Sheriff,42,11,31,Peach County,Peach County Sheriff
Georgia,Monroe County - Monroe County Jail,42,21,21,Monroe County,Monroe County Jail
Georgia,Union County - Union County Sheriff,41,11,30,Union County,Union County Sheriff
Georgia,Bryan County - Bryan County Jail,40,21,19,Bryan County,Bryan County Jail
Georgia,Evans County - Evans County Sheriff,40,22,18,Evans County,Evans County Sheriff
Georgia,Thomas County - Thomas County Jail,39,2,37,Thomas County,Thomas County Jail
Georgia,Morgan County - Morgan County Det. Center,39,17,22,Morgan County,Morgan County Det. Center
Georgia,Pickens County - Pickens County Det. Center,38,13,25,Pickens County,Pickens County Det. Center
Georgia,Baldwin County - Baldwin County Sheriff,38,16,22,Baldwin County,Baldwin County Sheriff
Georgia,Oconee County - Oconee County Sheriff,37,14,23,Oconee County,Oconee County Sheriff
Georgia,Madison County - Madison County Jail,35,11,24,Madison County,Madison County Jail
Georgia,Bacon County - Bacon County Sheriff,34,9,25,Bacon County,Bacon County Sheriff
Georgia,Decatur County - Decatur County Jail,34,7,27,Decatur County,Decatur County Jail
Georgia,Berrien County - Berrien County Sheriff,33,7,26,Berrien County,Berrien County Sheriff
Georgia,Chattooga County - Chatooga County Sheriff,32,10,22,Chattooga County,Chatooga County Sheriff
Georgia,Liberty County - Liberty County Jail,31,10,21,Liberty County,Liberty County Jail
Georgia,Wilcox County - Wilcox County Sheriff,31,12,19,Wilcox County,Wilcox County Sheriff
Georgia,Burke County - Burke County Sheriff,31,18,13,Burke County,Burke County Sheriff
Georgia,Walker County - Walker County Jail,30,12,18,Walker County,Walker County Jail
Georgia,Lamar County - Lamar Co Jail,30,20,10,Lamar County,Lamar Co Jail
Georgia,Emanuel County - Emanuel Co. Det. Center,29,17,12,Emanuel County,Emanuel Co. Det. Center
Georgia,Bleckley County - Bleckley County Sheriff,25,6,19,Bleckley County,Bleckley County Sheriff
Georgia,Candler County - Candler County Sheriff,25,7,18,Candler County,Candler County Sheriff
Georgia,Stewart County - Stewart County Sheriff,22,9,13,Stewart County,Stewart County Sheriff
Georgia,Fannin County - Fannin County Jail,22,8,14,Fannin County,Fannin County Jail
Georgia,Pike County - Pike County Jail,22,11,11,Pike County,Pike County Jail
Georgia,Long County - Long County Jail,21,6,15,Long County,Long County Jail
Georgia,Pulaski County - Pulaski County Sheriff,21,7,14,Pulaski County,Pulaski County Sheriff
Georgia,Mitchell County - Mitchell County Jus.Center,20,3,17,Mitchell County,Mitchell County Jus.Center
Georgia,Haralson County - Haralson County Sheriff,20,8,12,Haralson County,Haralson County Sheriff
Georgia,Chattahoochee County - Chattahoochee County Sherif,19,1,18,Chattahoochee County,Chattahoochee County Sherif
Georgia,Effingham County - Effingham Co. Sheriff,19,5,14,Effingham County,Effingham Co. Sheriff
Georgia,Echols County - Echols County Sheriff,19,14,5,Echols County,Echols County Sheriff
Georgia,Marion County - Marion County Sheriff,17,2,15,Marion County,Marion County Sheriff
Georgia,Early County - Early County Sheriff,17,4,13,Early County,Early County Sheriff
Georgia,Wheeler County - Wheeler County Jail,17,8,9,Wheeler County,Wheeler County Jail
Georgia,Towns County - Towns County Sheriff,17,6,11,Towns County,Towns County Sheriff
Georgia,Jefferson County - Jefferson County Sheriff,17,5,12,Jefferson County,Jefferson County Sheriff
Georgia,White County - White County Sheriff,16,10,6,White County,White County Sheriff
Georgia,Hall County - North Georgia Detention Center,16,11,5,Hall County,North Georgia Detention Center
Georgia,Telfair County - Telfair County Sheriff,16,4,12,Telfair County,Telfair County Sheriff
Georgia,Stephens County - Stephens County Det. Division,16,6,10,Stephens County,Stephens County Det. Division
Georgia,Upson County - Upson County Sheriff,15,2,13,Upson County,Upson County Sheriff
Georgia,Jasper County - Jasper County Sheriff,15,4,11,Jasper County,Jasper County Sheriff
