State,Jurisdiction,All,Yes,No,County,Facility
Hawaii,All,"1,144",543,601,All,All
Hawaii,Honolulu County - Oahu Community Corr Ctr,220,120,100,Honolulu County,Oahu Community Corr Ctr
Hawaii,Honolulu County - Halawa Med Security Fac,158,61,97,Honolulu County,Halawa Med Security Fac
Hawaii,Honolulu County - Honolulu Federal Detention Cente,147,53,94,Honolulu County,Honolulu Federal Detention Cente
Hawaii,Honolulu County - Honolulu Police Dept Cell,115,35,80,Honolulu County,Honolulu Police Dept Cell
Hawaii,Honolulu County - Honolulu Sheriff Dept.,111,76,35,Honolulu County,Honolulu Sheriff Dept.
Hawaii,Maui County - Maui Co Pd - Wailuku,70,36,34,Maui County,Maui Co Pd
Hawaii,Hawaii County - Hawaii Community Corr Ctr,66,42,24,Hawaii County,Hawaii Community Corr Ctr
Hawaii,Maui County - Maui Co Pd - Lahaina,62,33,29,Maui County,Maui Co Pd
Hawaii,Maui County - Maui Community Corr Ctr,50,40,10,Maui County,Maui Community Corr Ctr
Hawaii,"Honolulu County - Us Marshals, Hawaii",46,8,38,Honolulu County,"Us Marshals, Hawaii"
Hawaii,Hawaii County - Hawaii Co Pd - Kailua-Kona,46,25,21,Hawaii County,Hawaii Co Pd
Hawaii,Hawaii County - Hawaii Co Pd - Hilo,21,4,17,Hawaii County,Hawaii Co Pd
Hawaii,Honolulu County - Honolulu District Office Holding,11,2,9,Honolulu County,Honolulu District Office Holding
Hawaii,Kauai County - Kauai Community Corr Ctr,10,5,5,Kauai County,Kauai Community Corr Ctr
Hawaii,Hawaii County - Women Community Corr Ctr,6,2,4,Hawaii County,Women Community Corr Ctr
Hawaii,Kauai County - Kauai Police Dept.,5,1,4,Kauai County,Kauai Police Dept.
