State,Jurisdiction,All,Yes,No,County,Facility
Idaho,All,"11,030","7,791","3,239",All,All
Idaho,Canyon County - Haile Detention. Center,"1,447","1,160",287,Canyon County,Haile Detention. Center
Idaho,Ada County - Ada County Jail,"1,112",629,483,Ada County,Ada County Jail
Idaho,Canyon County - Canyon County Jail,"1,053",606,447,Canyon County,Canyon County Jail
Idaho,Twin Falls County - Twin Falls County Jail,"1,036",811,225,Twin Falls County,Twin Falls County Jail
Idaho,Jerome County - Jerome County Jail,929,741,188,Jerome County,Jerome County Jail
Idaho,Cassia County - Minicassia Detention Center,902,683,219,Cassia County,Minicassia Detention Center
Idaho,Bonneville County - Bonneville Co. Jail,877,710,167,Bonneville County,Bonneville Co. Jail
Idaho,"Ada County - Idaho State Prison, Boise",598,289,309,Ada County,"Idaho State Prison, Boise"
Idaho,Gooding County - Gooding County Jail,424,341,83,Gooding County,Gooding County Jail
Idaho,Bingham County - Bingham County Jail,260,214,46,Bingham County,Bingham County Jail
Idaho,Elmore County - Elmore County Jail,255,163,92,Elmore County,Elmore County Jail
Idaho,Madison County - Madison County Jail,251,203,48,Madison County,Madison County Jail
Idaho,Bannock County - Bannock County Jail,217,151,66,Bannock County,Bannock County Jail
Idaho,Blaine County - Blaine County Jail,201,147,54,Blaine County,Blaine County Jail
Idaho,"Ada County - Us Marshal's Service, Id",194,47,147,Ada County,"Us Marshal's Service, Id"
Idaho,Jefferson County - Jefferson County Jail,161,133,28,Jefferson County,Jefferson County Jail
Idaho,Power County - Power County Jail,142,112,30,Power County,Power County Jail
Idaho,Fremont County - Fremont County Jail,139,101,38,Fremont County,Fremont County Jail
Idaho,Payette County - Payette County Jail,127,94,33,Payette County,Payette County Jail
Idaho,Owyhee County - Owyhee County Jail,125,84,41,Owyhee County,Owyhee County Jail
Idaho,Kootenai County - Kootenai County,106,84,22,Kootenai County,Kootenai County
Idaho,Valley County - Valley County Jail,86,56,30,Valley County,Valley County Jail
Idaho,Washington County - Washington County Jail,78,50,28,Washington County,Washington County Jail
Idaho,Teton County - Teton County Jail,48,23,25,Teton County,Teton County Jail
Idaho,Gem County - Gem County Jail,33,26,7,Gem County,Gem County Jail
Idaho,Ada County - Idaho State Corr. Fac.-Limited,28,9,19,Ada County,Idaho State Corr. Fac.-Limited
Idaho,Butte County - Butte County Jail,22,13,9,Butte County,Butte County Jail
Idaho,Oneida County - Oneida County Jail,21,12,9,Oneida County,Oneida County Jail
Idaho,Caribou County - Caribou County Jail,19,12,7,Caribou County,Caribou County Jail
Idaho,Clark County - Clark County Jail,17,14,3,Clark County,Clark County Jail
Idaho,Franklin County - Franklin County Jail,17,10,7,Franklin County,Franklin County Jail
Idaho,Nez Perce County - Nez Perce County Jail,15,14,1,Nez Perce County,Nez Perce County Jail
Idaho,Ada County - Boise Hold Room,14,2,12,Ada County,Boise Hold Room
Idaho,Adams County - Adams County Jail,13,8,5,Adams County,Adams County Jail
Idaho,Custer County - Custer County Jail,11,8,3,Custer County,Custer County Jail
Idaho,Bonner County - Bonner County Detention Center,8,5,3,Bonner County,Bonner County Detention Center
Idaho,Cassia County - Cassia County Sheriff/Jail,8,4,4,Cassia County,Cassia County Sheriff/Jail
Idaho,Lemhi County - Lemhi County Jail,7,6,1,Lemhi County,Lemhi County Jail
Idaho,Latah County - Latah County Jail,7,5,2,Latah County,Latah County Jail
Idaho,Fremont County - Five County Juv Det Center,6,4,2,Fremont County,Five County Juv Det Center
Idaho,Shoshone County - Shoshone Co Public Safety Facili,4,3,1,Shoshone County,Shoshone Co Public Safety Facili
Idaho,Twin Falls County - Snake River Juvenile,3,,3,Twin Falls County,Snake River Juvenile
Idaho,Boundary County - Boundary County,2,1,1,Boundary County,Boundary County
Idaho,Bannock County - Pocatello Women's Corr,2,,2,Bannock County,Pocatello Women's Corr
Idaho,Idaho County - Idaho County Jail,2,1,1,Idaho County,Idaho County Jail
Idaho,Idaho County - North Idaho Correctional,1,1,,Idaho County,North Idaho Correctional
Idaho,Minidoka County - Mini-Cassia Juvenile Det. Center,1,,1,Minidoka County,Mini-Cassia Juvenile Det. Center
Idaho,Camas County - Camas County Jail,1,1,,Camas County,Camas County Jail
