State,Jurisdiction,All,Yes,No,County,Facility
Illinois,All,"38,269","18,284","19,985",All,All
Illinois,Cook County - Cook County Jail,"10,541","3,299","7,242",Cook County,Cook County Jail
Illinois,Will County - Stateville Corrections,"6,450","3,827","2,623",Will County,Stateville Corrections
Illinois,DuPage County - Dupage County Jail,"4,576","2,612","1,964",DuPage County,Dupage County Jail
Illinois,Kane County - Kane County Jail,"2,922","1,720","1,202",Kane County,Kane County Jail
Illinois,Lake County - Lake County Jail,"2,753","1,435","1,318",Lake County,Lake County Jail
Illinois,McHenry County - McHenry County Adult Correctional,"2,003","1,354",649,McHenry County,McHenry County Adult Correctional
Illinois,Will County - Will County Sheriff,"1,155",771,384,Will County,Will County Sheriff
Illinois,Winnebago County - Winnebago County Sheriff,543,337,206,Winnebago County,Winnebago County Sheriff
Illinois,Kane County - Elgin Police Department.Jail,515,280,235,Kane County,Elgin Police Department.Jail
Illinois,Cook County - Chicago Mcc,450,130,320,Cook County,Chicago Mcc
Illinois,McLean County - Mclean County Jail,409,254,155,McLean County,Mclean County Jail
Illinois,Rock Island County - Rock Island County Jail,403,107,296,Rock Island County,Rock Island County Jail
Illinois,"Cook County - Us Marshal, N. Dist Il",267,23,244,Cook County,"Us Marshal, N. Dist Il"
Illinois,Tazewell County - Pekin Fed.Corr.Inst.,258,109,149,Tazewell County,Pekin Fed.Corr.Inst.
Illinois,Boone County - Boone County Jail,246,158,88,Boone County,Boone County Jail
Illinois,St. Clair County - St Clair County Jail,200,56,144,St. Clair County,St Clair County Jail
Illinois,Will County - Joliet Correctional Inst.,190,101,89,Will County,Joliet Correctional Inst.
Illinois,Williamson County - Marion Usp,181,85,96,Williamson County,Marion Usp
Illinois,Bond County - Greenville Fci,181,74,107,Bond County,Greenville Fci
Illinois,Champaign County - Champaign County Jail,155,60,95,Champaign County,Champaign County Jail
Illinois,Ogle County - Ogle County Jail,146,14,132,Ogle County,Ogle County Jail
Illinois,Kane County - Aurora Police Dept.,141,83,58,Kane County,Aurora Police Dept.
Illinois,DeKalb County - Dekalb County Jail,135,83,52,DeKalb County,Dekalb County Jail
Illinois,Cook County - Cicero Police Dept.,132,22,110,Cook County,Cicero Police Dept.
Illinois,Madison County - Madison County Det. Home,118,14,104,Madison County,Madison County Det. Home
Illinois,Fulton County - Illinois River Correction,114,56,58,Fulton County,Illinois River Correction
Illinois,Lee County - Lee County Jail,113,76,37,Lee County,Lee County Jail
Illinois,"St. Clair County - Us Marshals, S. District, Il",99,12,87,St. Clair County,"Us Marshals, S. District, Il"
Illinois,Peoria County - Peoria County Jail,90,29,61,Peoria County,Peoria County Jail
Illinois,DuPage County - Glendale Heights Police Dept.,90,39,51,DuPage County,Glendale Heights Police Dept.
Illinois,Lee County - Dixon Correctional Center,80,11,69,Lee County,Dixon Correctional Center
