State,Jurisdiction,All,Yes,No,County,Facility
Iowa,All,"10,227","4,530","5,697",All,All
Iowa,Polk County - Polk County Jail,"2,000",662,"1,338",Polk County,Polk County Jail
Iowa,Johnson County - Iowa Medical Classif Ctr,709,434,275,Johnson County,Iowa Medical Classif Ctr
Iowa,Woodbury County - Woodbury County Jail,594,305,289,Woodbury County,Woodbury County Jail
Iowa,Linn County - Linn County Jail,540,322,218,Linn County,Linn County Jail
Iowa,Sioux County - Sioux County Jail,433,291,142,Sioux County,Sioux County Jail
Iowa,Johnson County - Johnson County Jail,429,275,154,Johnson County,Johnson County Jail
Iowa,Pottawattamie County - Pottawattamie County Jail,355,160,195,Pottawattamie County,Pottawattamie County Jail
Iowa,Muscatine County - Muscatine County Jail,318,137,181,Muscatine County,Muscatine County Jail
Iowa,Marshall County - Marshall County Jail,316,91,225,Marshall County,Marshall County Jail
Iowa,Black Hawk County - Black Hawk Co Jail,272,152,120,Black Hawk County,Black Hawk Co Jail
Iowa,Scott County - Scott County Det.Facility,271,100,171,Scott County,Scott County Det.Facility
Iowa,"Linn County - Us Marshals, N. Dist. Ia",257,54,203,Linn County,"Us Marshals, N. Dist. Ia"
Iowa,Sac County - Sac County Jail,219,92,127,Sac County,Sac County Jail
Iowa,Buena Vista County - Buena Vista Co Jail,212,126,86,Buena Vista County,Buena Vista Co Jail
Iowa,Crawford County - Crawford County Jail,185,106,79,Crawford County,Crawford County Jail
Iowa,Wright County - Wright County Jail,184,65,119,Wright County,Wright County Jail
Iowa,Woodbury County - Us Marshal Sioux City,150,33,117,Woodbury County,Us Marshal Sioux City
Iowa,Dallas County - Dallas County Sheriff's Office,149,62,87,Dallas County,Dallas County Sheriff's Office
Iowa,"Dubuque County - Dubuque County Jail, Iowa",146,72,74,Dubuque County,"Dubuque County Jail, Iowa"
Iowa,Henry County - Henry Co Jail,134,68,66,Henry County,Henry Co Jail
Iowa,Story County - Story County Jail,128,38,90,Story County,Story County Jail
Iowa,"Polk County - Us Marshals, S. Dist. Ia",125,20,105,Polk County,"Us Marshals, S. Dist. Ia"
Iowa,Hardin County - Hardin County Correctional Center,105,55,50,Hardin County,Hardin County Correctional Center
Iowa,"O'Brien County - Obrien Co Jail, Iowa",104,44,60,O'Brien County,"Obrien Co Jail, Iowa"
Iowa,Tama County - Tama Co Jail,103,53,50,Tama County,Tama Co Jail
Iowa,Wapello County - Wapello County Jail,102,32,70,Wapello County,Wapello County Jail
Iowa,Franklin County - Franklin County Jail,86,21,65,Franklin County,Franklin County Jail
Iowa,Clay County - Clay Co Jail,86,44,42,Clay County,Clay Co Jail
Iowa,Clay County - Clay Co Jail,86,44,42,Clay County,Clay Co Jail
Iowa,Cerro Gordo County - Cerro Gordo County,67,17,50,Cerro Gordo County,Cerro Gordo County
Iowa,Humboldt County - Humboldt Co Jail,63,23,40,Humboldt County,Humboldt Co Jail
Iowa,Louisa County - Louisa County Jail,63,38,25,Louisa County,Louisa County Jail
Iowa,Clinton County - Clinton County Jail,62,34,28,Clinton County,Clinton County Jail
Iowa,Emmet County - Emmet County Jail,57,23,34,Emmet County,Emmet County Jail
Iowa,Washington County - Washington County Jail,52,26,26,Washington County,Washington County Jail
Iowa,Dickinson County - Dickinson County Jail,48,22,26,Dickinson County,Dickinson County Jail
Iowa,Carroll County - Carrol County Jail,47,27,20,Carroll County,Carrol County Jail
Iowa,Plymouth County - Plymouth County Sheriff/Jail,42,15,27,Plymouth County,Plymouth County Sheriff/Jail
Iowa,Harrison County - Harrison County Jail,42,22,20,Harrison County,Harrison County Jail
Iowa,Keokuk County - Webster County Jail,39,15,24,Keokuk County,Webster County Jail
Iowa,Lyon County - Lyon County Jail,39,22,17,Lyon County,Lyon County Jail
Iowa,Osceola County - Osceola Co Jail,37,8,29,Osceola County,Osceola Co Jail
Iowa,Benton County - Benton Co Jail,31,20,11,Benton County,Benton Co Jail
Iowa,Clayton County - Clayton County Jail,31,16,15,Clayton County,Clayton County Jail
Iowa,Clarke County - Clarke Co Sheriff,31,3,28,Clarke County,Clarke Co Sheriff
Iowa,Montgomery County - Montgomery County Jail,29,13,16,Montgomery County,Montgomery County Jail
Iowa,Jones County - Anamosa State Penitentiar,29,7,22,Jones County,Anamosa State Penitentiar
Iowa,Allamakee County - Allamakee County Jail,28,16,12,Allamakee County,Allamakee County Jail
Iowa,Jones County - Jones County Jail,28,23,5,Jones County,Jones County Jail
Iowa,Jasper County - Jasper Co Jail,27,11,16,Jasper County,Jasper Co Jail
Iowa,Hancock County - Hancock County Jail,26,5,21,Hancock County,Hancock County Jail
Iowa,Cherokee County - Cherokee County Sheriff's Office,26,8,18,Cherokee County,Cherokee County Sheriff's Office
Iowa,Henry County - Mt Pleasant Correctional,24,15,9,Henry County,Mt Pleasant Correctional
Iowa,"Shelby County - Shelby County Jail, Iowa",23,10,13,Shelby County,"Shelby County Jail, Iowa"
Iowa,Lee County - Lee County Sheriff/Jail,22,16,6,Lee County,Lee County Sheriff/Jail
Iowa,Warren County - Warren County Jail,20,5,15,Warren County,Warren County Jail
Iowa,Polk County - Des Moines Hold Room,20,1,19,Polk County,Des Moines Hold Room
Iowa,Polk County - Ia Dept Of Corrections Hq,20,13,7,Polk County,Ia Dept Of Corrections Hq
Iowa,Jasper County - Newton Corr'l Release Ctr,19,13,6,Jasper County,Newton Corr'l Release Ctr
Iowa,Fayette County - Fayette County Jail,18,8,10,Fayette County,Fayette County Jail
Iowa,Marion County - Marion County Jail,17,3,14,Marion County,Marion County Jail
Iowa,Des Moines County - Des Moines County Jail,16,2,14,Des Moines County,Des Moines County Jail
Iowa,Worth County - Worth County Jail,16,6,10,Worth County,Worth County Jail
Iowa,"Floyd County - Floyd County, Iowa Jail",15,9,6,Floyd County,"Floyd County, Iowa Jail"
Iowa,Taylor County - Taylor County Courthouse,15,1,14,Taylor County,Taylor County Courthouse
Iowa,Dallas County - Perry Police Dept.,15,,15,Dallas County,Perry Police Dept.
Iowa,Fremont County - Fremont County Sheriff,14,4,10,Fremont County,Fremont County Sheriff
Iowa,Ida County - Ida County Jail,13,6,7,Ida County,Ida County Jail
Iowa,Union County - Union County Jail,12,7,5,Union County,Union County Jail
Iowa,Adams County - Adams County Jail,12,4,8,Adams County,Adams County Jail
Iowa,Winnebago County - Winnebago County Sheriff/Jail,12,1,11,Winnebago County,Winnebago County Sheriff/Jail
Iowa,Greene County - Greene County Jail,12,3,9,Greene County,Greene County Jail
Iowa,Mills County - Mills County Jail,11,5,6,Mills County,Mills County Jail
Iowa,"Cass County - Cass Co, Ia, Corr Facilit",11,6,5,Cass County,"Cass Co, Ia, Corr Facilit"
Iowa,Madison County - Madison County Jail,10,4,6,Madison County,Madison County Jail
Iowa,Lee County - Iowa State Penitentiary,10,5,5,Lee County,Iowa State Penitentiary
Iowa,Kossuth County - Kossuth County Jail,10,2,8,Kossuth County,Kossuth County Jail
Iowa,Mahaska County - Mahaska County Jail,9,,9,Mahaska County,Mahaska County Jail
Iowa,Delaware County - Delaware County Jail,9,3,6,Delaware County,Delaware County Jail
Iowa,"Bremer County - Bremer Co Jail, Iowa",7,6,1,Bremer County,"Bremer Co Jail, Iowa"
Iowa,Poweshiek County - Poweshiek County Jail,7,4,3,Poweshiek County,Poweshiek County Jail
Iowa,"Monona County - Monona County Jail, Iowa",7,3,4,Monona County,"Monona County Jail, Iowa"
Iowa,Linn County - Cedar Rapids Hold Room,6,1,5,Linn County,Cedar Rapids Hold Room
Iowa,Palo Alto County - Palo Alto County Jail,6,2,4,Palo Alto County,Palo Alto County Jail
Iowa,Page County - Clarinda Corr. Treat. Fac.,5,5,,Page County,Clarinda Corr. Treat. Fac.
Iowa,Woodbury County - Sioux City Hold Room,5,,5,Woodbury County,Sioux City Hold Room
Iowa,Cedar County - Cedar County Jail,5,1,4,Cedar County,Cedar County Jail
Iowa,Howard County - Howard County Jail,5,4,1,Howard County,Howard County Jail
Iowa,Van Buren County - Van Buren County Jail,5,1,4,Van Buren County,Van Buren County Jail
Iowa,Pocahontas County - Pocahontas County Jail,5,2,3,Pocahontas County,Pocahontas County Jail
Iowa,"Butler County - Butler Co Jail, Iowa",4,2,2,Butler County,"Butler Co Jail, Iowa"
Iowa,Woodbury County - Woodbury Co Juv Det Cntr.,4,,4,Woodbury County,Woodbury Co Juv Det Cntr.
Iowa,Jefferson County - Jefferson County Jail,3,1,2,Jefferson County,Jefferson County Jail
Iowa,Keokuk County - Keokuk County Jail,3,2,1,Keokuk County,Keokuk County Jail
Iowa,Page County - Page County Jail,3,1,2,Page County,Page County Jail
Iowa,Franklin County - Hampton Police Dept.,3,,3,Franklin County,Hampton Police Dept.
Iowa,Monroe County - Monroe County Jail,2,,2,Monroe County,Monroe County Jail
Iowa,Iowa County - Iowa County Jail,2,,2,Iowa County,Iowa County Jail
Iowa,Clay County - Spencer Police Dept.,2,,2,Clay County,Spencer Police Dept.
Iowa,Guthrie County - Guthrie County Sheriff's Office,1,,1,Guthrie County,Guthrie County Sheriff's Office
Iowa,Buchanan County - Public Safety Center,1,1,,Buchanan County,Public Safety Center
Iowa,Calhoun County - North Central Corr. Fac.,1,1,,Calhoun County,North Central Corr. Fac.
Iowa,Polk County - Camp Dodge,1,,1,Polk County,Camp Dodge
