State,Jurisdiction,All,Yes,No,County,Facility
Maine,Cumberland County - Cumberland County Jail,218,139,79,Cumberland County,Cumberland County Jail
Maine,Cumberland County - Cumberland County Jail,218,139,79,Cumberland County,Cumberland County Jail
Maine,Cumberland County - Cumberland County Jail,218,139,79,Cumberland County,Cumberland County Jail
Maine,Cumberland County - Cumberland County Jail,218,139,79,Cumberland County,Cumberland County Jail
Maine,Cumberland County - Cumberland County Jail,218,139,79,Cumberland County,Cumberland County Jail
Maine,Cumberland County - Cumberland County Jail,218,139,79,Cumberland County,Cumberland County Jail
Maine,Somerset County - Somerset County Jail,19,12,7,Somerset County,Somerset County Jail
Maine,Androscoggin County - Androscoggin County Jail,16,9,7,Androscoggin County,Androscoggin County Jail
Maine,Washington County - Washington County Jail,11,6,5,Washington County,Washington County Jail
Maine,Penobscot County - Penobscot County Jail,11,6,5,Penobscot County,Penobscot County Jail
Maine,Kennebec County - Kennebec County Jail,7,4,3,Kennebec County,Kennebec County Jail
Maine,Oxford County - Oxford County Jail,5,,5,Oxford County,Oxford County Jail
Maine,Kennebec County - Maine Dept Of Corrections,5,3,2,Kennebec County,Maine Dept Of Corrections
Maine,Waldo County - Waldo County Jail,4,1,3,Waldo County,Waldo County Jail
Maine,Hancock County - Hancock County Jail,4,1,3,Hancock County,Hancock County Jail
Maine,Piscataquis County - Piscataguis County Jail,4,,4,Piscataquis County,Piscataguis County Jail
Maine,Lincoln County - Lincoln County Jail,2,1,1,Lincoln County,Lincoln County Jail
Maine,Penobscot County - Charleston Correctional F,2,2,,Penobscot County,Charleston Correctional F
Maine,Cumberland County - Portland ME Hold Room,1,1,,Cumberland County,Portland ME Hold Room
Maine,Aroostook County - Aroostook County Jail,1,1,,Aroostook County,Aroostook County Jail
Maine,"Franklin County - Franklin County Jail, Me",1,,1,Franklin County,"Franklin County Jail, Me"
