State,Jurisdiction,All,Yes,No,County,Facility
Maryland,Prince George's County - Prince Georges Co Det Cen,"3,341","1,340","2,001",Prince George's County,Prince Georges Co Det Cen
Maryland,Prince George's County - Prince Georges Co Det Cen,"3,341","1,340","2,001",Prince George's County,Prince Georges Co Det Cen
Maryland,Prince George's County - Prince Georges Co Det Cen,"3,341","1,340","2,001",Prince George's County,Prince Georges Co Det Cen
Maryland,Prince George's County - Prince Georges Co Det Cen,"3,341","1,340","2,001",Prince George's County,Prince Georges Co Det Cen
Maryland,Prince George's County - Prince Georges Co Det Cen,"3,341","1,340","2,001",Prince George's County,Prince Georges Co Det Cen
Maryland,Prince George's County - Prince Georges Co Det Cen,"3,341","1,340","2,001",Prince George's County,Prince Georges Co Det Cen
Maryland,Prince George's County - Prince Georges Co Det Cen,"3,341","1,340","2,001",Prince George's County,Prince Georges Co Det Cen
Maryland,Prince George's County - Prince Georges Co Det Cen,"3,341","1,340","2,001",Prince George's County,Prince Georges Co Det Cen
Maryland,Prince George's County - Prince Georges Co Det Cen,"3,341","1,340","2,001",Prince George's County,Prince Georges Co Det Cen
Maryland,Prince George's County - Prince Georges Co Det Cen,"3,341","1,340","2,001",Prince George's County,Prince Georges Co Det Cen
Maryland,Prince George's County - Prince Georges Co Det Cen,"3,341","1,340","2,001",Prince George's County,Prince Georges Co Det Cen
Maryland,"Baltimore City - Us Marshals,maryland",233,41,192,Baltimore City,"Us Marshals,maryland"
Maryland,Allegany County - Cumberland Federal Correctional,215,34,181,Allegany County,Cumberland Federal Correctional
Maryland,Harford County - Harford County Detention,212,104,108,Harford County,Harford County Detention
Maryland,Baltimore City - Baltimore City Detention Center,209,108,101,Baltimore City,Baltimore City Detention Center
Maryland,Carroll County - Carroll County Detention Center,199,118,81,Carroll County,Carroll County Detention Center
Maryland,Queen Anne's County - Queen Anne Co Det Center,198,99,99,Queen Anne's County,Queen Anne Co Det Center
Maryland,Baltimore City - Baltimore Cit Jail,175,88,87,Baltimore City,Baltimore Cit Jail
Maryland,Charles County - Charles County Det Cntr,174,82,92,Charles County,Charles County Det Cntr
Maryland,St. Mary's County - St. Mary's Co Det Cntr,158,92,66,St. Mary's County,St. Mary's Co Det Cntr
Maryland,Baltimore City - Md Reception Diagn. Cent.,121,36,85,Baltimore City,Md Reception Diagn. Cent.
Maryland,Dorchester County - Dorchester County Detention Ce,111,66,45,Dorchester County,Dorchester County Detention Ce
Maryland,Washington County - Washington Co. Detention,106,53,53,Washington County,Washington Co. Detention
Maryland,Talbot County - Talbot County Det Center,106,45,61,Talbot County,Talbot County Det Center
Maryland,Anne Arundel County - Jessup Cor. Fac.,99,15,84,Anne Arundel County,Jessup Cor. Fac.
Maryland,Calvert County - Calvert County Sheriff,89,29,60,Calvert County,Calvert County Sheriff
Maryland,Kent County - Kent Co. Det. Center,85,51,34,Kent County,Kent Co. Det. Center
Maryland,Caroline County - Caroline County Det Center,73,40,33,Caroline County,Caroline County Det Center
Maryland,Cecil County - Cecil County Detention,48,25,23,Cecil County,Cecil County Detention
Maryland,Somerset County - Eastern Correctional Inst,41,12,29,Somerset County,Eastern Correctional Inst
Maryland,Baltimore City - Baltimore DD&P Holding Facility,31,12,19,Baltimore City,Baltimore DD&P Holding Facility
Maryland,Somerset County - Somerset County Det Center,30,18,12,Somerset County,Somerset County Det Center
Maryland,Baltimore City - Maryland Transition Center,29,7,22,Baltimore City,Maryland Transition Center
Maryland,Allegany County - Allegheny Detention Fac.,22,10,12,Allegany County,Allegheny Detention Fac.
Maryland,"Anne Arundel County - Anne Arundel County Pd, Sd",17,6,11,Anne Arundel County,"Anne Arundel County Pd, Sd"
Maryland,Baltimore City - Balto.City Northwestern,15,5,10,Baltimore City,Balto.City Northwestern
Maryland,Baltimore City - Baltimore Pd-#9 White Marsh,14,1,13,Baltimore City,Baltimore Pd-#9 White Marsh
Maryland,Washington County - Roxbury Correctional Inst,10,2,8,Washington County,Roxbury Correctional Inst
Maryland,Anne Arundel County - Brockbridge Cor Fac,10,2,8,Anne Arundel County,Brockbridge Cor Fac
Maryland,Anne Arundel County - Patuxent Correctional Fac,8,1,7,Anne Arundel County,Patuxent Correctional Fac
Maryland,Anne Arundel County - Annapolis Police Dept.,5,1,4,Anne Arundel County,Annapolis Police Dept.
Maryland,Howard County - Bop Mid-Atlantic Regn Off,1,,1,Howard County,Bop Mid-Atlantic Regn Off
Maryland,Howard County - Bop Baltimore Ccm,1,,1,Howard County,Bop Baltimore Ccm
Maryland,Baltimore City - Balt City Southwestern,1,1,,Baltimore City,Balt City Southwestern
