State,Jurisdiction,All,Yes,No,County,Facility
Michigan,All,"9,948","5,512","4,436",All,All
Michigan,Kent County - Kent County Facility,"1,904","1,450",454,Kent County,Kent County Facility
Michigan,"Oakland County - Oakland Co., Pontiac, Mi",860,440,420,Oakland County,"Oakland Co., Pontiac, Mi"
Michigan,"Jackson County - Egeler Cor Fac,jackson,mi",717,194,523,Jackson County,"Egeler Cor Fac,jackson,mi"
Michigan,"Wayne County - Wayne County, Detroit",528,158,370,Wayne County,"Wayne County, Detroit"
Michigan,"Wayne County - Us Marshal's, E.Dist. Mi",437,85,352,Wayne County,"Us Marshal's, E.Dist. Mi"
Michigan,"Oceana County - Oceana County, Hart, Mi",402,329,73,Oceana County,"Oceana County, Hart, Mi"
Michigan,Ottawa County - Ottawa County Jail,367,293,74,Ottawa County,Ottawa County Jail
Michigan,Washtenaw County - Milan Fed.Corr.Inst.,358,72,286,Washtenaw County,Milan Fed.Corr.Inst.
Michigan,"Kent County - Us Marshal-Grand Rapids, Mi",330,99,231,Kent County,"Us Marshal-Grand Rapids, Mi"
Michigan,"Macomb County - Macomb Co.Mt.Clemens,mi.",289,159,130,Macomb County,"Macomb Co.Mt.Clemens,mi."
Michigan,Calhoun County - Calhoun County Facility,251,185,66,Calhoun County,Calhoun County Facility
Michigan,Washtenaw County - Washtenaw County Facility,226,118,108,Washtenaw County,Washtenaw County Facility
Michigan,"St. Joseph County - St Joseph Co,centreville,",222,169,53,St. Joseph County,"St Joseph Co,centreville,"
Michigan,"Allegan County - Allegan Co. Sher. All.,mi",218,165,53,Allegan County,"Allegan Co. Sher. All.,mi"
Michigan,"Berrien County - Berrien Co, St.Jo.,mi",213,173,40,Berrien County,"Berrien Co, St.Jo.,mi"
Michigan,"Van Buren County - Van Buren County Jail, Mi",195,141,54,Van Buren County,"Van Buren County Jail, Mi"
Michigan,"Branch County - Branch Co, Coldwater, Mi",140,108,32,Branch County,"Branch Co, Coldwater, Mi"
Michigan,"Ionia County - Ionia Co., Ionia, Mi.",134,110,24,Ionia County,"Ionia Co., Ionia, Mi."
Michigan,"Newaygo County - Newaygo Co.White Cloud,mi",121,77,44,Newaygo County,"Newaygo Co.White Cloud,mi"
Michigan,Ingham County - Ingham County Jail,119,82,37,Ingham County,Ingham County Jail
Michigan,Kalamazoo County - Kalamazoo Co.Kalamazoo.Mi,112,76,36,Kalamazoo County,Kalamazoo Co.Kalamazoo.Mi
Michigan,"Jackson County - Jackson Co., Jackson,mi",102,43,59,Jackson County,"Jackson Co., Jackson,mi"
Michigan,Wayne County - Dearborn Police Department Facility,99,21,78,Wayne County,Dearborn Police Department Facility
Michigan,"Lenawee County - Lenawee Co,adrian, Mi",81,47,34,Lenawee County,"Lenawee Co,adrian, Mi"
Michigan,Monroe County - Monroe County Facility,79,43,36,Monroe County,Monroe County Facility
Michigan,Wayne County - Detroit Immigration Holding Facilit,68,9,59,Wayne County,Detroit Immigration Holding Facilit
Michigan,Muskegon County - Muskegon County Jail,62,44,18,Muskegon County,Muskegon County Jail
Michigan,Wayne County - Detroit Police 1st Pct.,50,6,44,Wayne County,Detroit Police 1st Pct.
Michigan,"Wayne County - Taylor Pd,taylor, Mi",50,24,26,Wayne County,"Taylor Pd,taylor, Mi"
Michigan,"Saginaw County - Saginaw Co., Saginaw, Mi",49,28,21,Saginaw County,"Saginaw Co., Saginaw, Mi"
Michigan,Wayne County - Canton Township Police Dept.,49,12,37,Wayne County,Canton Township Police Dept.
Michigan,"Cass County - Cass Co., Cassopolis,mi",46,32,14,Cass County,"Cass Co., Cassopolis,mi"
Michigan,"Ottawa County - Holland Pd, Holland,mi.",46,28,18,Ottawa County,"Holland Pd, Holland,mi."
Michigan,"Grand Traverse County - Grand Traverse Co.,g.T.Mi",43,23,20,Grand Traverse County,"Grand Traverse Co.,g.T.Mi"
Michigan,Chippewa County - Chippewa County Facility,39,20,19,Chippewa County,Chippewa County Facility
Michigan,"Eaton County - Eaton Co.,charlotte, Mi",36,26,10,Eaton County,"Eaton Co.,charlotte, Mi"
Michigan,"Lapeer County - Lapeer Co., Lapeer. Mi.",35,25,10,Lapeer County,"Lapeer Co., Lapeer. Mi."
Michigan,"Genesee County - Genesee Co., Flint, Mi.",34,16,18,Genesee County,"Genesee Co., Flint, Mi."
Michigan,Oakland County - Novi Police Dept.,32,15,17,Oakland County,Novi Police Dept.
Michigan,"Wayne County - Detroit Police Dept, 2nd Pct",32,9,23,Wayne County,"Detroit Police Dept, 2nd Pct"
Michigan,"Luce County - Newberry C.F.,newberry,mi",32,16,16,Luce County,"Newberry C.F.,newberry,mi"
Michigan,"Jackson County - Charles Egler Fac,jackson",31,10,21,Jackson County,"Charles Egler Fac,jackson"
Michigan,Mason County - Mason County Jail,26,19,7,Mason County,Mason County Jail
Michigan,Clinton County - Clinton County Jail,24,13,11,Clinton County,Clinton County Jail
Michigan,"Leelanau County - Leelanau Co,leland,mi",21,15,6,Leelanau County,"Leelanau Co,leland,mi"
Michigan,Isabella County - Isabella County Jail,21,15,6,Isabella County,Isabella County Jail
Michigan,"Montcalm County - Montcalm Co., Stanton,mi.",21,16,5,Montcalm County,"Montcalm Co., Stanton,mi."
Michigan,Wayne County - Hamtramck Police Dept.,20,3,17,Wayne County,Hamtramck Police Dept.
Michigan,"Chippewa County - Kinross Correc-Kinross,mi",17,9,8,Chippewa County,"Kinross Correc-Kinross,mi"
Michigan,"Lapeer County - Thumb Regional, Lapeer,mi",16,3,13,Lapeer County,"Thumb Regional, Lapeer,mi"
Michigan,"Huron County - Huron Co, Bad Axe, Mi.",16,3,13,Huron County,"Huron Co, Bad Axe, Mi."
Michigan,Shiawassee County - Shiawassee County Jail,15,11,4,Shiawassee County,Shiawassee County Jail
Michigan,St. Clair County - St. Clair County Facility,15,7,8,St. Clair County,St. Clair County Facility
Michigan,"Bay County - Bay Co. Jail, Bay Cty,mi.",15,10,5,Bay County,"Bay Co. Jail, Bay Cty,mi."
Michigan,"Jackson County - G Robert Cotton,jackson",15,4,11,Jackson County,"G Robert Cotton,jackson"
Michigan,"Manistee County - Manistee Co,manistee,mi",15,11,4,Manistee County,"Manistee Co,manistee,mi"
Michigan,Barry County - Barry County Jail,14,11,3,Barry County,Barry County Jail
