State,Jurisdiction,All,Yes,No,County,Facility
Minnesota,All,"18,596","11,832","6,764",All,All
Minnesota,Hennepin County - Hennepin County Adc,"5,452","3,609","1,843",Hennepin County,Hennepin County Adc
Minnesota,Ramsey County - Ramsey Adult Detention Center Anne,"1,325","1,137",188,Ramsey County,Ramsey Adult Detention Center Anne
Minnesota,Anoka County - Anoka County Jail,"1,116",792,324,Anoka County,Anoka County Jail
Minnesota,"Dakota County - Dakota Co. Jail, Mn",711,488,223,Dakota County,"Dakota Co. Jail, Mn"
Minnesota,Waseca County - Waseca Fed.Corr.Inst.,680,372,308,Waseca County,Waseca Fed.Corr.Inst.
Minnesota,Nobles County - Nobles County Jail,673,371,302,Nobles County,Nobles County Jail
Minnesota,Olmsted County - Olmsted Co. Jail,587,390,197,Olmsted County,Olmsted Co. Jail
Minnesota,Ramsey County - Ramsey County Jail,581,310,271,Ramsey County,Ramsey County Jail
Minnesota,Scott County - Scott County Jail,535,348,187,Scott County,Scott County Jail
Minnesota,"Stearns County - Minn.C.F.,st.Cloud",493,154,339,Stearns County,"Minn.C.F.,st.Cloud"
Minnesota,Stearns County - Sterns Co. Jail,439,317,122,Stearns County,Sterns Co. Jail
Minnesota,"Mower County - Mower Co. Jail, Mn",438,340,98,Mower County,"Mower Co. Jail, Mn"
Minnesota,Pine County - Sandstone Fed.Corr.Inst.,372,83,289,Pine County,Sandstone Fed.Corr.Inst.
Minnesota,Olmsted County - Rochester Fed.Med.Center,332,156,176,Olmsted County,Rochester Fed.Med.Center
Minnesota,"Rice County - Minn. C.F., Faribault",312,211,101,Rice County,"Minn. C.F., Faribault"
Minnesota,Hennepin County - Bloomington Police Dept.,281,143,138,Hennepin County,Bloomington Police Dept.
Minnesota,Kandiyohi County - Kandiyohi Co. Jail,241,201,40,Kandiyohi County,Kandiyohi Co. Jail
Minnesota,Lyon County - Lyon County Jail,238,156,82,Lyon County,Lyon County Jail
Minnesota,Freeborn County - Freeborn County Adult Detention,198,120,78,Freeborn County,Freeborn County Adult Detention
Minnesota,Washington County - Washington County Jail,191,115,76,Washington County,Washington County Jail
Minnesota,Carver County - Carver County Jail,173,113,60,Carver County,Carver County Jail
Minnesota,Goodhue County - Goodhue County Jail,173,116,57,Goodhue County,Goodhue County Jail
Minnesota,Hennepin County - Hennipen County Workhouse,169,133,36,Hennepin County,Hennipen County Workhouse
Minnesota,Rice County - Rice County Jail,143,101,42,Rice County,Rice County Jail
Minnesota,Sherburne County - Sherburne County Jail,135,79,56,Sherburne County,Sherburne County Jail
Minnesota,Hennepin County - U.S. Detention and Deportation H,129,65,64,Hennepin County,U.S. Detention and Deportation H
Minnesota,Wright County - Wright Co. Jail,123,70,53,Wright County,Wright Co. Jail
Minnesota,"Hennepin County - Us Marshals, Minnesota",122,14,108,Hennepin County,"Us Marshals, Minnesota"
Minnesota,Renville County - Renville County Jail,110,94,16,Renville County,Renville County Jail
Minnesota,"Steele County - Steele Co. Jail, Mn",96,73,23,Steele County,"Steele Co. Jail, Mn"
Minnesota,"Carlton County - Minn.C.F., Moose Lake",95,64,31,Carlton County,"Minn.C.F., Moose Lake"
Minnesota,"Washington County - Minn.C.F., Stillwater",93,43,50,Washington County,"Minn.C.F., Stillwater"
Minnesota,"McLeod County - Mcleod County Jail, Mn",89,48,41,McLeod County,"Mcleod County Jail, Mn"
Minnesota,"Le Sueur County - Le Sueur Co. Jail, Mn",80,55,25,Le Sueur County,"Le Sueur Co. Jail, Mn"
Minnesota,"Anoka County - Minn.C.F., Lino Lakes",78,51,27,Anoka County,"Minn.C.F., Lino Lakes"
Minnesota,"Blue Earth County - Blue Earth Co. Jail, Mn",76,48,28,Blue Earth County,"Blue Earth Co. Jail, Mn"
Minnesota,Cottonwood County - Cottonwood County Jail,74,47,27,Cottonwood County,Cottonwood County Jail
Minnesota,"Chisago County - Minn.C.F., Rush City",70,29,41,Chisago County,"Minn.C.F., Rush City"
