State,Jurisdiction,All,Yes,No,County,Facility
Mississippi,All,"12,619","5,211","7,408",All,All
Mississippi,Adams County - Adams County Det Center,"2,245","1,200","1,045",Adams County,Adams County Det Center
Mississippi,Yazoo County - Yazoo City Medium Fci,"1,931",880,"1,051",Yazoo County,Yazoo City Medium Fci
Mississippi,Harrison County - Harrison Detention Center,"1,632",838,794,Harrison County,Harrison Detention Center
Mississippi,DeSoto County - Desoto County Jail,956,361,595,DeSoto County,Desoto County Jail
Mississippi,Yazoo County - Yazoo City Fci,896,139,757,Yazoo County,Yazoo City Fci
Mississippi,Rankin County - Rankin County Jail,772,299,473,Rankin County,Rankin County Jail
Mississippi,"Madison County - Madison Co. Jail, Ms.",677,199,478,Madison County,"Madison Co. Jail, Ms."
Mississippi,Forrest County - Forrest County A.D.C.,451,193,258,Forrest County,Forrest County A.D.C.
Mississippi,Jones County - Jones County Adult Det. Facility,309,158,151,Jones County,Jones County Adult Det. Facility
Mississippi,Hancock County - Hancock County Jail,263,143,120,Hancock County,Hancock County Jail
Mississippi,Hinds County - Hinds Co. Detention Center,259,114,145,Hinds County,Hinds Co. Detention Center
Mississippi,Jackson County - Jackson County Jail,199,62,137,Jackson County,Jackson County Jail
Mississippi,Scott County - Scott County Jail,185,52,133,Scott County,Scott County Jail
Mississippi,Lamar County - Lamar County Detention Facility,176,81,95,Lamar County,Lamar County Detention Facility
Mississippi,Pearl River County - Pearl River Justice Center,168,76,92,Pearl River County,Pearl River Justice Center
Mississippi,Jackson County - Pascagoula Police Dept/Jail,154,62,92,Jackson County,Pascagoula Police Dept/Jail
Mississippi,Lowndes County - Lowndes County Jail,154,29,125,Lowndes County,Lowndes County Jail
Mississippi,Lauderdale County - Lauderdale County Jail,143,24,119,Lauderdale County,Lauderdale County Jail
Mississippi,Tallahatchie County - Tallahatchie Co Corr Facilit,113,8,105,Tallahatchie County,Tallahatchie Co Corr Facilit
Mississippi,Hinds County - U.S. Marshal's - Southern District,67,24,43,Hinds County,U.S. Marshal's
Mississippi,Simpson County - Simpson County Jail,66,29,37,Simpson County,Simpson County Jail
Mississippi,George County - George County Regional C.F.,62,34,28,George County,George County Regional C.F.
Mississippi,Chickasaw County - Chickasaw County Jail,59,10,49,Chickasaw County,Chickasaw County Jail
Mississippi,Leake County - Leake County Cor. Facility,58,1,57,Leake County,Leake County Cor. Facility
Mississippi,Pearl River County - Picayune Police Dept/Jail,55,24,31,Pearl River County,Picayune Police Dept/Jail
Mississippi,Wayne County - Wayne County Jail,50,27,23,Wayne County,Wayne County Jail
Mississippi,"Lafayette County - Lafayette County, Ms",48,11,37,Lafayette County,"Lafayette County, Ms"
Mississippi,Pike County - Pike County Jail,43,19,24,Pike County,Pike County Jail
Mississippi,Greene County - South Miss Cor Ctr,41,28,13,Greene County,South Miss Cor Ctr
Mississippi,Sunflower County - Mississippi State Pent,37,6,31,Sunflower County,Mississippi State Pent
Mississippi,Warren County - Warren County Det. Center,31,18,13,Warren County,Warren County Det. Center
Mississippi,Neshoba County - Neshoba Co. Law Enf. Center,26,3,23,Neshoba County,Neshoba Co. Law Enf. Center
Mississippi,Rankin County - Central Miss.Corr.Fac.,24,3,21,Rankin County,Central Miss.Corr.Fac.
Mississippi,Smith County - Smith County Jail,19,3,16,Smith County,Smith County Jail
Mississippi,Pontotoc County - Pontotoc County Jail,19,3,16,Pontotoc County,Pontotoc County Jail
Mississippi,Jasper County - Jasper County Jail,17,2,15,Jasper County,Jasper County Jail
Mississippi,Copiah County - Copiah County Jail,16,1,15,Copiah County,Copiah County Jail
