State,Jurisdiction,All,Yes,No,County,Facility
Missouri,All,"5,826","1,283","4,543",All,All
Missouri,St. Louis City - St. Louis County Jail,483,61,422,St. Louis City,St. Louis County Jail
Missouri,Jackson County - Jackson County Jail,390,77,313,Jackson County,Jackson County Jail
Missouri,Boone County - Boone County Jail,260,64,196,Boone County,Boone County Jail
Missouri,Greene County - Greene County Jail,244,87,157,Greene County,Greene County Jail
Missouri,Jasper County - Jasper County Jail,220,62,158,Jasper County,Jasper County Jail
Missouri,Jackson County - Kansas City Hold Room,200,6,194,Jackson County,Kansas City Hold Room
Missouri,Jasper County - Carthage Police Dept.,186,73,113,Jasper County,Carthage Police Dept.
Missouri,St. Charles County - St. Charles County Jail,184,33,151,St. Charles County,St. Charles County Jail
Missouri,Buchanan County - West Rec Diag Corr Center,166,48,118,Buchanan County,West Rec Diag Corr Center
Missouri,Clay County - Clay County Jail,161,43,118,Clay County,Clay County Jail
Missouri,Jackson County - Kansas City Police Dept.,133,23,110,Jackson County,Kansas City Police Dept.
Missouri,Cass County - Cass County Jail,126,36,90,Cass County,Cass County Jail
Missouri,Newton County - Newton County Jail,123,40,83,Newton County,Newton County Jail
Missouri,St. Louis City - St . Louis City Justice Center,118,27,91,St. Louis City,St . Louis City Justice Center
Missouri,Callaway County - Fulton Diagnostic Center,113,26,87,Callaway County,Fulton Diagnostic Center
Missouri,Platte County - Platte County Jail,93,24,69,Platte County,Platte County Jail
Missouri,St. Francois County - East Rec Diag Corr Center,93,15,78,St. Francois County,East Rec Diag Corr Center
Missouri,Johnson County - Johnson County Jail,87,15,72,Johnson County,Johnson County Jail
Missouri,Pettis County - Pettis County Jail,81,9,72,Pettis County,Pettis County Jail
Missouri,St. Louis County - Overland Police Dept.,80,9,71,St. Louis County,Overland Police Dept.
Missouri,Greene County - Springfield Federal Medical Center,75,9,66,Greene County,Springfield Federal Medical Center
Missouri,Buchanan County - Buchanan County Jail,74,26,48,Buchanan County,Buchanan County Jail
Missouri,"St. Louis City - Us Marshals, E. District, Mo",73,12,61,St. Louis City,"Us Marshals, E. District, Mo"
Missouri,Jasper County - Joplin City Jail,70,21,49,Jasper County,Joplin City Jail
Missouri,Christian County - Christian County Sheriff Detent,68,33,35,Christian County,Christian County Sheriff Detent
Missouri,"Jackson County - Us Marshals, West Dist Mo",65,5,60,Jackson County,"Us Marshals, West Dist Mo"
Missouri,Camden County - Camden County Sheriff,64,13,51,Camden County,Camden County Sheriff
Missouri,St. Francois County - Farmington Corr. Center,63,17,46,St. Francois County,Farmington Corr. Center
Missouri,Clinton County - Western Mo Corr. Facility,60,10,50,Clinton County,Western Mo Corr. Facility
Missouri,"Greene County - Us Marshal-Springfield, Mo",55,10,45,Greene County,"Us Marshal-Springfield, Mo"
Missouri,Montgomery County - Montgomery County Jail,54,29,25,Montgomery County,Montgomery County Jail
Missouri,St. Louis County - St. Ann Police Dept.,54,8,46,St. Louis County,St. Ann Police Dept.
Missouri,St. Louis County - Bridgeton Police Dept.,49,8,41,St. Louis County,Bridgeton Police Dept.
Missouri,Jackson County - Lee's Summit Police Dept,48,3,45,Jackson County,Lee's Summit Police Dept
Missouri,McDonald County - Mcdonald County Seriff,47,22,25,McDonald County,Mcdonald County Seriff
Missouri,Taney County - Taney County Sheriff,46,10,36,Taney County,Taney County Sheriff
Missouri,Scott County - Scott County Jail,45,12,33,Scott County,Scott County Jail
Missouri,Lafayette County - Lafayette County Jail,43,6,37,Lafayette County,Lafayette County Jail
Missouri,Barry County - Barry County Jail,41,7,34,Barry County,Barry County Jail
Missouri,Dunklin County - Dunklin County Sheriff/Jail,40,6,34,Dunklin County,Dunklin County Sheriff/Jail
Missouri,St. Louis County - Maryland Heights Police Dept.,39,3,36,St. Louis County,Maryland Heights Police Dept.
Missouri,Perry County - Perry County Jail,37,5,32,Perry County,Perry County Jail
Missouri,Lawrence County - Lawrence County Sheriff,37,7,30,Lawrence County,Lawrence County Sheriff
Missouri,Franklin County - Franklin County Jail,36,13,23,Franklin County,Franklin County Jail
Missouri,Caldwell County - Caldwell County Jail,35,12,23,Caldwell County,Caldwell County Jail
Missouri,Taney County - Branson Police Dept.,35,15,20,Taney County,Branson Police Dept.
Missouri,Cole County - Missouri State Pen.,31,3,28,Cole County,Missouri State Pen.
Missouri,Cape Girardeau County - Cape Girardeau County Jail,31,6,25,Cape Girardeau County,Cape Girardeau County Jail
Missouri,Morgan County - Morgan County Sheriff's Facilityt,30,7,23,Morgan County,Morgan County Sheriff's Facilityt
Missouri,Jackson County - Independence Police Dept.,27,3,24,Jackson County,Independence Police Dept.
Missouri,Audrain County - Audrain County Jail,27,6,21,Audrain County,Audrain County Jail
Missouri,Mississippi County - Mississippi County Detention,27,10,17,Mississippi County,Mississippi County Detention
Missouri,St. Louis County - Berkeley City Jail,26,6,20,St. Louis County,Berkeley City Jail
Missouri,Greene County - Springfield DRO Hold Room,23,3,20,Greene County,Springfield DRO Hold Room
Missouri,St. Louis County - Manchester Police Dept.,22,6,16,St. Louis County,Manchester Police Dept.
Missouri,Lincoln County - Lincoln County Sheriff's Facility,20,4,16,Lincoln County,Lincoln County Sheriff's Facility
Missouri,St. Louis County - Chesterfield Police Dept.,20,,20,St. Louis County,Chesterfield Police Dept.
Missouri,St. Louis County - Town & Country Police Dept.,19,1,18,St. Louis County,Town & Country Police Dept.
Missouri,Warren County - Warren County Justice Ctr,19,,19,Warren County,Warren County Justice Ctr
Missouri,Jasper County - Webb City Police Dept.,18,2,16,Jasper County,Webb City Police Dept.
Missouri,Ste. Genevieve County - Ste. Genevieve County Sher,18,2,16,Ste. Genevieve County,Ste. Genevieve County Sher
Missouri,Stone County - Stone County Jail,18,7,11,Stone County,Stone County Jail
Missouri,Dade County - Dade County Jail,17,9,8,Dade County,Dade County Jail
Missouri,St. Clair County - St. Clair County Jail,17,2,15,St. Clair County,St. Clair County Jail
Missouri,Pike County - Northeast Corr. Center,17,2,15,Pike County,Northeast Corr. Center
Missouri,Cooper County - Boonville Corr. Center,17,2,15,Cooper County,Boonville Corr. Center
Missouri,Callaway County - Callaway County Jail,16,5,11,Callaway County,Callaway County Jail
Missouri,Miller County - Miller County Jail,16,4,12,Miller County,Miller County Jail
Missouri,Laclede County - Laclede County Jail,15,4,11,Laclede County,Laclede County Jail
Missouri,Vernon County - Vernon County Sheriff,15,7,8,Vernon County,Vernon County Sheriff
Missouri,Sullivan County - Sullivan County Jail,14,9,5,Sullivan County,Sullivan County Jail
Missouri,Saline County - Saline County Jail,13,1,12,Saline County,Saline County Jail
Missouri,"Cole County - Us Marshal-Jefferson City, Mo",13,1,12,Cole County,"Us Marshal-Jefferson City, Mo"
Missouri,Marion County - Marion Co Jail & L.E. Ctr,13,2,11,Marion County,Marion Co Jail & L.E. Ctr
Missouri,St. Louis County - University City Police Dept.,13,,13,St. Louis County,University City Police Dept.
Missouri,Pulaski County - Pulaski County Sheriff,12,2,10,Pulaski County,Pulaski County Sheriff
