State,Jurisdiction,All,Yes,No,County,Facility
Nebraska,All,"10,740","5,743","4,997",All,All
Nebraska,Douglas County - Douglas County Correction Facilit,"2,408","1,455",953,Douglas County,Douglas County Correction Facilit
Nebraska,Hall County - Hall County Department of Correction,"1,453",926,527,Hall County,Hall County Department of Correction
Nebraska,Lancaster County - Nebraska Dept Of Correcti,"1,069",506,563,Lancaster County,Nebraska Dept Of Correcti
Nebraska,"Platte County - Platte County Jail, Nebr.",812,424,388,Platte County,"Platte County Jail, Nebr."
Nebraska,Dawson County - Dawson County Jail,663,431,232,Dawson County,Dawson County Jail
Nebraska,"Douglas County - Us Marshals, Ne District, Omaha",516,32,484,Douglas County,"Us Marshals, Ne District, Omaha"
Nebraska,Sarpy County - Sarpy County Jail,450,228,222,Sarpy County,Sarpy County Jail
Nebraska,Lancaster County - Lancaster County Jail,423,252,171,Lancaster County,Lancaster County Jail
Nebraska,Dakota County - Dakota County Jail,355,216,139,Dakota County,Dakota County Jail
Nebraska,Scotts Bluff County - Scotts Bluff Co Jail,242,143,99,Scotts Bluff County,Scotts Bluff Co Jail
Nebraska,Madison County - Madison County Jail,236,107,129,Madison County,Madison County Jail
Nebraska,Saline County - Saline County Jail,220,117,103,Saline County,Saline County Jail
Nebraska,Buffalo County - Buffalo County Jail,214,129,85,Buffalo County,Buffalo County Jail
Nebraska,Dodge County - Dodge County Jail,206,51,155,Dodge County,Dodge County Jail
Nebraska,"Lancaster County - Us Marshals, Ne District, Linco",147,12,135,Lancaster County,"Us Marshals, Ne District, Linco"
Nebraska,Lincoln County - Lincoln County Jail,125,89,36,Lincoln County,Lincoln County Jail
Nebraska,Thurston County - Thurston County Jail,117,80,37,Thurston County,Thurston County Jail
Nebraska,Phelps County - Phelps County Jail,100,54,46,Phelps County,Phelps County Jail
Nebraska,"Adams County - Adams Co Jail, Nebraska",100,59,41,Adams County,"Adams Co Jail, Nebraska"
Nebraska,Saunders County - Saunders County Jail,93,30,63,Saunders County,Saunders County Jail
Nebraska,Cass County - Cass County Jail,76,43,33,Cass County,Cass County Jail
Nebraska,Holt County - Holt County Jail,70,45,25,Holt County,Holt County Jail
Nebraska,Seward County - Seward County Jail,59,29,30,Seward County,Seward County Jail
Nebraska,Douglas County - Omaha Field Office Holding Facili,47,1,46,Douglas County,Omaha Field Office Holding Facili
Nebraska,York County - York County Sheriff's Office,45,30,15,York County,York County Sheriff's Office
Nebraska,Dixon County - Dixon County Jail,44,23,21,Dixon County,Dixon County Jail
Nebraska,Otoe County - Otoe Co Jail,42,21,21,Otoe County,Otoe Co Jail
Nebraska,Keith County - Keith County Jail,39,29,10,Keith County,Keith County Jail
Nebraska,Butler County - Butler County Jail,32,19,13,Butler County,Butler County Jail
Nebraska,Pierce County - Pierce Co Jail,32,22,10,Pierce County,Pierce Co Jail
Nebraska,Cheyenne County - Cheyenne Co Detention Ctr,27,14,13,Cheyenne County,Cheyenne Co Detention Ctr
Nebraska,Gage County - Gage County Jail,19,7,12,Gage County,Gage County Jail
Nebraska,Colfax County - Colfax Co Jail,18,5,13,Colfax County,Colfax Co Jail
Nebraska,"Hamilton County - Hamilton County Jail, Neb",16,9,7,Hamilton County,"Hamilton County Jail, Neb"
Nebraska,Custer County - Custer County Jail,15,8,7,Custer County,Custer County Jail
Nebraska,Box Butte County - Box Butte Co. Jail,15,8,7,Box Butte County,Box Butte Co. Jail
Nebraska,"Washington County - Washington Co Jail, Blair",15,6,9,Washington County,"Washington Co Jail, Blair"
Nebraska,Cedar County - Cedar County Jail,14,9,5,Cedar County,Cedar County Jail
Nebraska,Boone County - Boone County Jail,14,11,3,Boone County,Boone County Jail
Nebraska,Valley County - Valley County Jail,13,6,7,Valley County,Valley County Jail
Nebraska,Clay County - Clay County Jail,11,7,4,Clay County,Clay County Jail
Nebraska,Johnson County - Johnson County Jail,11,6,5,Johnson County,Johnson County Jail
Nebraska,Douglas County - Omaha Police Dept.,11,,11,Douglas County,Omaha Police Dept.
Nebraska,Kimball County - Kimball County Jail,10,8,2,Kimball County,Kimball County Jail
Nebraska,Kearney County - Kearney County Jail,9,7,2,Kearney County,Kearney County Jail
Nebraska,Furnas County - Furnas County Jail,9,4,5,Furnas County,Furnas County Jail
Nebraska,Antelope County - Antelope County Jail,8,5,3,Antelope County,Antelope County Jail
Nebraska,Douglas County - Douglas Co Juv Det Svces,8,2,6,Douglas County,Douglas Co Juv Det Svces
Nebraska,Hall County - Grand Island Hold Room,7,,7,Hall County,Grand Island Hold Room
Nebraska,"Garden County - Garden Co, Ne, Jail",6,3,3,Garden County,"Garden Co, Ne, Jail"
Nebraska,Chase County - Chase County Jail,6,2,4,Chase County,Chase County Jail
Nebraska,Fillmore County - Fillmore County Jail,6,4,2,Fillmore County,Fillmore County Jail
Nebraska,Douglas County - Omaha Correctional Center,5,,5,Douglas County,Omaha Correctional Center
Nebraska,Red Willow County - Red Willow County Jail,5,3,2,Red Willow County,Red Willow County Jail
Nebraska,Merrick County - Merrick County Sheriff/Jail,4,,4,Merrick County,Merrick County Sheriff/Jail
Nebraska,Harlan County - Harlan County Jail,4,3,1,Harlan County,Harlan County Jail
Nebraska,Knox County - Knox County Jail,2,,2,Knox County,Knox County Jail
Nebraska,Nemaha County - Nemaha County Sheriff/Jail,2,,2,Nemaha County,Nemaha County Sheriff/Jail
Nebraska,Cherry County - Cherry County Sheriff,2,,2,Cherry County,Cherry County Sheriff
