State,Jurisdiction,All,Yes,No,County,Facility
New Hampshire,All,"1,301",639,662,All,All
New Hampshire,Hillsborough County - Hillsborough County Jail,687,463,224,Hillsborough County,Hillsborough County Jail
New Hampshire,Strafford County - Strafford County Correction Fac,211,42,169,Strafford County,Strafford County Correction Fac
New Hampshire,"Merrimack County - Nh State Prison, Concord",113,39,74,Merrimack County,"Nh State Prison, Concord"
New Hampshire,Rockingham County - Rockingham County Jail,99,48,51,Rockingham County,Rockingham County Jail
New Hampshire,Coos County - Berlin Fed. Corr. Inst.,75,14,61,Coos County,Berlin Fed. Corr. Inst.
New Hampshire,Merrimack County - Merrimack County Jail,34,17,17,Merrimack County,Merrimack County Jail
New Hampshire,"Merrimack County - Us Marshal, New Hampshire",23,2,21,Merrimack County,"Us Marshal, New Hampshire"
New Hampshire,Hillsborough County - Manchester Hold Room,18,4,14,Hillsborough County,Manchester Hold Room
New Hampshire,Hillsborough County - New Hampshire State Prison,15,1,14,Hillsborough County,New Hampshire State Prison
New Hampshire,Belknap County - Belknap County Jail,9,2,7,Belknap County,Belknap County Jail
New Hampshire,Coos County - Coos County Jail,7,2,5,Coos County,Coos County Jail
New Hampshire,Hillsborough County - Nh State Prison For Women,6,2,4,Hillsborough County,Nh State Prison For Women
New Hampshire,Coos County - Northern New Hampshire Cor. Fac.,4,3,1,Coos County,Northern New Hampshire Cor. Fac.
