State,Jurisdiction,All,Yes,No,County,Facility
New Jersey,All,"30,413","19,554","10,859",All,All
New Jersey,Hudson County - Hudson County Correctional Facilit,"3,000","1,959","1,041",Hudson County,Hudson County Correctional Facilit
New Jersey,Middlesex County - Middlesex County Jail,"2,501","1,828",673,Middlesex County,Middlesex County Jail
New Jersey,Essex County - Essex County Correctinal Facility (,"2,324","1,322","1,002",Essex County,Essex County Correctinal Facility (
New Jersey,Monmouth County - Monmouth County Correctional Ins,"2,203","1,641",562,Monmouth County,Monmouth County Correctional Ins
New Jersey,Ocean County - Ocean County Jail,"2,028","1,317",711,Ocean County,Ocean County Jail
New Jersey,Passaic County - Passaic County Jail,"2,027","1,495",532,Passaic County,Passaic County Jail
New Jersey,Bergen County - Bergen County Jail,"1,957","1,369",588,Bergen County,Bergen County Jail
New Jersey,Union County - Union County Jail,"1,478","1,034",444,Union County,Union County Jail
New Jersey,Burlington County - Fort Dix Fed.Corr.Inst.,"1,457",557,900,Burlington County,Fort Dix Fed.Corr.Inst.
New Jersey,Cumberland County - Cumberland County Jail,"1,436",874,562,Cumberland County,Cumberland County Jail
New Jersey,Morris County - Morris County Jail,"1,303",770,533,Morris County,Morris County Jail
New Jersey,Atlantic County - Atlantic County Jail,"1,010",694,316,Atlantic County,Atlantic County Jail
New Jersey,Somerset County - Somerset County Jail,931,643,288,Somerset County,Somerset County Jail
New Jersey,Camden County - Camden County Jail,840,526,314,Camden County,Camden County Jail
New Jersey,Burlington County - Burlington County Jail,808,512,296,Burlington County,Burlington County Jail
New Jersey,Mercer County - Mercer County Jail,677,424,253,Mercer County,Mercer County Jail
New Jersey,Mercer County - Central Reception & Assignment,566,336,230,Mercer County,Central Reception & Assignment
New Jersey,Salem County - Salem County Correctional Facility,314,212,102,Salem County,Salem County Correctional Facility
New Jersey,Cumberland County - Southwood State Prison,272,129,143,Cumberland County,Southwood State Prison
New Jersey,Cape May County - Cape May County Jail,266,178,88,Cape May County,Cape May County Jail
New Jersey,Mercer County - Grdn State Reception Ctr,250,158,92,Mercer County,Grdn State Reception Ctr
New Jersey,Cumberland County - Fairton Fci,249,130,119,Cumberland County,Fairton Fci
New Jersey,Essex County - Northern State Prison,247,113,134,Essex County,Northern State Prison
New Jersey,Hunterdon County - Hunterdon County Jail,247,162,85,Hunterdon County,Hunterdon County Jail
New Jersey,Hunterdon County - Mountainview Youth C.F.,217,161,56,Hunterdon County,Mountainview Youth C.F.
New Jersey,Cumberland County - Southern State Corr. Fac.,214,139,75,Cumberland County,Southern State Corr. Fac.
New Jersey,Burlington County - Mid-State Corr. Facility,174,133,41,Burlington County,Mid-State Corr. Facility
New Jersey,Cumberland County - Bayside State Prison,170,112,58,Cumberland County,Bayside State Prison
New Jersey,Gloucester County - Gloucester County Jail,166,104,62,Gloucester County,Gloucester County Jail
New Jersey,Warren County - Warren County Jail,129,73,56,Warren County,Warren County Jail
New Jersey,Burlington County - Albert C Wagner Youth C.F.,128,72,56,Burlington County,Albert C Wagner Youth C.F.
New Jersey,Union County - Elizabeth Contract Detention Facili,113,85,28,Union County,Elizabeth Contract Detention Facili
New Jersey,Hunterdon County - Edna Mahan Womens' Corr.,102,66,36,Hunterdon County,Edna Mahan Womens' Corr.
New Jersey,Sussex County - Sussex County Jail,98,56,42,Sussex County,Sussex County Jail
New Jersey,Middlesex County - Adult Diagnostic & Trtmnt,96,45,51,Middlesex County,Adult Diagnostic & Trtmnt
New Jersey,Essex County - Newark Police Dept.,90,57,33,Essex County,Newark Police Dept.
New Jersey,Mercer County - N.J. State Prison,88,15,73,Mercer County,N.J. State Prison
New Jersey,"Essex County - Us Marshals, Newark, Nj",73,9,64,Essex County,"Us Marshals, Newark, Nj"
New Jersey,Union County - East Jersey State Prison,60,19,41,Union County,East Jersey State Prison
New Jersey,Essex County - Newark Immigration Holding Room,55,3,52,Essex County,Newark Immigration Holding Room
New Jersey,Camden County - Riverfront State Prison,27,17,10,Camden County,Riverfront State Prison
New Jersey,Mercer County - Youth Recept.& Corr. Ctr.,8,4,4,Mercer County,Youth Recept.& Corr. Ctr.
New Jersey,Essex County - Port Authority Lock Up,7,,7,Essex County,Port Authority Lock Up
New Jersey,Essex County - Delaney Hall Detention Facility,2,1,1,Essex County,Delaney Hall Detention Facility
New Jersey,Mercer County - Anne Klein Phsychiatric Institute,2,,2,Mercer County,Anne Klein Phsychiatric Institute
New Jersey,Union County - County of Union Juvenile Detention,2,,2,Union County,County of Union Juvenile Detention
New Jersey,"Mercer County - Nj Dept. Of Corr.,vroomom",1,,1,Mercer County,"Nj Dept. Of Corr.,vroomom"
