State,Jurisdiction,All,Yes,No,County,Facility
New Mexico,All,"16,362","7,709","8,653",All,All
New Mexico,Bernalillo County - Metropolitan Detention Center,"4,043","2,629","1,414",Bernalillo County,Metropolitan Detention Center
New Mexico,Cibola County - Cibola County Det Ctr,"2,830",949,"1,881",Cibola County,Cibola County Det Ctr
New Mexico,Dona Ana County - Dona Ana County Detention Facili,"1,806","1,070",736,Dona Ana County,Dona Ana County Detention Facili
New Mexico,"Bernalillo County - Us Marshals, New Mexico","1,307",433,874,Bernalillo County,"Us Marshals, New Mexico"
New Mexico,Santa Fe County - Santa Fe County Jail,879,323,556,Santa Fe County,Santa Fe County Jail
New Mexico,Bernalillo County - Bernalillo County Det Ctr,600,203,397,Bernalillo County,Bernalillo County Det Ctr
New Mexico,San Juan County - San Juan County Detention Center,535,253,282,San Juan County,San Juan County Detention Center
New Mexico,Lea County - Lea County Jail,507,248,259,Lea County,Lea County Jail
New Mexico,Curry County - Curry County Det Fac,492,204,288,Curry County,Curry County Det Fac
New Mexico,Valencia County - Central N.M.C.F.Los Lunas,402,118,284,Valencia County,Central N.M.C.F.Los Lunas
New Mexico,Lea County - Hobbs City Jail,395,106,289,Lea County,Hobbs City Jail
New Mexico,Chaves County - Chavez Det Crt,292,134,158,Chaves County,Chavez Det Crt
New Mexico,Sandoval County - Sandoval County Det Ctr,211,69,142,Sandoval County,Sandoval County Det Ctr
New Mexico,Rio Arriba County - Rio Arriba County Det. Center,207,89,118,Rio Arriba County,Rio Arriba County Det. Center
New Mexico,Hidalgo County - Hidalgo County Detention Center,186,105,81,Hidalgo County,Hidalgo County Detention Center
New Mexico,Luna County - Luna County Jail,183,83,100,Luna County,Luna County Jail
New Mexico,Valencia County - Valencia County Det. Center,139,93,46,Valencia County,Valencia County Det. Center
New Mexico,Torrance County - Torrance County Detention Facili,125,56,69,Torrance County,Torrance County Detention Facili
New Mexico,Eddy County - Eddy County Jail,117,54,63,Eddy County,Eddy County Jail
New Mexico,Taos County - Taos County Det. Center,116,43,73,Taos County,Taos County Det. Center
New Mexico,Lea County - Lea County Corr. Fac.,105,31,74,Lea County,Lea County Corr. Fac.
New Mexico,Otero County - Otero County Detention Facility,91,49,42,Otero County,Otero County Detention Facility
New Mexico,Roosevelt County - Roosevelt County Jail,68,30,38,Roosevelt County,Roosevelt County Jail
New Mexico,Los Alamos County - Los Alamos County Det. Center,63,25,38,Los Alamos County,Los Alamos County Det. Center
New Mexico,Dona Ana County - Otero County Prison Facility,62,30,32,Dona Ana County,Otero County Prison Facility
New Mexico,San Miguel County - San Miguel County Detention Ce,60,37,23,San Miguel County,San Miguel County Detention Ce
New Mexico,Bernalillo County - Albuquerque Hold Room,58,10,48,Bernalillo County,Albuquerque Hold Room
New Mexico,McKinley County - Mckinley County Adult Det. Cen.,53,24,29,McKinley County,Mckinley County Adult Det. Cen.
New Mexico,Lincoln County - Lincoln County Det Ctr,48,32,16,Lincoln County,Lincoln County Det Ctr
New Mexico,"Chaves County - Us Marshals, Roswell Nm",44,31,13,Chaves County,"Us Marshals, Roswell Nm"
New Mexico,Colfax County - Colfax County Det Ctr,42,16,26,Colfax County,Colfax County Det Ctr
New Mexico,Dona Ana County - Otero County Processing Center,41,25,16,Dona Ana County,Otero County Processing Center
New Mexico,"Santa Fe County - Santa Fe Penitentiary, Nm",34,12,22,Santa Fe County,"Santa Fe Penitentiary, Nm"
New Mexico,"Dona Ana County - Us Marshals, Las Cruces Nm",30,21,9,Dona Ana County,"Us Marshals, Las Cruces Nm"
New Mexico,Eddy County - Artesia City Jail,23,7,16,Eddy County,Artesia City Jail
New Mexico,Lea County - Eunice City Jail,20,9,11,Lea County,Eunice City Jail
New Mexico,Lea County - Jal City Jail,19,7,12,Lea County,Jal City Jail
New Mexico,Quay County - Quay County Jail,17,6,11,Quay County,Quay County Jail
New Mexico,Cibola County - Nm Women's Corr. Facility,16,10,6,Cibola County,Nm Women's Corr. Facility
New Mexico,Chaves County - Roswell Correctional Center,15,6,9,Chaves County,Roswell Correctional Center
New Mexico,Guadalupe County - Guadalupe County Cor. Facility,14,4,10,Guadalupe County,Guadalupe County Cor. Facility
New Mexico,Valencia County - Central Nm Cf Minimun Unit,14,4,10,Valencia County,Central Nm Cf Minimun Unit
New Mexico,Curry County - Union County Detention Center,13,7,6,Curry County,Union County Detention Center
New Mexico,"Cibola County - Western N.M.C.F,grants",11,6,5,Cibola County,"Western N.M.C.F,grants"
New Mexico,Lea County - Lea County Juvenile D.F.,8,2,6,Lea County,Lea County Juvenile D.F.
New Mexico,Santa Fe County - Santa Fe Cornell Det. Fac.,5,,5,Santa Fe County,Santa Fe Cornell Det. Fac.
New Mexico,Sierra County - Sierra County Det Ctr,4,3,1,Sierra County,Sierra County Det Ctr
New Mexico,Grant County - Grant County Detention Center,4,1,3,Grant County,Grant County Detention Center
New Mexico,Chaves County - Chaves County Juvenile Center,3,,3,Chaves County,Chaves County Juvenile Center
New Mexico,Dona Ana County - S.N.M.C.F. Las Cruces,3,1,2,Dona Ana County,S.N.M.C.F. Las Cruces
New Mexico,Eddy County - Artesia Law Enforcement Center,2,1,1,Eddy County,Artesia Law Enforcement Center
