State,Jurisdiction,All,Yes,No,County,Facility
New York,All,"71,454","39,799","31,655",All,All
New York,"Queens County - Rikers Island, Queens, Ny","21,947","14,591","7,356",Queens County,"Rikers Island, Queens, Ny"
New York,Suffolk County - Suffolk Co.Correc Fac,"6,312","4,268","2,044",Suffolk County,Suffolk Co.Correc Fac
New York,Nassau County - Nassau County Correctional Center,"6,093","3,906","2,187",Nassau County,Nassau County Correctional Center
New York,Kings County - Brooklyn Metropolitan Detention Cen,"3,891","1,155","2,736",Kings County,Brooklyn Metropolitan Detention Cen
New York,"Westchester County - Westchester Co.Jail,valha","3,743","2,965",778,Westchester County,"Westchester Co.Jail,valha"
New York,Queens County - Queens Central Booking,"2,363",664,"1,699",Queens County,Queens Central Booking
New York,Kings County - Brooklyn Central Booking,"1,652",370,"1,282",Kings County,Brooklyn Central Booking
New York,New York County - Manhattan Central Booking,"1,396",350,"1,046",New York County,Manhattan Central Booking
New York,"Dutchess County - Downstate Cf, Fishkill","1,280",441,839,Dutchess County,"Downstate Cf, Fishkill"
New York,"Ulster County - Ulster Cf, Napanoch","1,258",644,614,Ulster County,"Ulster Cf, Napanoch"
New York,Kings County - New York Mcc,"1,234",402,832,Kings County,New York Mcc
New York,Orange County - Orange County Correctional Facilit,"1,190",802,388,Orange County,Orange County Correctional Facilit
New York,"Rockland County - Rockland Co Jail,new City","1,181",901,280,Rockland County,"Rockland Co Jail,new City"
New York,Bronx County - Bronx Central Booking,"1,137",292,845,Bronx County,Bronx Central Booking
New York,Essex County - Ray Brook Fed.Corr.Inst.,850,438,412,Essex County,Ray Brook Fed.Corr.Inst.
New York,Chautauqua County - Lakeview Correctional,806,590,216,Chautauqua County,Lakeview Correctional
New York,Kings County - Nyc Police Department,762,154,608,Kings County,Nyc Police Department
New York,"Kings County - Us Marshals, Sdny",714,165,549,Kings County,"Us Marshals, Sdny"
New York,Orange County - Otisville Fed.Corr.Inst.,653,321,332,Orange County,Otisville Fed.Corr.Inst.
New York,Putnam County - Putnam County C.F.,635,450,185,Putnam County,Putnam County C.F.
New York,"Dutchess County - Dutchess Co.Jail,poughkee",522,340,182,Dutchess County,"Dutchess Co.Jail,poughkee"
New York,Greene County - Greene C.F. Coxsackle,507,355,152,Greene County,Greene C.F. Coxsackle
New York,Queens County - Queens House Of Detention,496,34,462,Queens County,Queens House Of Detention
New York,"Kings County - Us Marshals, Edny",446,116,330,Kings County,"Us Marshals, Edny"
New York,Franklin County - Barehill Correctional,411,244,167,Franklin County,Barehill Correctional
New York,Oneida County - Mohawk Correctional,398,267,131,Oneida County,Mohawk Correctional
New York,Franklin County - Franklin C.F.,319,181,138,Franklin County,Franklin C.F.
New York,St. Lawrence County - Riverview Correctional,295,196,99,St. Lawrence County,Riverview Correctional
New York,St. Lawrence County - Gouverneur Correctional,289,180,109,St. Lawrence County,Gouverneur Correctional
New York,Cattaraugus County - Gowanda Cf,258,164,94,Cattaraugus County,Gowanda Cf
New York,Jefferson County - Cape Vincent Correctional,252,163,89,Jefferson County,Cape Vincent Correctional
New York,"Westchester County - Sing Sing, Ossining, Ny",249,50,199,Westchester County,"Sing Sing, Ossining, Ny"
New York,Wyoming County - Wyoming C.F.,237,145,92,Wyoming County,Wyoming C.F.
New York,Jefferson County - Watertown C.F. Watertown,232,157,75,Jefferson County,Watertown C.F. Watertown
New York,St. Lawrence County - Ogdensburg Correctional,232,147,85,St. Lawrence County,Ogdensburg Correctional
New York,Oneida County - Marcy Correctional,220,131,89,Oneida County,Marcy Correctional
New York,Ulster County - Ulster Co Jail Kingston,212,143,69,Ulster County,Ulster Co Jail Kingston
New York,Albany County - Albany County Jail,209,114,95,Albany County,Albany County Jail
New York,Oneida County - Midstate Correctional,203,125,78,Oneida County,Midstate Correctional
New York,Clinton County - Clinton C.F. Dannemmora,199,31,168,Clinton County,Clinton C.F. Dannemmora
New York,Kings County - Varick Street Service Processing Ce,198,119,79,Kings County,Varick Street Service Processing Ce
New York,"Westchester County - Bedford Hills, Ny",189,95,94,Westchester County,"Bedford Hills, Ny"
New York,Monroe County - Monroe County Jail,178,58,120,Monroe County,Monroe County Jail
New York,"Albany County - Us Marshal, Ndny",176,63,113,Albany County,"Us Marshal, Ndny"
New York,"Clinton County - Altona C.F., Altona",167,100,67,Clinton County,"Altona C.F., Altona"
New York,Kings County - New York City Field Office Holding,157,30,127,Kings County,New York City Field Office Holding
New York,Dutchess County - Fishkill C.F. Beacon Ny,151,92,59,Dutchess County,Fishkill C.F. Beacon Ny
New York,Orleans County - Albion Correctional,150,96,54,Orleans County,Albion Correctional
New York,Washington County - Washington Correctional,144,85,59,Washington County,Washington Correctional
New York,"Kings County - Manhatten Det Complex, Ny",142,13,129,Kings County,"Manhatten Det Complex, Ny"
New York,Seneca County - Five Opoints Correctional,139,33,106,Seneca County,Five Opoints Correctional
New York,Sullivan County - Sullivan County Jail,136,93,43,Sullivan County,Sullivan County Jail
New York,"Orange County - Adirondack Cf, Raybrook",130,82,48,Orange County,"Adirondack Cf, Raybrook"
New York,"Erie County - Us Marshal, Buffalo, Wdny",130,11,119,Erie County,"Us Marshal, Buffalo, Wdny"
New York,Chemung County - Elmira C.F.,129,34,95,Chemung County,Elmira C.F.
New York,Seneca County - Willard Drug Treatment Us,127,65,62,Seneca County,Willard Drug Treatment Us
New York,Richmond County - Richmond Central Booking,118,31,87,Richmond County,Richmond Central Booking
New York,Bronx County - Bronx Hse Of Det/Bronx Ny,112,8,104,Bronx County,Bronx Hse Of Det/Bronx Ny
