State,Jurisdiction,All,Yes,No,County,Facility
North Carolina,All,"45,941","28,730","17,211",All,All
North Carolina,Mecklenburg County - Mecklenburg County Jail,"7,069","6,059","1,010",Mecklenburg County,Mecklenburg County Jail
North Carolina,Wake County - N.C. Dept Of Corrections,"5,884","3,976","1,908",Wake County,N.C. Dept Of Corrections
North Carolina,Wake County - Wake County Sheriff Dept.,"5,652","3,908","1,744",Wake County,Wake County Sheriff Dept.
North Carolina,Mecklenburg County - Mecklenburg County Jail Centr,"2,803","1,836",967,Mecklenburg County,Mecklenburg County Jail Centr
North Carolina,Gaston County - Gaston County Jail,"1,651","1,241",410,Gaston County,Gaston County Jail
North Carolina,Forsyth County - Forsyth County Jail,"1,640",868,772,Forsyth County,Forsyth County Jail
North Carolina,Alamance County - Alamance Co. Det. Facility,"1,585","1,245",340,Alamance County,Alamance Co. Det. Facility
North Carolina,Union County - Union County Jail,"1,176",731,445,Union County,Union County Jail
North Carolina,Hertford County - Rivers Correctional Institution,"1,170",883,287,Hertford County,Rivers Correctional Institution
North Carolina,Durham County - Durham County Det. Center,"1,167",484,683,Durham County,Durham County Det. Center
North Carolina,Hertford County - Rivers Federal C.I.,"1,061",535,526,Hertford County,Rivers Federal C.I.
North Carolina,Henderson County - Henderson County Detention Faci,"1,057",749,308,Henderson County,Henderson County Detention Faci
North Carolina,Granville County - Butner Fed.Corr.Inst.,"1,039",627,412,Granville County,Butner Fed.Corr.Inst.
North Carolina,New Hanover County - New Hanover County Detention,748,303,445,New Hanover County,New Hanover County Detention
North Carolina,Guilford County - Guilford County Jail,628,252,376,Guilford County,Guilford County Jail
North Carolina,Johnston County - Johnston County Detention Center,566,296,270,Johnston County,Johnston County Detention Center
North Carolina,Robeson County - Robeson County Jail,546,269,277,Robeson County,Robeson County Jail
North Carolina,Catawba County - Catawba County Jail,536,253,283,Catawba County,Catawba County Jail
North Carolina,Pitt County - Pitt County Detention Center,451,166,285,Pitt County,Pitt County Detention Center
North Carolina,Iredell County - Iredell County Jail,424,178,246,Iredell County,Iredell County Jail
North Carolina,Orange County - Orange County Jail,407,218,189,Orange County,Orange County Jail
North Carolina,Mecklenburg County - Us Marshals Western District,381,71,310,Mecklenburg County,Us Marshals Western District
North Carolina,Duplin County - Duplin County Jail,362,155,207,Duplin County,Duplin County Jail
North Carolina,Randolph County - Randolph County Jail,354,216,138,Randolph County,Randolph County Jail
North Carolina,Buncombe County - Buncombe County Dr.,322,117,205,Buncombe County,Buncombe County Dr.
North Carolina,Rockingham County - Rockingham County Jail,292,116,176,Rockingham County,Rockingham County Jail
North Carolina,Brunswick County - Brunswick County Jail,278,125,153,Brunswick County,Brunswick County Jail
North Carolina,Harnett County - Hartnett County Jail,258,113,145,Harnett County,Hartnett County Jail
North Carolina,Rowan County - Rowan County Detention Center,248,107,141,Rowan County,Rowan County Detention Center
