State,Jurisdiction,All,Yes,No,County,Facility
North Dakota,All,638,379,259,All,All
North Dakota,Cass County - Cass County Jail,164,126,38,Cass County,Cass County Jail
North Dakota,"Cass County - Us Marshal's, Nd",96,36,60,Cass County,"Us Marshal's, Nd"
North Dakota,Ward County - Ward County Jail,49,32,17,Ward County,Ward County Jail
North Dakota,"Burleigh County - Nd State Penn Bismark, Nd",47,24,23,Burleigh County,"Nd State Penn Bismark, Nd"
North Dakota,Grand Forks County - Grand Forks County Correction,43,29,14,Grand Forks County,Grand Forks County Correction
North Dakota,"Burleigh County - Burleigh Co. Jail, Nd",41,28,13,Burleigh County,"Burleigh Co. Jail, Nd"
North Dakota,Williams County - Williams County Jail,34,22,12,Williams County,Williams County Jail
North Dakota,Morton County - Morton County Sheriff/Jail,31,9,22,Morton County,Morton County Sheriff/Jail
North Dakota,Stark County - Sw Multi-County Corr. Ctr,27,17,10,Stark County,Sw Multi-County Corr. Ctr
North Dakota,Barnes County - Barnes County Jail,17,11,6,Barnes County,Barnes County Jail
North Dakota,Traill County - Traill Co. Jail,17,5,12,Traill County,Traill Co. Jail
North Dakota,"Richland County - Richland Co. Jail, Nd",13,8,5,Richland County,"Richland Co. Jail, Nd"
North Dakota,"Stutsman County - Stutsman Co. Jail, Nd",13,6,7,Stutsman County,"Stutsman Co. Jail, Nd"
North Dakota,Grand Forks County - Grand Forks Hold Room,12,,12,Grand Forks County,Grand Forks Hold Room
North Dakota,Ramsey County - Devils Lake Law Enf Centr,12,10,2,Ramsey County,Devils Lake Law Enf Centr
North Dakota,Walsh County - Walsh County Jail,5,4,1,Walsh County,Walsh County Jail
North Dakota,"Mountrail County - Mountrail Co. Jail, Nd",5,3,2,Mountrail County,"Mountrail Co. Jail, Nd"
North Dakota,"Mercer County - Mercer Co. Jail, Nd",4,3,1,Mercer County,"Mercer Co. Jail, Nd"
North Dakota,Pierce County - Pierce County Jail,3,3,,Pierce County,Pierce County Jail
North Dakota,McKenzie County - Mckenzie County Sheriff/Jail,2,2,,McKenzie County,Mckenzie County Sheriff/Jail
North Dakota,Hettinger County - Nd State Penn New England Women,1,1,,Hettinger County,Nd State Penn New England Women
North Dakota,Pembina County - Pembina County Jail,1,,1,Pembina County,Pembina County Jail
North Dakota,Bottineau County - Bottineau Co. Nd Jail,1,,1,Bottineau County,Bottineau Co. Nd Jail
