State,Jurisdiction,All,Yes,No,County,Facility
Ohio,All,"26,079","14,467","11,612",All,All
Ohio,Franklin County - Franklin County Jail,"7,099","3,706","3,393",Franklin County,Franklin County Jail
Ohio,Mahoning County - Northeast Ohio Corr. Fac.,"3,763","2,180","1,583",Mahoning County,Northeast Ohio Corr. Fac.
Ohio,Hamilton County - Hamilton County Jail,"2,422","1,552",870,Hamilton County,Hamilton County Jail
Ohio,Butler County - Butler County Correctional Complex,"1,380",935,445,Butler County,Butler County Correctional Complex
Ohio,Montgomery County - Montgomery County,"1,148",664,484,Montgomery County,Montgomery County
Ohio,Mahoning County - Cca Northeast Oh Corrects,972,776,196,Mahoning County,Cca Northeast Oh Corrects
Ohio,Pickaway County - Correctional Reception,766,375,391,Pickaway County,Correctional Reception
Ohio,Clark County - Clark County Jail,588,320,268,Clark County,Clark County Jail
Ohio,Delaware County - Delaware County Jail,449,203,246,Delaware County,Delaware County Jail
Ohio,Columbiana County - Elkton Fed.Corr.Inst.,423,71,352,Columbiana County,Elkton Fed.Corr.Inst.
Ohio,Warren County - Warren County Jail,343,216,127,Warren County,Warren County Jail
Ohio,Cuyahoga County - Cuyahoga County Jail,305,127,178,Cuyahoga County,Cuyahoga County Jail
Ohio,Stark County - Stark County Jail,274,128,146,Stark County,Stark County Jail
Ohio,Franklin County - Us Marshals Service,272,82,190,Franklin County,Us Marshals Service
Ohio,Miami County - Miami County Jail,270,160,110,Miami County,Miami County Jail
Ohio,Lake County - Lake County Jail,261,121,140,Lake County,Lake County Jail
Ohio,Champaign County - Tri-County Jail,253,149,104,Champaign County,Tri-County Jail
Ohio,Tuscarawas County - Tuscarawas County Jail,209,121,88,Tuscarawas County,Tuscarawas County Jail
Ohio,Cuyahoga County - Cleveland Police Dept.,186,56,130,Cuyahoga County,Cleveland Police Dept.
Ohio,Huron County - Huron County Jail,184,92,92,Huron County,Huron County Jail
Ohio,Clermont County - Clermont County Jail,178,109,69,Clermont County,Clermont County Jail
Ohio,Marion County - Marion County Jail,174,134,40,Marion County,Marion County Jail
Ohio,Summit County - Summit County Jail,170,78,92,Summit County,Summit County Jail
Ohio,Licking County - Licking County Jail,151,73,78,Licking County,Licking County Jail
Ohio,Wayne County - Wayne County Jail,144,85,59,Wayne County,Wayne County Jail
Ohio,Fairfield County - Fairfield County Jail,144,91,53,Fairfield County,Fairfield County Jail
Ohio,Pickaway County - Pickaway County Jail,134,71,63,Pickaway County,Pickaway County Jail
Ohio,Lucas County - Lucas County Jail,116,49,67,Lucas County,Lucas County Jail
Ohio,Fayette County - Fayette County Jail,116,82,34,Fayette County,Fayette County Jail
Ohio,Williams County - Corr. Ctr Of Northwest Oh,110,76,34,Williams County,Corr. Ctr Of Northwest Oh
Ohio,Allen County - Allen County Jail,102,78,24,Allen County,Allen County Jail
Ohio,Lorain County - Lorain County Jail,102,37,65,Lorain County,Lorain County Jail
Ohio,Cuyahoga County - Us Marshals Service,99,38,61,Cuyahoga County,Us Marshals Service
Ohio,Hancock County - Hancock County Jail,94,48,46,Hancock County,Hancock County Jail
Ohio,Greene County - Greene County Jail,91,57,34,Greene County,Greene County Jail
Ohio,Clinton County - Clinton County Jail,85,52,33,Clinton County,Clinton County Jail
Ohio,Mahoning County - Mahoning County Jail,84,36,48,Mahoning County,Mahoning County Jail
Ohio,Shelby County - Shelby County,84,50,34,Shelby County,Shelby County
Ohio,Lorain County - Lorain Correctional,83,21,62,Lorain County,Lorain Correctional
Ohio,Scioto County - Scioto County Jail,76,51,25,Scioto County,Scioto County Jail
Ohio,Medina County - Medina County Jail,74,33,41,Medina County,Medina County Jail
Ohio,Seneca County - Seneca County Jail,71,41,30,Seneca County,Seneca County Jail
Ohio,Darke County - Darke County Jail,68,51,17,Darke County,Darke County Jail
Ohio,Wood County - Wood County Jail,67,31,36,Wood County,Wood County Jail
Ohio,Athens County - Southeast Ohio Regional Jail,67,49,18,Athens County,Southeast Ohio Regional Jail
Ohio,Trumbull County - Warren City Jail,65,40,25,Trumbull County,Warren City Jail
Ohio,Lake County - Mentor City Jail,62,28,34,Lake County,Mentor City Jail
Ohio,Sandusky County - Sandusky County Jail,60,35,25,Sandusky County,Sandusky County Jail
Ohio,Muskingum County - Muskingum County Jail,52,33,19,Muskingum County,Muskingum County Jail
Ohio,Morrow County - Morrow County Correctional Facilit,51,20,31,Morrow County,Morrow County Correctional Facilit
Ohio,Portage County - Portage County Jail,51,22,29,Portage County,Portage County Jail
Ohio,Putnam County - Putnam County Jail,48,37,11,Putnam County,Putnam County Jail
Ohio,Columbiana County - Columbiana County Jail,46,37,9,Columbiana County,Columbiana County Jail
Ohio,Richland County - Richland County Jail,46,21,25,Richland County,Richland County Jail
Ohio,Wyandot County - Wyandot County Jail,43,23,20,Wyandot County,Wyandot County Jail
Ohio,Cuyahoga County - Bedford Heights City Jail,43,18,25,Cuyahoga County,Bedford Heights City Jail
Ohio,Williams County - Williams County Jail,43,27,16,Williams County,Williams County Jail
Ohio,Crawford County - Crawford County Jail,41,20,21,Crawford County,Crawford County Jail
Ohio,Geauga County - Geauga County Jail,40,19,21,Geauga County,Geauga County Jail
Ohio,Belmont County - Belmont County Jail,40,12,28,Belmont County,Belmont County Jail
Ohio,Noble County - Noble Correctional Inst,40,21,19,Noble County,Noble Correctional Inst
Ohio,Guernsey County - Guernsey County Jail,37,29,8,Guernsey County,Guernsey County Jail
Ohio,Brown County - Brown County Jail,37,26,11,Brown County,Brown County Jail
Ohio,Franklin County - Orient Correctional Inst,34,4,30,Franklin County,Orient Correctional Inst
Ohio,Cuyahoga County - Lakewood City Jail,32,9,23,Cuyahoga County,Lakewood City Jail
Ohio,Union County - Reformatory For Women,31,9,22,Union County,Reformatory For Women
Ohio,Cuyahoga County - Parma City Jail,31,12,19,Cuyahoga County,Parma City Jail
Ohio,Ross County - Ross County Jail,29,16,13,Ross County,Ross County Jail
Ohio,Madison County - Madison Correctional,28,16,12,Madison County,Madison Correctional
Ohio,Cuyahoga County - Solon City Jail,28,16,12,Cuyahoga County,Solon City Jail
Ohio,Richland County - Richland Correctional,27,12,15,Richland County,Richland Correctional
Ohio,Mercer County - Mercer County Jail,26,17,9,Mercer County,Mercer County Jail
Ohio,Pickaway County - Pickaway Correctional,25,14,11,Pickaway County,Pickaway Correctional
Ohio,Madison County - London Correctional,25,14,11,Madison County,London Correctional
Ohio,Erie County - Erie County Jail,24,14,10,Erie County,Erie County Jail
Ohio,Trumbull County - Trumbull County Jail,23,13,10,Trumbull County,Trumbull County Jail
Ohio,Auglaize County - Auglaize County Jail,23,14,9,Auglaize County,Auglaize County Jail
Ohio,Ashland County - Ashland County Jail,23,6,17,Ashland County,Ashland County Jail
