State,Jurisdiction,All,Yes,No,County,Facility
Pennsylvania,All,"36,906","16,936","19,970",All,All
Pennsylvania,Centre County - Moshannon Valley Correctional,"8,697","4,112","4,585",Centre County,Moshannon Valley Correctional
Pennsylvania,Union County - Allenwood (Low) Fci,"2,656",192,"2,464",Union County,Allenwood (Low) Fci
Pennsylvania,Union County - Allenwood (Med) Fci,"2,475",578,"1,897",Union County,Allenwood (Med) Fci
Pennsylvania,Montgomery County - Montgomery County Jail,"1,689","1,250",439,Montgomery County,Montgomery County Jail
Pennsylvania,"Chester County - Chester Cnty Jail, Pa","1,395","1,081",314,Chester County,"Chester Cnty Jail, Pa"
Pennsylvania,McKean County - Mckean Fed.Corr.Inst.,"1,358",556,802,McKean County,Mckean Fed.Corr.Inst.
Pennsylvania,"Cumberland County - Camphill Sci, Pa","1,247",331,916,Cumberland County,"Camphill Sci, Pa"
Pennsylvania,Philadelphia County - Philadelphia Detention Ct,"1,111",818,293,Philadelphia County,Philadelphia Detention Ct
Pennsylvania,Wayne County - Usp Canaan,"1,106",267,839,Wayne County,Usp Canaan
Pennsylvania,"Bucks County - Bucks Cnty Jail, Pa","1,065",780,285,Bucks County,"Bucks Cnty Jail, Pa"
Pennsylvania,Union County - Lewisburg U.S. Pen.,886,148,738,Union County,Lewisburg U.S. Pen.
Pennsylvania,Schuylkill County - Schuylkill Fed.Corr.Inst.,843,224,619,Schuylkill County,Schuylkill Fed.Corr.Inst.
Pennsylvania,York County - York County Jail,747,357,390,York County,York County Jail
Pennsylvania,"Berks County - Berks County Jail, Pa",681,495,186,Berks County,"Berks County Jail, Pa"
Pennsylvania,Philadelphia County - Curran Fromhold Corr.Fac.,654,457,197,Philadelphia County,Curran Fromhold Corr.Fac.
Pennsylvania,Delaware County - Delaware County Jail,584,374,210,Delaware County,Delaware County Jail
Pennsylvania,"Lackawanna County - Lackawana Cnty Jail, Pa",563,274,289,Lackawanna County,"Lackawana Cnty Jail, Pa"
Pennsylvania,Philadelphia County - Fdc Philadelphia,507,162,345,Philadelphia County,Fdc Philadelphia
Pennsylvania,Union County - Allenwood U.S.Pen.,505,92,413,Union County,Allenwood U.S.Pen.
Pennsylvania,"Lehigh County - Lehigh County Jail, Pa",460,281,179,Lehigh County,"Lehigh County Jail, Pa"
Pennsylvania,Cambria County - Loretto Fed.Corr.Inst.,440,127,313,Cambria County,Loretto Fed.Corr.Inst.
Pennsylvania,Adams County - Adams County Adult C.C.,391,239,152,Adams County,Adams County Adult C.C.
Pennsylvania,Allegheny County - Allegheny County Jail,389,120,269,Allegheny County,Allegheny County Jail
Pennsylvania,Franklin County - Franklin County Jail,387,301,86,Franklin County,Franklin County Jail
Pennsylvania,Luzerne County - Luzerne County Jail,381,204,177,Luzerne County,Luzerne County Jail
Pennsylvania,"Dauphin County - Dauphin Cnty Jail, Pa",375,239,136,Dauphin County,"Dauphin Cnty Jail, Pa"
Pennsylvania,Philadelphia County - Philadelphia 1st Police Dist,365,256,109,Philadelphia County,Philadelphia 1st Police Dist
Pennsylvania,Philadelphia County - Philadelphia 25th Police Dis,357,248,109,Philadelphia County,Philadelphia 25th Police Dis
Pennsylvania,Philadelphia County - Philadelphia 15th Police Dis,329,231,98,Philadelphia County,Philadelphia 15th Police Dis
Pennsylvania,Northampton County - Northampton County Prison,277,163,114,Northampton County,Northampton County Prison
Pennsylvania,Monroe County - Monroe Co Jail,260,132,128,Monroe County,Monroe Co Jail
Pennsylvania,"Lancaster County - Lancaster Cnty Jail, Pa",248,154,94,Lancaster County,"Lancaster Cnty Jail, Pa"
Pennsylvania,"Philadelphia County - Roundhouse Phi, Pa",231,211,20,Philadelphia County,"Roundhouse Phi, Pa"
Pennsylvania,Philadelphia County - Philadelphia 18th Police Dis,229,165,64,Philadelphia County,Philadelphia 18th Police Dis
Pennsylvania,"Philadelphia County - Us Marshals, E.Dist.Pa",229,56,173,Philadelphia County,"Us Marshals, E.Dist.Pa"
Pennsylvania,Philadelphia County - Philadelphia 35th Police Dis,200,143,57,Philadelphia County,Philadelphia 35th Police Dis
Pennsylvania,Philadelphia County - Philadelphia District Office,177,98,79,Philadelphia County,Philadelphia District Office
Pennsylvania,"Cumberland County - Cumberland Cnty Jail, Pa",132,79,53,Cumberland County,"Cumberland Cnty Jail, Pa"
Pennsylvania,Philadelphia County - Philadelphia 9th Police Dist,117,78,39,Philadelphia County,Philadelphia 9th Police Dist
Pennsylvania,Pike County - Pike County Correctional Facility (J,94,37,57,Pike County,Pike County Correctional Facility (J
Pennsylvania,Clinton County - Clinton County Correctional Facil,94,37,57,Clinton County,Clinton County Correctional Facil
Pennsylvania,"Lebanon County - Lebanon Cnty Jail, Pa",93,68,25,Lebanon County,"Lebanon Cnty Jail, Pa"
Pennsylvania,"Montgomery County - Sci Graterford, Pa",85,11,74,Montgomery County,"Sci Graterford, Pa"
Pennsylvania,Philadelphia County - Riverside Corr. Facility,81,36,45,Philadelphia County,Riverside Corr. Facility
Pennsylvania,Schuylkill County - Schuylkill County Prison,76,49,27,Schuylkill County,Schuylkill County Prison
Pennsylvania,Northumberland County - Sci Coal Township,76,26,50,Northumberland County,Sci Coal Township
Pennsylvania,Somerset County - Sci Somerset,64,17,47,Somerset County,Sci Somerset
Pennsylvania,Forest County - S.C.I. Forest,62,14,48,Forest County,S.C.I. Forest
Pennsylvania,Erie County - Sci Albion,55,18,37,Erie County,Sci Albion
Pennsylvania,"Lackawanna County - Us Marshal Middle Dist., Pa",55,10,45,Lackawanna County,"Us Marshal Middle Dist., Pa"
Pennsylvania,Columbia County - Columbia County Jail,53,25,28,Columbia County,Columbia County Jail
Pennsylvania,Lycoming County - Sci Muncy,52,28,24,Lycoming County,Sci Muncy
Pennsylvania,Clearfield County - Sci Houtzdale,52,21,31,Clearfield County,Sci Houtzdale
Pennsylvania,Centre County - Centre Co Jail,51,29,22,Centre County,Centre Co Jail
Pennsylvania,Erie County - Erie County Jail,50,17,33,Erie County,Erie County Jail
Pennsylvania,Westmoreland County - Westmoreland County Jail,50,25,25,Westmoreland County,Westmoreland County Jail
Pennsylvania,"Cambria County - S.C.I., Cresson, Pa",47,18,29,Cambria County,"S.C.I., Cresson, Pa"
Pennsylvania,Fayette County - Sci Fayette,47,7,40,Fayette County,Sci Fayette
Pennsylvania,Somerset County - Sci Laurel Highlands,46,16,30,Somerset County,Sci Laurel Highlands
Pennsylvania,Bradford County - Bradford County Prison,46,28,18,Bradford County,Bradford County Prison
Pennsylvania,Wayne County - Sci Waymart,40,20,20,Wayne County,Sci Waymart
Pennsylvania,Huntingdon County - Sci Smithfield,36,8,28,Huntingdon County,Sci Smithfield
Pennsylvania,Susquehanna County - Susquehanna County Jail,35,22,13,Susquehanna County,Susquehanna County Jail
Pennsylvania,Indiana County - Sci Pine Grove,34,17,17,Indiana County,Sci Pine Grove
Pennsylvania,"Centre County - Sci Rockview, Pa",33,7,26,Centre County,"Sci Rockview, Pa"
Pennsylvania,"Allegheny County - Us Marshal Western Dist., Pa",30,8,22,Allegheny County,"Us Marshal Western Dist., Pa"
Pennsylvania,"Luzerne County - Sci Dallas, Pa",28,11,17,Luzerne County,"Sci Dallas, Pa"
Pennsylvania,"Westmoreland County - S.C.I., Greensburg, Pa",27,4,23,Westmoreland County,"S.C.I., Greensburg, Pa"
Pennsylvania,Greene County - Sci Greene,26,4,22,Greene County,Sci Greene
Pennsylvania,Mercer County - Srcf Mercer,26,13,13,Mercer County,Srcf Mercer
Pennsylvania,"Butler County - Butler County Jail, Pa",26,13,13,Butler County,"Butler County Jail, Pa"
Pennsylvania,Cambria County - Cambria County Jail,26,10,16,Cambria County,Cambria County Jail
Pennsylvania,"Mercer County - Mercer Co. Jail, Pa",23,12,11,Mercer County,"Mercer Co. Jail, Pa"
Pennsylvania,"Washington County - Washington Co. Jail, Pa",23,10,13,Washington County,"Washington Co. Jail, Pa"
Pennsylvania,"Dauphin County - Us Marshal-Harrisburg, Pa",22,3,19,Dauphin County,"Us Marshal-Harrisburg, Pa"
Pennsylvania,Schuylkill County - Sci Mahanoy,22,6,16,Schuylkill County,Sci Mahanoy
Pennsylvania,Perry County - Perry Co Prison,22,11,11,Perry County,Perry Co Prison
Pennsylvania,Lycoming County - Allenwood Fed.Prison Camp,20,1,19,Lycoming County,Allenwood Fed.Prison Camp
Pennsylvania,"Huntingdon County - Sci Huntingdon, Pa",20,4,16,Huntingdon County,"Sci Huntingdon, Pa"
Pennsylvania,Somerset County - Somerset County Jail,18,9,9,Somerset County,Somerset County Jail
Pennsylvania,Mifflin County - Mifflin County Correctional,17,8,9,Mifflin County,Mifflin County Correctional
Pennsylvania,Bedford County - Bedford County Jail,17,11,6,Bedford County,Bedford County Jail
Pennsylvania,Fayette County - Fayette County Jail,16,3,13,Fayette County,Fayette County Jail
Pennsylvania,"Clearfield County - Clearfield Co. Jail, Pa",15,8,7,Clearfield County,"Clearfield Co. Jail, Pa"
Pennsylvania,Lawrence County - Lawrence County Jail,15,6,9,Lawrence County,Lawrence County Jail
Pennsylvania,Delaware County - Sci Chester,15,7,8,Delaware County,Sci Chester
Pennsylvania,Snyder County - Snyder County Jail,15,4,11,Snyder County,Snyder County Jail
Pennsylvania,Lycoming County - Lycoming County Jail,15,8,7,Lycoming County,Lycoming County Jail
Pennsylvania,Blair County - Blair County Prison,14,4,10,Blair County,Blair County Prison
Pennsylvania,Carbon County - Carbon County Correctionl,13,7,6,Carbon County,Carbon County Correctionl
Pennsylvania,Allegheny County - S.C.I. At Pittsburg,13,4,9,Allegheny County,S.C.I. At Pittsburg
Pennsylvania,McKean County - Mckean County Jail,13,3,10,McKean County,Mckean County Jail
Pennsylvania,Luzerne County - Sci Retreat,13,4,9,Luzerne County,Sci Retreat
Pennsylvania,Huntingdon County - Huntingdon Cnty Jail,11,7,4,Huntingdon County,Huntingdon Cnty Jail
Pennsylvania,Schuylkill County - Sci Frackville,11,5,6,Schuylkill County,Sci Frackville
Pennsylvania,Crawford County - S.C.I. Cambridge Springs,10,1,9,Crawford County,S.C.I. Cambridge Springs
Pennsylvania,Wayne County - Wayne County Prison,9,4,5,Wayne County,Wayne County Prison
Pennsylvania,Wyoming County - Wyoming County Jail,8,5,3,Wyoming County,Wyoming County Jail
Pennsylvania,Northumberland County - Northumberland Co. Prison,8,8,,Northumberland County,Northumberland Co. Prison
Pennsylvania,Centre County - Sci Benner Township,6,2,4,Centre County,Sci Benner Township
Pennsylvania,Elk County - Elk County Prison,5,3,2,Elk County,Elk County Prison
Pennsylvania,Warren County - Warren County Jail,4,,4,Warren County,Warren County Jail
Pennsylvania,Tioga County - Potter County Prison,4,3,1,Tioga County,Potter County Prison
Pennsylvania,Juniata County - Juniata County Prison,4,4,,Juniata County,Juniata County Prison
Pennsylvania,Union County - Union County Prison,3,2,1,Union County,Union County Prison
Pennsylvania,Delaware County - Delaware Co. Juvi Center,3,3,,Delaware County,Delaware Co. Juvi Center
Pennsylvania,"Crawford County - Crawford County Jail, Pa",3,3,,Crawford County,"Crawford County Jail, Pa"
Pennsylvania,Potter County - Potter County Prison,3,1,2,Potter County,Potter County Prison
Pennsylvania,Union County - Allenwood Hold Room,2,,2,Union County,Allenwood Hold Room
Pennsylvania,"Jefferson County - Jefferson Co. Jail, Pa.",2,,2,Jefferson County,"Jefferson Co. Jail, Pa."
Pennsylvania,Philadelphia County - Youth Study Center,2,2,,Philadelphia County,Youth Study Center
Pennsylvania,Berks County - Berks County Family Shelter,1,1,,Berks County,Berks County Family Shelter
Pennsylvania,Berks County - Bethany Children's Home,1,,1,Berks County,Bethany Children's Home
Pennsylvania,Philadelphia County - Bop N East Regional Off,1,,1,Philadelphia County,Bop N East Regional Off
Pennsylvania,Clarion County - Clarion County Corrections,1,,1,Clarion County,Clarion County Corrections
Pennsylvania,Montour County - Montour County Prison,1,1,,Montour County,Montour County Prison
Pennsylvania,Delaware County - George W Hill Correctional Fac.,1,,1,Delaware County,George W Hill Correctional Fac.
Pennsylvania,Philadelphia County - Philadelphia 23rd Police Dis,1,,1,Philadelphia County,Philadelphia 23rd Police Dis
Pennsylvania,Berks County - Berks Co. Juvenile,1,1,,Berks County,Berks Co. Juvenile
