State,Jurisdiction,All,Yes,No,County,Facility
Puerto Rico,All,"1,582",838,744,All,All
Puerto Rico,San Juan County - Guaynabo Metropolitan Detention,780,261,519,San Juan County,Guaynabo Metropolitan Detention
Puerto Rico,Cidra County - Bayamon Regional Jail.,491,386,105,Cidra County,Bayamon Regional Jail.
Puerto Rico,Guaynabo County - Guaynabo DHS Holding Facility,96,54,42,Guaynabo County,Guaynabo DHS Holding Facility
Puerto Rico,Ponce County - Inst. Regional Del Sur,89,53,36,Ponce County,Inst. Regional Del Sur
Puerto Rico,"Arecibo County - Sabana Hoyos Inst.Ibo, P.",35,28,7,Arecibo County,"Sabana Hoyos Inst.Ibo, P."
Puerto Rico,Vega Alta County - Vega Alta Det. Facility,31,21,10,Vega Alta County,Vega Alta Det. Facility
Puerto Rico,Guayama County - Guayama Regional Jail,20,11,9,Guayama County,Guayama Regional Jail
Puerto Rico,Aguadillo County - Guerrero Penal Inst.,16,7,9,Aguadillo County,Guerrero Penal Inst.
Puerto Rico,Rio Grande County - Zarzal Correctional Inst.,11,10,1,Rio Grande County,Zarzal Correctional Inst.
Puerto Rico,Aguadillo County - Aguadilla Spc,8,6,2,Aguadillo County,Aguadilla Spc
Puerto Rico,San Juan County - Hogares Crea-San Jose,3,,3,San Juan County,Hogares Crea-San Jose
Puerto Rico,San Juan County - Oso Blanco State Peniten.,2,1,1,San Juan County,Oso Blanco State Peniten.
