State,Jurisdiction,All,Yes,No,County,Facility
South Carolina,All,"16,990","8,788","8,202",All,All
South Carolina,Charleston County - Charleston County Correctional,"3,561","2,659",902,Charleston County,Charleston County Correctional
South Carolina,Lexington County - Lexington County Jail,"1,583","1,162",421,Lexington County,Lexington County Jail
South Carolina,York County - York County Detention Center,"1,442","1,068",374,York County,York County Detention Center
South Carolina,Horry County - Horry County-J Ruben Long Det Cen,"1,308",551,757,Horry County,Horry County-J Ruben Long Det Cen
South Carolina,Greenville County - Greenville County Det Center,"1,080",401,679,Greenville County,Greenville County Det Center
South Carolina,Beaufort County - Beaufort County Det Center,940,235,705,Beaufort County,Beaufort County Det Center
South Carolina,Marlboro County - Bennettsville F.C.I.,756,281,475,Marlboro County,Bennettsville F.C.I.
South Carolina,Spartanburg County - Spartanburg County Det Center,634,156,478,Spartanburg County,Spartanburg County Det Center
South Carolina,Edgefield County - Edgefield Fed.Corr.Inst.,593,169,424,Edgefield County,Edgefield Fed.Corr.Inst.
South Carolina,Williamsburg County - Williamsburg F.C.I.,552,204,348,Williamsburg County,Williamsburg F.C.I.
South Carolina,Hampton County - Estill Fed.Corr.Inst.,496,217,279,Hampton County,Estill Fed.Corr.Inst.
South Carolina,Richland County - Richland County-A S Glenn Det Ce,451,197,254,Richland County,Richland County-A S Glenn Det Ce
South Carolina,Richland County - S.C. Dept Of Corrections,446,288,158,Richland County,S.C. Dept Of Corrections
South Carolina,Aiken County - Aiken County Det Center,382,205,177,Aiken County,Aiken County Det Center
South Carolina,Berkeley County - Berkeley County Det Center,242,82,160,Berkeley County,Berkeley County Det Center
South Carolina,Newberry County - Newberry County Jail,219,71,148,Newberry County,Newberry County Jail
South Carolina,Anderson County - Anderson County Det Center,170,36,134,Anderson County,Anderson County Det Center
South Carolina,"Greenville County - Us Marshals, Greenville, Sc",157,100,57,Greenville County,"Us Marshals, Greenville, Sc"
South Carolina,Lancaster County - Lancaster County Det Center,156,70,86,Lancaster County,Lancaster County Det Center
South Carolina,Jasper County - Jasper County Det Center,143,76,67,Jasper County,Jasper County Det Center
South Carolina,Saluda County - Saluda County Det Center,138,48,90,Saluda County,Saluda County Det Center
South Carolina,Dorchester County - Dorchester County Det Center,123,46,77,Dorchester County,Dorchester County Det Center
South Carolina,Oconee County - Oconee County Jail,116,34,82,Oconee County,Oconee County Jail
South Carolina,Georgetown County - Georgetown County Det Center,113,46,67,Georgetown County,Georgetown County Det Center
South Carolina,Darlington County - Darlington County Det Center,89,29,60,Darlington County,Darlington County Det Center
South Carolina,Cherokee County - Cherokee County Det Center,86,10,76,Cherokee County,Cherokee County Det Center
South Carolina,Florence County - Florence County Det Center,85,33,52,Florence County,Florence County Det Center
South Carolina,Orangeburg County - Orangeburg-Calhoun Reg Det Cen,74,34,40,Orangeburg County,Orangeburg-Calhoun Reg Det Cen
South Carolina,Pickens County - Pickens County Prison,71,26,45,Pickens County,Pickens County Prison
South Carolina,Edgefield County - Edgefield County Jail,69,36,33,Edgefield County,Edgefield County Jail
South Carolina,Clarendon County - Clarendon County Det Center,67,29,38,Clarendon County,Clarendon County Det Center
South Carolina,York County - Rock Hill Police Dept.,56,,56,York County,Rock Hill Police Dept.
South Carolina,Greenwood County - Greenwood County Det Center,55,10,45,Greenwood County,Greenwood County Det Center
South Carolina,Anderson County - Anderson City Jail,53,9,44,Anderson County,Anderson City Jail
South Carolina,Chester County - Chester County Det Center,50,27,23,Chester County,Chester County Det Center
South Carolina,Laurens County - Laurens County-R E Johnson Det Ce,49,11,38,Laurens County,Laurens County-R E Johnson Det Ce
South Carolina,"Florence County - Us Marshals, Florence, Sc",48,16,32,Florence County,"Us Marshals, Florence, Sc"
South Carolina,Chesterfield County - Chesterfield County Det Cent,48,16,32,Chesterfield County,Chesterfield County Det Cent
South Carolina,Colleton County - Colleton County Jail,43,8,35,Colleton County,Colleton County Jail
South Carolina,Allendale County - Allendale County Det Center,32,22,10,Allendale County,Allendale County Det Center
South Carolina,Sumter County - Sumter-Lee Reg Det Center,31,10,21,Sumter County,Sumter-Lee Reg Det Center
South Carolina,Fairfield County - Fairfield County Det Center,30,20,10,Fairfield County,Fairfield County Det Center
South Carolina,Kershaw County - Kershaw County Det Center,29,12,17,Kershaw County,Kershaw County Det Center
South Carolina,Abbeville County - Abbeville County Det Center,28,3,25,Abbeville County,Abbeville County Det Center
South Carolina,Dillon County - Dillon County Jail,15,3,12,Dillon County,Dillon County Jail
South Carolina,Williamsburg County - Williamsburg County Det. Cen,12,7,5,Williamsburg County,Williamsburg County Det. Cen
South Carolina,Marlboro County - Marlboro County Det Center,11,3,8,Marlboro County,Marlboro County Det Center
South Carolina,Barnwell County - Barnwell County Jail,10,5,5,Barnwell County,Barnwell County Jail
South Carolina,"Richland County - Us Marshals, Columbia Sc",10,,10,Richland County,"Us Marshals, Columbia Sc"
South Carolina,Marion County - Marion County Jail,9,3,6,Marion County,Marion County Jail
South Carolina,Dorchester County - Dorchester County Jail Annex,8,1,7,Dorchester County,Dorchester County Jail Annex
South Carolina,Hampton County - Hampton County Det Center,7,1,6,Hampton County,Hampton County Det Center
South Carolina,Union County - Union County Jail,6,1,5,Union County,Union County Jail
South Carolina,Richland County - Columbia Care Center,3,,3,Richland County,Columbia Care Center
South Carolina,Bamberg County - Bamberg County Det Center,3,1,2,Bamberg County,Bamberg County Det Center
South Carolina,McCormick County - Mccormick County Det Center,1,,1,McCormick County,Mccormick County Det Center
South Carolina,Richland County - Columbia Hold Room,1,,1,Richland County,Columbia Hold Room
