State,Jurisdiction,All,Yes,No,County,Facility
South Dakota,Minnehaha County - Minnehaha County Jail,911,612,299,Minnehaha County,Minnehaha County Jail
South Dakota,Minnehaha County - Minnehaha County Jail,911,612,299,Minnehaha County,Minnehaha County Jail
South Dakota,Minnehaha County - Minnehaha County Jail,911,612,299,Minnehaha County,Minnehaha County Jail
South Dakota,Minnehaha County - Minnehaha County Jail,911,612,299,Minnehaha County,Minnehaha County Jail
South Dakota,Minnehaha County - Minnehaha County Jail,911,612,299,Minnehaha County,Minnehaha County Jail
South Dakota,Minnehaha County - Minnehaha County Jail,911,612,299,Minnehaha County,Minnehaha County Jail
South Dakota,Minnehaha County - Minnehaha County Jail,911,612,299,Minnehaha County,Minnehaha County Jail
South Dakota,Minnehaha County - Minnehaha County Jail,911,612,299,Minnehaha County,Minnehaha County Jail
South Dakota,Minnehaha County - Minnehaha County Jail,911,612,299,Minnehaha County,Minnehaha County Jail
South Dakota,Bon Homme County - Springfield Corr. Fac Sd,64,33,31,Bon Homme County,Springfield Corr. Fac Sd
South Dakota,"Meade County - Meade Co. Jail, Sd",47,34,13,Meade County,"Meade Co. Jail, Sd"
South Dakota,"Lawrence County - Lawrence Co. Jail, Sd",43,29,14,Lawrence County,"Lawrence Co. Jail, Sd"
South Dakota,Brown County - Brown County Jail,43,16,27,Brown County,Brown County Jail
South Dakota,"Roberts County - Roberts Co. Jail, Sd",37,28,9,Roberts County,"Roberts Co. Jail, Sd"
South Dakota,Yankton County - Yankton Co. Jail Sd,32,25,7,Yankton County,Yankton Co. Jail Sd
South Dakota,Hughes County - Hughes Co. Jail,25,17,8,Hughes County,Hughes Co. Jail
South Dakota,Union County - Union County Jail,17,14,3,Union County,Union County Jail
South Dakota,"Hughes County - Us Marshals-Pierre, Sd",17,7,10,Hughes County,"Us Marshals-Pierre, Sd"
South Dakota,"Charles Mix County - Charles Mix Co. Jail, Sd",16,9,7,Charles Mix County,"Charles Mix Co. Jail, Sd"
South Dakota,"Pennington County - Us Marshals-Rapid City, Sd",14,6,8,Pennington County,"Us Marshals-Rapid City, Sd"
South Dakota,"Grant County - Grant Co. Jail, Sd",14,8,6,Grant County,"Grant Co. Jail, Sd"
South Dakota,Minnehaha County - Souix Falls Hold Room,13,1,12,Minnehaha County,Souix Falls Hold Room
South Dakota,"Tripp County - Tripp County Jail, Sd",13,8,5,Tripp County,"Tripp County Jail, Sd"
South Dakota,Marshall County - Marshall County Jail,13,1,12,Marshall County,Marshall County Jail
South Dakota,Fall River County - Fall River County Jail,8,5,3,Fall River County,Fall River County Jail
South Dakota,Yankton County - Yankton Fed.Prison Camp,7,2,5,Yankton County,Yankton Fed.Prison Camp
South Dakota,Clay County - Clay County Jail,7,4,3,Clay County,Clay County Jail
South Dakota,Pennington County - Rapid City Hold Room,6,1,5,Pennington County,Rapid City Hold Room
South Dakota,Brule County - Brule County Jail,5,4,1,Brule County,Brule County Jail
South Dakota,Faulk County - Faulk County Jail,3,2,1,Faulk County,Faulk County Jail
South Dakota,Minnehaha County - Minnehaha Juvenile Det Cn,2,1,1,Minnehaha County,Minnehaha Juvenile Det Cn
