State,Jurisdiction,All,Yes,No,County,Facility
Tennessee,All,"22,651","10,479","12,172",All,All
Tennessee,Davidson County - Davidson County Sheriff Facility,"6,885","5,174","1,711",Davidson County,Davidson County Sheriff Facility
Tennessee,Shelby County - Shelby Co. Sheriff Office,"2,577",972,"1,605",Shelby County,Shelby Co. Sheriff Office
Tennessee,Rutherford County - Rutherford County Sheriff,"1,227",276,951,Rutherford County,Rutherford County Sheriff
Tennessee,Hamilton County - Hamilton Co. Jail (Tenn),"1,093",425,668,Hamilton County,Hamilton Co. Jail (Tenn)
Tennessee,Shelby County - Memphis Fed.Corr.Inst.,938,278,660,Shelby County,Memphis Fed.Corr.Inst.
Tennessee,Knox County - Knox County Jail,844,67,777,Knox County,Knox County Jail
Tennessee,Knox County - Knox County Sheriff,779,492,287,Knox County,Knox County Sheriff
Tennessee,Sumner County - Sumner County Sheriff,508,151,357,Sumner County,Sumner County Sheriff
Tennessee,Hamblen County - Hamblen County Jail,460,212,248,Hamblen County,Hamblen County Jail
Tennessee,Montgomery County - Montgomery County Jail,403,85,318,Montgomery County,Montgomery County Jail
Tennessee,Robertson County - Robertson Co. Det.Center,402,114,288,Robertson County,Robertson Co. Det.Center
Tennessee,Madison County - Madison County Jail,399,177,222,Madison County,Madison County Jail
Tennessee,Blount County - Blount County Justice Ctr,377,209,168,Blount County,Blount County Justice Ctr
Tennessee,Bradley County - Bradley County Sheriff's Office,342,102,240,Bradley County,Bradley County Sheriff's Office
Tennessee,Williamson County - Williamson County Jail,290,99,191,Williamson County,Williamson County Jail
Tennessee,Sevier County - Sevier County Jail,288,134,154,Sevier County,Sevier County Jail
Tennessee,Warren County - Warren County Jail,287,98,189,Warren County,Warren County Jail
Tennessee,Bedford County - Bedford County Jail,267,73,194,Bedford County,Bedford County Jail
Tennessee,Loudon County - Loudon County Jail,252,171,81,Loudon County,Loudon County Jail
Tennessee,Washington County - Washington County Det. Ctr,227,93,134,Washington County,Washington County Det. Ctr
Tennessee,Maury County - Maury County Sheriff,198,57,141,Maury County,Maury County Sheriff
