State,Jurisdiction,All,Yes,No,County,Facility
Texas,All,"330,632","177,718","152,914",All,All
Texas,Harris County - Harris County Jail,"42,308","35,236","7,072",Harris County,Harris County Jail
Texas,Walker County - Huntsville State P.,"24,876","16,126","8,750",Walker County,Huntsville State P.
Texas,Travis County - Travis Cty Jail,"20,070","9,056","11,014",Travis County,Travis Cty Jail
Texas,Reeves County - Reeves County Det. Center,"18,555","7,182","11,373",Reeves County,Reeves County Det. Center
Texas,Hidalgo County - Hidalgo County Jail,"15,029","5,269","9,760",Hidalgo County,Hidalgo County Jail
Texas,Dallas County - Dallas County Jail,"14,350","10,218","4,132",Dallas County,Dallas County Jail
Texas,Bexar County - Bexar County Jail,"8,692","3,783","4,909",Bexar County,Bexar County Jail
Texas,Howard County - Bscc Flightline Unit,"8,669","4,908","3,761",Howard County,Bscc Flightline Unit
Texas,Garza County - Bscc Giles Darby Facility,"8,277","3,714","4,563",Garza County,Bscc Giles Darby Facility
Texas,Webb County - Webb County Jail,"7,955",268,"7,687",Webb County,Webb County Jail
Texas,Concho County - Eden Det Center,"6,658",867,"5,791",Concho County,Eden Det Center
Texas,Concho County - Ci Eden,"5,957","3,777","2,180",Concho County,Ci Eden
Texas,Bexar County - San Antonio (City Of) Magistrate,"5,146","3,627","1,519",Bexar County,San Antonio (City Of) Magistrate
Texas,Howard County - Bscc Cedar Hill Unit,"4,138","1,747","2,391",Howard County,Bscc Cedar Hill Unit
Texas,Williamson County - Williamson County Jail,"3,946","1,032","2,914",Williamson County,Williamson County Jail
Texas,Harris County - Tdc - Pam Lychner,"3,842","3,208",634,Harris County,Tdc
Texas,Reeves County - Reeves County Det. Center Iii,"3,662","2,208","1,454",Reeves County,Reeves County Det. Center Iii
Texas,Montgomery County - Montgomery County Jail,"3,521","2,747",774,Montgomery County,Montgomery County Jail
Texas,Harris County - Houston Police Dept.,"2,901","2,175",726,Harris County,Houston Police Dept.
Texas,El Paso County - El Paso County Jail (Tx),"2,806","2,147",659,El Paso County,El Paso County Jail (Tx)
Texas,Willacy County - Ci Willacy,"2,782",226,"2,556",Willacy County,Ci Willacy
Texas,Tarrant County - Tarrant County Jail,"2,721","1,814",907,Tarrant County,Tarrant County Jail
Texas,McLennan County - Mclennan County Jail,"2,620",901,"1,719",McLennan County,Mclennan County Jail
Texas,Bee County - Garza West Transfer Facility,"2,558",983,"1,575",Bee County,Garza West Transfer Facility
Texas,Walker County - Holliday Transfer Unit,"2,532","1,154","1,378",Walker County,Holliday Transfer Unit
Texas,Dallas County - Irving Police Dept.,"2,527","2,050",477,Dallas County,Irving Police Dept.
Texas,"Cameron County - Candadian County, El Reno","2,422","1,039","1,383",Cameron County,"Candadian County, El Reno"
Texas,Fort Bend County - Ft. Bend County Jail,"2,086","1,089",997,Fort Bend County,Ft. Bend County Jail
Texas,Harris County - Houston Police Dept. (Southeast),"2,080","1,841",239,Harris County,Houston Police Dept. (Southeast)
Texas,"Hidalgo County - US Marshalls, Southern District T","2,075",193,"1,882",Hidalgo County,"US Marshalls, Southern District T"
Texas,Howard County - Bscc Airpark Unit,"2,048",869,"1,179",Howard County,Bscc Airpark Unit
Texas,Val Verde County - Val Verde Detention Center,"2,044",370,"1,674",Val Verde County,Val Verde Detention Center
Texas,Collin County - Collin County Jail,"2,027","1,219",808,Collin County,Collin County Jail
Texas,Starr County - Starr County Jail,"1,943",846,"1,097",Starr County,Starr County Jail
Texas,Denton County - Denton County Jail,"1,927","1,343",584,Denton County,Denton County Jail
Texas,"Harris County - Us Marshal, Southern District, Tx","1,877",134,"1,743",Harris County,"Us Marshal, Southern District, Tx"
Texas,Bell County - Bell County Jail,"1,756",363,"1,393",Bell County,Bell County Jail
Texas,Cameron County - Brownsville Police Dept.,"1,725","1,035",690,Cameron County,Brownsville Police Dept.
Texas,Howard County - Big Spring Fed.Corr.Inst.,"1,687",214,"1,473",Howard County,Big Spring Fed.Corr.Inst.
Texas,Howard County - Bscc Interstate Unit,"1,503",609,894,Howard County,Bscc Interstate Unit
Texas,"Bexar County - Us Marshals,west.Dist.,tx","1,480","1,015",465,Bexar County,"Us Marshals,west.Dist.,tx"
Texas,Tarrant County - Arlington Police Dept.,"1,478","1,167",311,Tarrant County,Arlington Police Dept.
Texas,Brazos County - Brazos County Jail,"1,439","1,148",291,Brazos County,Brazos County Jail
Texas,Harris County - Fdc Houston,"1,369",830,539,Harris County,Fdc Houston
Texas,"Webb County - Us Marshals, S. Dist.,tx","1,360",260,"1,100",Webb County,"Us Marshals, S. Dist.,tx"
Texas,Comal County - Comal Cty Jail,"1,352",710,642,Comal County,Comal Cty Jail
Texas,Midland County - Midland Detention Center,"1,338",423,915,Midland County,Midland Detention Center
Texas,Taylor County - Texas Doc - Middleton Unit,"1,260",474,786,Taylor County,Texas Doc
Texas,Bastrop County - Bastrop County Jail,"1,194",288,906,Bastrop County,Bastrop County Jail
Texas,"Jefferson County - Beaumont Fcc, Medium","1,180",704,476,Jefferson County,"Beaumont Fcc, Medium"
Texas,Anderson County - Gurney Transfer Facility,"1,173",463,710,Anderson County,Gurney Transfer Facility
Texas,Hidalgo County - Mission Police Dept.,"1,101",633,468,Hidalgo County,Mission Police Dept.
Texas,Harris County - Pasadena Police Dept.,"1,069",896,173,Harris County,Pasadena Police Dept.
Texas,Denton County - Carrollton Police Dept.,"1,040",793,247,Denton County,Carrollton Police Dept.
Texas,Cameron County - Us Marshals Sdtx,981,134,847,Cameron County,Us Marshals Sdtx
Texas,Brazoria County - Brazoria County Det. Ctr,932,726,206,Brazoria County,Brazoria County Det. Ctr
Texas,Lubbock County - Lubbock County Jail,887,310,577,Lubbock County,Lubbock County Jail
Texas,Dallas County - Grand Prairie City Jail,886,674,212,Dallas County,Grand Prairie City Jail
Texas,Guadalupe County - Guadalupe Cty Jail,864,467,397,Guadalupe County,Guadalupe Cty Jail
Texas,Tarrant County - Carswell Fed.Med.Ctr,863,536,327,Tarrant County,Carswell Fed.Med.Ctr
Texas,Tom Green County - Tom Green City Jail,846,101,745,Tom Green County,Tom Green City Jail
Texas,Hidalgo County - Edinburg Police Department,841,489,352,Hidalgo County,Edinburg Police Department
Texas,Hays County - Hays Cty Jail,836,249,587,Hays County,Hays Cty Jail
Texas,Harris County - Houston Field Office Holding Room,833,641,192,Harris County,Houston Field Office Holding Room
Texas,Garza County - Dalby Correctional Institute,828,639,189,Garza County,Dalby Correctional Institute
Texas,Ector County - Ector County Law Enforcement,822,316,506,Ector County,Ector County Law Enforcement
Texas,Jefferson County - Jefferson County Jail,807,575,232,Jefferson County,Jefferson County Jail
Texas,Denton County - Lewisville Police Dept.,754,574,180,Denton County,Lewisville Police Dept.
Texas,Hidalgo County - Alamo Police Dept.,753,482,271,Hidalgo County,Alamo Police Dept.
Texas,Gonzales County - Gonzales County Jail,706,429,277,Gonzales County,Gonzales County Jail
Texas,Titus County - Titus County Jail,702,257,445,Titus County,Titus County Jail
Texas,Tarrant County - Mansfield L.E. Center,693,435,258,Tarrant County,Mansfield L.E. Center
Texas,Galveston County - Galveston County Sheriff,692,489,203,Galveston County,Galveston County Sheriff
Texas,Jefferson County - Beaumont Federal Prison,673,348,325,Jefferson County,Beaumont Federal Prison
Texas,Hidalgo County - Pharr Police Dept.,661,404,257,Hidalgo County,Pharr Police Dept.
Texas,Tarrant County - Ft Worth Police Dept.,652,462,190,Tarrant County,Ft Worth Police Dept.
Texas,Live Oak County - Three Rivers Fci,595,116,479,Live Oak County,Three Rivers Fci
Texas,"Jefferson County - Beaumont Fcc, Low",588,185,403,Jefferson County,"Beaumont Fcc, Low"
Texas,Dallas County - Garland Police Dept.,564,392,172,Dallas County,Garland Police Dept.
Texas,Collin County - Plano Police Dept.,558,370,188,Collin County,Plano Police Dept.
Texas,Kerr County - Kerr County Jail,558,310,248,Kerr County,Kerr County Jail
Texas,Dallas County - Farmers Branch Pol. Dept.,552,454,98,Dallas County,Farmers Branch Pol. Dept.
Texas,Tarrant County - Fort Worth Fed.Med.Center,537,90,447,Tarrant County,Fort Worth Fed.Med.Center
Texas,Nacogdoches County - Nacogdoches County Jail,536,407,129,Nacogdoches County,Nacogdoches County Jail
Texas,Dallas County - Richardson Police Dept.,532,429,103,Dallas County,Richardson Police Dept.
Texas,Harris County - Houston Contract Detention Facilit,524,348,176,Harris County,Houston Contract Detention Facilit
Texas,Polk County - Polk County Jail,524,240,284,Polk County,Polk County Jail
Texas,Maverick County - Maverick County Jail,515,31,484,Maverick County,Maverick County Jail
Texas,Cameron County - Harlingen Police Department,487,249,238,Cameron County,Harlingen Police Department
Texas,Smith County - Smith County Jail,474,204,270,Smith County,Smith County Jail
Texas,Walker County - Texas Dcj - Goree Unit,463,154,309,Walker County,Texas Dcj
Texas,Potter County - Potter County Jail,461,133,328,Potter County,Potter County Jail
