State,Jurisdiction,All,Yes,No,County,Facility
Utah,Salt Lake County - Salt Lake County Jail,"7,654","5,722","1,932",Salt Lake County,Salt Lake County Jail
Utah,Salt Lake County - Salt Lake County Jail,"7,654","5,722","1,932",Salt Lake County,Salt Lake County Jail
Utah,Salt Lake County - Salt Lake County Jail,"7,654","5,722","1,932",Salt Lake County,Salt Lake County Jail
Utah,Salt Lake County - Salt Lake County Jail,"7,654","5,722","1,932",Salt Lake County,Salt Lake County Jail
Utah,Salt Lake County - Salt Lake County Jail,"7,654","5,722","1,932",Salt Lake County,Salt Lake County Jail
Utah,Salt Lake County - Salt Lake County Jail,"7,654","5,722","1,932",Salt Lake County,Salt Lake County Jail
Utah,Salt Lake County - Salt Lake County Jail,"7,654","5,722","1,932",Salt Lake County,Salt Lake County Jail
Utah,Salt Lake County - Salt Lake County Jail,"7,654","5,722","1,932",Salt Lake County,Salt Lake County Jail
Utah,Salt Lake County - Salt Lake County Jail,"7,654","5,722","1,932",Salt Lake County,Salt Lake County Jail
Utah,Salt Lake County - Salt Lake County Jail,"7,654","5,722","1,932",Salt Lake County,Salt Lake County Jail
Utah,Salt Lake County - Salt Lake County Jail,"7,654","5,722","1,932",Salt Lake County,Salt Lake County Jail
Utah,Uintah County - Uintah County Jail,169,80,89,Uintah County,Uintah County Jail
Utah,Millard County - Millard Co. Jail,145,74,71,Millard County,Millard Co. Jail
Utah,Juab County - Juab County Jail,134,91,43,Juab County,Juab County Jail
Utah,Wasatch County - Wasatch County Jail,128,74,54,Wasatch County,Wasatch County Jail
Utah,Box Elder County - Box Elder Co. Jail,121,84,37,Box Elder County,Box Elder Co. Jail
Utah,Sevier County - Sevier County Jail,109,42,67,Sevier County,Sevier County Jail
Utah,Sanpete County - Sanpete County Jail,87,49,38,Sanpete County,Sanpete County Jail
Utah,Salt Lake County - Salt Lake City Hold Room,45,14,31,Salt Lake County,Salt Lake City Hold Room
Utah,Kane County - Kane County Jail,36,24,12,Kane County,Kane County Jail
Utah,Beaver County - Beaver County Jail,31,25,6,Beaver County,Beaver County Jail
Utah,Garfield County - Garfield County Jail,13,8,5,Garfield County,Garfield County Jail
Utah,Salt Lake County - Salt Lake County - Oxbow,10,3,7,Salt Lake County,Salt Lake County
Utah,Salt Lake County - Salt Lake Valley Juvenile,8,5,3,Salt Lake County,Salt Lake Valley Juvenile
Utah,Washington County - St. George Hold Room,1,1,,Washington County,St. George Hold Room
Utah,Weber County - Ogden Hold Room,1,1,,Weber County,Ogden Hold Room
