State,Jurisdiction,All,Yes,No,County,Facility
Virginia,All,"35,146","24,351","10,795",All,All
Virginia,Manassas City - Prince William Facility,"6,835","5,772","1,063",Manassas City,Prince William Facility
Virginia,Fairfax City - Fairfax County Jail,"5,096","4,062","1,034",Fairfax City,Fairfax County Jail
Virginia,Chesterfield County - Chesterfield Co. Jail,"1,768","1,064",704,Chesterfield County,Chesterfield Co. Jail
Virginia,Arlington County - Arlington County Jail,"1,705","1,379",326,Arlington County,Arlington County Jail
Virginia,Loudoun County - Loudoun County,"1,467","1,255",212,Loudoun County,Loudoun County
Virginia,Richmond City - Richmond City Jail,"1,253",658,595,Richmond City,Richmond City Jail
Virginia,Fairfax City - Fairfax Co. Adult Detention Center,"1,227",990,237,Fairfax City,Fairfax Co. Adult Detention Center
Virginia,Alexandria City - Alexandria City Jail,"1,166",778,388,Alexandria City,Alexandria City Jail
Virginia,Richmond City - Henrico County Jail,"1,119",719,400,Richmond City,Henrico County Jail
Virginia,Fredericksburg City - Rapp Sec Center,"1,110",868,242,Fredericksburg City,Rapp Sec Center
Virginia,Richmond City - Va. Dept Of Corrections,992,737,255,Richmond City,Va. Dept Of Corrections
Virginia,"Alexandria City - Us Marshals, E. Dist. Va",879,260,619,Alexandria City,"Us Marshals, E. Dist. Va"
Virginia,Virginia Beach City - Virginia Beach,855,471,384,Virginia Beach City,Virginia Beach
Virginia,Winchester City - Northwest Regional Adult Detenti,790,413,377,Winchester City,Northwest Regional Adult Detenti
Virginia,Rockingham County - Rockingham County Jail,666,443,223,Rockingham County,Rockingham County Jail
Virginia,Roanoke City - Roanoke City Jail,609,375,234,Roanoke City,Roanoke City Jail
Virginia,Lee County - U.S.P. Lee,519,163,356,Lee County,U.S.P. Lee
Virginia,Lee County - U.S.P. Lee,519,163,356,Lee County,U.S.P. Lee
Virginia,Charlottesville City - Albemarle-Charlottsville,441,229,212,Charlottesville City,Albemarle-Charlottsville
Virginia,Chesapeake City - Chesapeake City Jail,411,280,131,Chesapeake City,Chesapeake City Jail
Virginia,Newport News City - Newport News City Jail,392,211,181,Newport News City,Newport News City Jail
Virginia,Pulaski County - New River Valley Reg. Jail,372,229,143,Pulaski County,New River Valley Reg. Jail
Virginia,Hanover County - Pamunkey Reg Jail,341,170,171,Hanover County,Pamunkey Reg Jail
Virginia,Petersburg City - Petersburg Fed.Corr.Inst.,336,113,223,Petersburg City,Petersburg Fed.Corr.Inst.
Virginia,Williamsburg City - Virginia Peninsula Regional Ja,336,210,126,Williamsburg City,Virginia Peninsula Regional Ja
Virginia,Culpeper County - Culpeper Co. Adult Det. Center,274,127,147,Culpeper County,Culpeper Co. Adult Det. Center
Virginia,Accomack County - Accomack County Jail,215,128,87,Accomack County,Accomack County Jail
Virginia,"Richmond City - Us Marshal-Richmond, Va",214,72,142,Richmond City,"Us Marshal-Richmond, Va"
Virginia,Prince George County - Riverside Regional Jail,213,134,79,Prince George County,Riverside Regional Jail
Virginia,Orange County - Central Virginia Regional Jail,203,93,110,Orange County,Central Virginia Regional Jail
Virginia,Fauquier County - Fauquier County Adult Det. Ctr,198,166,32,Fauquier County,Fauquier County Adult Det. Ctr
Virginia,Salem City - Roanoke City Jail,196,132,64,Salem City,Roanoke City Jail
Virginia,Staunton City - Middle River Regional Jail,170,79,91,Staunton City,Middle River Regional Jail
Virginia,"Norfolk City - Us Marshal-Norfolk, Va",166,51,115,Norfolk City,"Us Marshal-Norfolk, Va"
Virginia,Montgomery County - Montgomery County Jail,157,99,58,Montgomery County,Montgomery County Jail
Virginia,Martinsville City - Henry County Jail,147,82,65,Martinsville City,Henry County Jail
Virginia,Shenandoah County - Shenandoah County Jail,105,67,38,Shenandoah County,Shenandoah County Jail
Virginia,Danville City - Danville City Jail,89,48,41,Danville City,Danville City Jail
Virginia,Hampton City - Hampton City Jail,87,50,37,Hampton City,Hampton City Jail
Virginia,Franklin County - Franklin County Jail,85,60,25,Franklin County,Franklin County Jail
Virginia,Lexington City - Rockbridge,85,45,40,Lexington City,Rockbridge
Virginia,Lynchburg City - B.R.R.J. Lynchburg,79,55,24,Lynchburg City,B.R.R.J. Lynchburg
Virginia,Richmond County - Northern Neck Reg. Jail,79,50,29,Richmond County,Northern Neck Reg. Jail
Virginia,Prince Edward County - Piedmont Regional Jail,77,42,35,Prince Edward County,Piedmont Regional Jail
Virginia,"Roanoke City - Us Marshals, W. Dist. Va",70,18,52,Roanoke City,"Us Marshals, W. Dist. Va"
Virginia,Portsmouth City - Hampton Roads Regional Jail,70,30,40,Portsmouth City,Hampton Roads Regional Jail
Virginia,Washington County - B.R.R.J. Abingdon,68,49,19,Washington County,B.R.R.J. Abingdon
Virginia,Northampton County - Eastern Shore Regional Jail,64,43,21,Northampton County,Eastern Shore Regional Jail
Virginia,Salem City - Western Virginia Regional Jail,61,40,21,Salem City,Western Virginia Regional Jail
Virginia,Suffolk City - Western Tidewater Reg. Jail,57,36,21,Suffolk City,Western Tidewater Reg. Jail
Virginia,Bristol City - Bristol City Jail,49,26,23,Bristol City,Bristol City Jail
Virginia,Scott County - B.R.R.J. Duffield,46,34,12,Scott County,B.R.R.J. Duffield
Virginia,Bedford City - B.R.R.J. Bedford,46,31,15,Bedford City,B.R.R.J. Bedford
Virginia,Fairfax City - Washington Field Office Holding Fac,42,21,21,Fairfax City,Washington Field Office Holding Fac
Virginia,Botetourt County - Botetourt County Jail,42,24,18,Botetourt County,Botetourt County Jail
Virginia,Campbell County - B.R.R.J. Campbell,38,28,10,Campbell County,B.R.R.J. Campbell
Virginia,Portsmouth City - Portsmouth City Jail,34,19,15,Portsmouth City,Portsmouth City Jail
Virginia,Amherst County - Amherst County Jail,34,19,15,Amherst County,Amherst County Jail
Virginia,Pittsylvania County - Pittsylvania County Jail,33,16,17,Pittsylvania County,Pittsylvania County Jail
Virginia,Lee County - Southwest Regional Jail-Jonesville,30,16,14,Lee County,Southwest Regional Jail-Jonesville
Virginia,Martinsville City - Martinsville County Jail,29,20,9,Martinsville City,Martinsville County Jail
Virginia,Halifax County - B.R.R.J. Halifax,27,14,13,Halifax County,B.R.R.J. Halifax
Virginia,Middlesex County - Middle Peninsula Regional Jail,25,20,5,Middlesex County,Middle Peninsula Regional Jail
Virginia,Brunswick County - Meherrin River Regional Jail,25,18,7,Brunswick County,Meherrin River Regional Jail
Virginia,Winchester City - Clarke Fred'k Winch.,23,16,7,Winchester City,Clarke Fred'k Winch.
Virginia,Amherst County - Amherst Adult Detention Center,22,5,17,Amherst County,Amherst Adult Detention Center
Virginia,Covington City - Alleghany County Jail,20,10,10,Covington City,Alleghany County Jail
Virginia,Charlotte County - Charlotte County Jail,18,11,7,Charlotte County,Charlotte County Jail
Virginia,Patrick County - Patrick County Jail,17,10,7,Patrick County,Patrick County Jail
Virginia,Charlotte County - Charlotte Co. Sheriff,17,8,9,Charlotte County,Charlotte Co. Sheriff
Virginia,Prince Edward County - Farmville Detention Center,16,3,13,Prince Edward County,Farmville Detention Center
Virginia,Northampton County - Northampton County Jail,15,10,5,Northampton County,Northampton County Jail
Virginia,Tazewell County - B.R.R.J. Tazewell,15,8,7,Tazewell County,B.R.R.J. Tazewell
Virginia,Caroline County - Peumansend Creek Regional Jail,10,7,3,Caroline County,Peumansend Creek Regional Jail
Virginia,Goochland County - Powhatan Correctional Center,9,7,2,Goochland County,Powhatan Correctional Center
Virginia,Mecklenburg County - Mecklenburg County Sheriff,7,7,,Mecklenburg County,Mecklenburg County Sheriff
Virginia,Chesapeake City - St. Brides Correctional Center,7,3,4,Chesapeake City,St. Brides Correctional Center
Virginia,Southampton County - Southampton County Jail,6,3,3,Southampton County,Southampton County Jail
Virginia,Chesapeake City - Indian Creek Correctional Center,6,3,3,Chesapeake City,Indian Creek Correctional Center
Virginia,Staunton City - Augusta Co Jail,5,2,3,Staunton City,Augusta Co Jail
Virginia,Harrisonburg City - Harrisonburg Hold Room,4,2,2,Harrisonburg City,Harrisonburg Hold Room
Virginia,Dickenson County - B.R.R.J. Haysi,3,3,,Dickenson County,B.R.R.J. Haysi
Virginia,Appomattox County - Appomattox County Jail,3,2,1,Appomattox County,Appomattox County Jail
Virginia,Tazewell County - Tazewell Corr. Unit #31,3,1,2,Tazewell County,Tazewell Corr. Unit #31
Virginia,Danville City - Danville City Jail Farm,2,2,,Danville City,Danville City Jail Farm
Virginia,Bland County - Bland Correctional Center,2,1,1,Bland County,Bland Correctional Center
Virginia,Lee County - U.S.P. Lee Camp,2,,2,Lee County,U.S.P. Lee Camp
Virginia,Richmond City - US Catholic Conference of Bishops,2,1,1,Richmond City,US Catholic Conference of Bishops
Virginia,Alexandria City - Northern Virginia Juvenile Deten,2,1,1,Alexandria City,Northern Virginia Juvenile Deten
Virginia,Richmond City - Richmon Sub-Office Hold Room,2,1,1,Richmond City,Richmon Sub-Office Hold Room
Virginia,Botetourt County - Botetourt Corr. Center,2,1,1,Botetourt County,Botetourt Corr. Center
Virginia,Campbell County - Rustburg Corr. Unit #9,1,,1,Campbell County,Rustburg Corr. Unit #9
Virginia,Henry County - Patrick Henry Corr Unit #28,1,,1,Henry County,Patrick Henry Corr Unit #28
Virginia,Norfolk City - Norfolk Sub-Office Hold Room,1,1,,Norfolk City,Norfolk Sub-Office Hold Room
Virginia,Pittsylvania County - Greenrock Corr. Center,1,1,,Pittsylvania County,Greenrock Corr. Center
Virginia,Southampton County - Southampton Correctional Cent,1,,1,Southampton County,Southampton Correctional Cent
Virginia,Wise County - Wise Correctional Unit,1,,1,Wise County,Wise Correctional Unit
Virginia,Wise County - Wallens Ridge State Prison,1,1,,Wise County,Wallens Ridge State Prison
Virginia,Alexandria City - Northern Virginia Juvenile Deten,1,,1,Alexandria City,Northern Virginia Juvenile Deten
Virginia,Chesapeake City - Indian Creek Corr Center,1,,1,Chesapeake City,Indian Creek Corr Center
