State,Jurisdiction,All,Yes,No,County,Facility
Washington,All,"34,167","26,757","7,410",All,All
Washington,King County - King County Adult Jail,"3,602","2,684",918,King County,King County Adult Jail
Washington,Franklin County - Franklin County,"3,005","2,496",509,Franklin County,Franklin County
Washington,Yakima County - Yakima County Facility,"2,718","2,017",701,Yakima County,Yakima County Facility
Washington,Snohomish County - Snohomish County Jail,"2,546","2,143",403,Snohomish County,Snohomish County Jail
Washington,Pierce County - Pierce County Jail,"2,303","1,934",369,Pierce County,Pierce County Jail
Washington,Chelan County - Chelan Co. Regional Jail,"1,782","1,477",305,Chelan County,Chelan Co. Regional Jail
Washington,Benton County - Benton County,"1,647","1,288",359,Benton County,Benton County
Washington,Clark County - Clark County Jail,"1,589","1,220",369,Clark County,Clark County Jail
Washington,Grant County - Grant County,"1,089",849,240,Grant County,Grant County
Washington,King County - Seatac Federal Detention Center,920,476,444,King County,Seatac Federal Detention Center
Washington,"Mason County - State Prison, Shelton",919,510,409,Mason County,"State Prison, Shelton"
Washington,King County - Regional Justice Center,882,731,151,King County,Regional Justice Center
Washington,King County - Score-South Correctional Facility,864,596,268,King County,Score-South Correctional Facility
Washington,King County - Kent City Jail,846,737,109,King County,Kent City Jail
Washington,Yakima County - Sunnyside Jail,755,556,199,Yakima County,Sunnyside Jail
Washington,Cowlitz County - Cowlitz County Jail,612,496,116,Cowlitz County,Cowlitz County Jail
Washington,Lewis County - Lewis County Jail,579,501,78,Lewis County,Lewis County Jail
Washington,Snohomish County - Lynnwood City Jail,525,474,51,Snohomish County,Lynnwood City Jail
Washington,Kitsap County - Kitsap County Jail,480,444,36,Kitsap County,Kitsap County Jail
Washington,King County - Issaquah City Jail,443,399,44,King County,Issaquah City Jail
Washington,Yakima County - Yakima City Jail,403,326,77,Yakima County,Yakima City Jail
Washington,Mason County - Mason County Jail,362,321,41,Mason County,Mason County Jail
Washington,Skagit County - Skagit County Jail,300,249,51,Skagit County,Skagit County Jail
Washington,Thurston County - Thurston County Correctional Cen,295,248,47,Thurston County,Thurston County Correctional Cen
Washington,Walla Walla County - Walla Walla County,293,241,52,Walla Walla County,Walla Walla County
Washington,Whatcom County - Whatcom County Jail,266,206,60,Whatcom County,Whatcom County Jail
Washington,King County - Renton City Jail,266,256,10,King County,Renton City Jail
Washington,King County - South Correctional-Auburn,259,230,29,King County,South Correctional-Auburn
