State,Jurisdiction,All,Yes,No,County,Facility
West Virginia,Preston County - Usp Hazelton,"1,068",489,579,Preston County,Usp Hazelton
West Virginia,Preston County - Usp Hazelton,"1,068",489,579,Preston County,Usp Hazelton
West Virginia,Preston County - Usp Hazelton,"1,068",489,579,Preston County,Usp Hazelton
West Virginia,Preston County - Usp Hazelton,"1,068",489,579,Preston County,Usp Hazelton
West Virginia,Preston County - Usp Hazelton,"1,068",489,579,Preston County,Usp Hazelton
West Virginia,Preston County - Usp Hazelton,"1,068",489,579,Preston County,Usp Hazelton
West Virginia,Preston County - Usp Hazelton,"1,068",489,579,Preston County,Usp Hazelton
West Virginia,Preston County - Usp Hazelton,"1,068",489,579,Preston County,Usp Hazelton
West Virginia,Preston County - Usp Hazelton,"1,068",489,579,Preston County,Usp Hazelton
West Virginia,Braxton County - Central Regional Jail,36,10,26,Braxton County,Central Regional Jail
West Virginia,Raleigh County - Southern Regional Jail,33,17,16,Raleigh County,Southern Regional Jail
West Virginia,Cabell County - Western Regional Jail,27,13,14,Cabell County,Western Regional Jail
West Virginia,Marshall County - Northern Regional Jail,27,9,18,Marshall County,Northern Regional Jail
West Virginia,Doddridge County - North Central Regional Jail,24,11,13,Doddridge County,North Central Regional Jail
West Virginia,Greenbrier County - Alderson Fed. Prison Camp,16,5,11,Greenbrier County,Alderson Fed. Prison Camp
West Virginia,Monongalia County - Morgantown Fed.Corr.Inst.,15,1,14,Monongalia County,Morgantown Fed.Corr.Inst.
West Virginia,Randolph County - Huttonsville Correc. Ctr,14,7,7,Randolph County,Huttonsville Correc. Ctr
West Virginia,Barbour County - Tygart Regional Jail,10,4,6,Barbour County,Tygart Regional Jail
West Virginia,Hampshire County - Potomac Highlands Regional Jail,9,4,5,Hampshire County,Potomac Highlands Regional Jail
West Virginia,Randolph County - Randolph County Jail,8,3,5,Randolph County,Randolph County Jail
West Virginia,Logan County - Southwestern Regional Jail,6,3,3,Logan County,Southwestern Regional Jail
West Virginia,Ohio County - Ohio County Correctional Center,3,1,2,Ohio County,Ohio County Correctional Center
West Virginia,McDowell County - Mcdowell County Corrections,2,,2,McDowell County,Mcdowell County Corrections
West Virginia,Fayette County - Mt. Olive Correctional Center,1,1,,Fayette County,Mt. Olive Correctional Center
