State,Jurisdiction,All,Yes,No,County,Facility
Wisconsin,All,"8,470","5,750","2,720",All,All
Wisconsin,Milwaukee County - Milwaukee County Jail,"1,554",943,611,Milwaukee County,Milwaukee County Jail
Wisconsin,Dane County - Dane County Jail,998,802,196,Dane County,Dane County Jail
Wisconsin,Dodge County - Dodge Correctional Institute - Waup,570,266,304,Dodge County,Dodge Correctional Institute
Wisconsin,Brown County - Brown County Jail,469,352,117,Brown County,Brown County Jail
Wisconsin,Outagamie County - Outagamie County Jail,346,274,72,Outagamie County,Outagamie County Jail
Wisconsin,Kenosha County - Kenosha County Detention Center (,289,215,74,Kenosha County,Kenosha County Detention Center (
Wisconsin,Walworth County - Walworth County Jail,271,215,56,Walworth County,Walworth County Jail
Wisconsin,Rock County - Rock County Jail,259,210,49,Rock County,Rock County Jail
Wisconsin,Trempealeau County - Trempealeau County Jail,249,187,62,Trempealeau County,Trempealeau County Jail
Wisconsin,Racine County - Racine County Jail,238,168,70,Racine County,Racine County Jail
Wisconsin,Waukesha County - Waukesha County Jail,230,173,57,Waukesha County,Waukesha County Jail
Wisconsin,Jefferson County - Jefferson County Sheriff,214,140,74,Jefferson County,Jefferson County Sheriff
Wisconsin,Manitowoc County - Manitowoc County Jail,198,134,64,Manitowoc County,Manitowoc County Jail
Wisconsin,Dodge County - Dodge County Detention Facility (Ja,197,119,78,Dodge County,Dodge County Detention Facility (Ja
Wisconsin,Sheboygan County - Sheboygan County Detention Cent,196,162,34,Sheboygan County,Sheboygan County Detention Cent
Wisconsin,Sauk County - Sauk County Sheriff,177,149,28,Sauk County,Sauk County Sheriff
Wisconsin,Marquette County - Oxford Fed.Corr.Inst.,149,56,93,Marquette County,Oxford Fed.Corr.Inst.
Wisconsin,"Milwaukee County - Mil.County Corr, Franlin",132,105,27,Milwaukee County,"Mil.County Corr, Franlin"
Wisconsin,Marathon County - Marathon County Sheriff,120,76,44,Marathon County,Marathon County Sheriff
Wisconsin,Winnebago County - Winnebago County Sheriff,105,73,32,Winnebago County,Winnebago County Sheriff
Wisconsin,Racine County - Racine Correctional Institution,96,65,31,Racine County,Racine Correctional Institution
Wisconsin,"Milwaukee County - Us Marshall, Eastern Wi",87,29,58,Milwaukee County,"Us Marshall, Eastern Wi"
Wisconsin,Clark County - Clark County Sheriff,73,55,18,Clark County,Clark County Sheriff
Wisconsin,"Monroe County - Monroe County, Wisconsin",72,54,18,Monroe County,"Monroe County, Wisconsin"
Wisconsin,"Dane County - Us Marshall, Western Wi",65,14,51,Dane County,"Us Marshall, Western Wi"
Wisconsin,Lafayette County - Lafayette County Sheriff,55,44,11,Lafayette County,Lafayette County Sheriff
Wisconsin,Columbia County - Columbia County Sheriff,54,43,11,Columbia County,Columbia County Sheriff
Wisconsin,Wood County - Wood County Sheriff,46,34,12,Wood County,Wood County Sheriff
Wisconsin,Eau Claire County - Eau Claire County Jail,45,31,14,Eau Claire County,Eau Claire County Jail
Wisconsin,Taylor County - Taylor County Sheriff,44,32,12,Taylor County,Taylor County Sheriff
Wisconsin,Green County - Green County Sheriff,43,33,10,Green County,Green County Sheriff
Wisconsin,Chippewa County - Stanley Correctional Facility,40,13,27,Chippewa County,Stanley Correctional Facility
Wisconsin,Portage County - Portage County Sheriff,38,22,16,Portage County,Portage County Sheriff
Wisconsin,Juneau County - New Lisbon Correctional Inst.,36,25,11,Juneau County,New Lisbon Correctional Inst.
Wisconsin,Fond du Lac County - Fond Du Lac County Sheriff/Ja,36,19,17,Fond du Lac County,Fond Du Lac County Sheriff/Ja
Wisconsin,Calumet County - Calumet County Sheriff,32,21,11,Calumet County,Calumet County Sheriff
Wisconsin,Dunn County - Dunn County Sheriff,31,27,4,Dunn County,Dunn County Sheriff
Wisconsin,Winnebago County - Oshkosh Corrections Ctr,31,22,9,Winnebago County,Oshkosh Corrections Ctr
Wisconsin,Ozaukee County - Ozaukee County Jail,29,21,8,Ozaukee County,Ozaukee County Jail
Wisconsin,Iowa County - Iowa County Sheriff,29,18,11,Iowa County,Iowa County Sheriff
Wisconsin,Kenosha County - Kenosha County Pre-Trial Facility,29,23,6,Kenosha County,Kenosha County Pre-Trial Facility
Wisconsin,Grant County - Grant County Sheriff,28,23,5,Grant County,Grant County Sheriff
Wisconsin,Sheboygan County - Kettle Moraine Corr. Fac.,26,15,11,Sheboygan County,Kettle Moraine Corr. Fac.
Wisconsin,Dodge County - Fox Lake Correctional Ins,25,12,13,Dodge County,Fox Lake Correctional Ins
Wisconsin,Barron County - Barron County Sheriff/Jail,23,16,7,Barron County,Barron County Sheriff/Jail
Wisconsin,Waupaca County - Waupaca County Sheriff,21,10,11,Waupaca County,Waupaca County Sheriff
Wisconsin,"Jackson County - Jackson Co. Jail, Wi",20,12,8,Jackson County,"Jackson Co. Jail, Wi"
Wisconsin,Waushara County - Redgranite Corr. Institute,17,7,10,Waushara County,Redgranite Corr. Institute
Wisconsin,St. Croix County - St. Croix County Jail,17,10,7,St. Croix County,St. Croix County Jail
Wisconsin,Lincoln County - Lincoln County Sheriff,17,8,9,Lincoln County,Lincoln County Sheriff
Wisconsin,Chippewa County - Chippewa County Wisconsin,16,10,6,Chippewa County,Chippewa County Wisconsin
Wisconsin,La Crosse County - Lacrosse County Sheriff,15,11,4,La Crosse County,Lacrosse County Sheriff
Wisconsin,Door County - Door County Sheriff,15,14,1,Door County,Door County Sheriff
Wisconsin,Fond du Lac County - Taycheedah Correctional Facil,15,8,7,Fond du Lac County,Taycheedah Correctional Facil
Wisconsin,Milwaukee County - Milwaukee Hold Room,13,3,10,Milwaukee County,Milwaukee Hold Room
Wisconsin,Green Lake County - Green Lake County Sheriff,13,8,5,Green Lake County,Green Lake County Sheriff
Wisconsin,"Dodge County - Waupun C.I., Waupun",12,3,9,Dodge County,"Waupun C.I., Waupun"
Wisconsin,Polk County - Polk County Sheriff,11,8,3,Polk County,Polk County Sheriff
Wisconsin,Shawano County - Shawano County Sheriff,11,7,4,Shawano County,Shawano County Sheriff
Wisconsin,Crawford County - Prairie Du Chien C.I.,11,8,3,Crawford County,Prairie Du Chien C.I.
Wisconsin,Grant County - Wisconsin Secure Program Facility,11,3,8,Grant County,Wisconsin Secure Program Facility
Wisconsin,Pierce County - Pierce County Jail,10,6,4,Pierce County,Pierce County Jail
Wisconsin,Brown County - Greenbay Correctional Fac,10,2,8,Brown County,Greenbay Correctional Fac
Wisconsin,Jackson County - Jackson Correctional Institute,10,5,5,Jackson County,Jackson Correctional Institute
Wisconsin,Racine County - Racine Youthful Correction Center,9,5,4,Racine County,Racine Youthful Correction Center
Wisconsin,Buffalo County - Buffalo County Jail,9,7,2,Buffalo County,Buffalo County Jail
Wisconsin,Adams County - Adams County Sheriff,9,5,4,Adams County,Adams County Sheriff
Wisconsin,Oconto County - Oconto County Sheriff,9,5,4,Oconto County,Oconto County Sheriff
Wisconsin,Kewaunee County - Kewaunee County Sheriff,9,8,1,Kewaunee County,Kewaunee County Sheriff
Wisconsin,Oneida County - Oneida County Sheriff,9,6,3,Oneida County,Oneida County Sheriff
Wisconsin,Milwaukee County - Milwaukee Secure Det. Facility,9,1,8,Milwaukee County,Milwaukee Secure Det. Facility
Wisconsin,Juneau County - Juneau County Sheriff,8,7,1,Juneau County,Juneau County Sheriff
Wisconsin,Langlade County - Langlade County Sheriff,8,5,3,Langlade County,Langlade County Sheriff
Wisconsin,"Columbia County - Columbia Corr. Portage,wi",6,,6,Columbia County,"Columbia Corr. Portage,wi"
Wisconsin,Douglas County - Douglas Co. Wisconsin,6,4,2,Douglas County,Douglas Co. Wisconsin
Wisconsin,Vilas County - Vilas County Jail,5,5,,Vilas County,Vilas County Jail
Wisconsin,Rusk County - Rusk County Sheriff,5,3,2,Rusk County,Rusk County Sheriff
Wisconsin,Marinette County - Marinette County Sheriff,5,2,3,Marinette County,Marinette County Sheriff
Wisconsin,Washburn County - Washburn County Sheriff,4,2,2,Washburn County,Washburn County Sheriff
Wisconsin,Pepin County - Pepin County Jail,4,2,2,Pepin County,Pepin County Jail
Wisconsin,Vernon County - Vernon County Sheriff,3,3,,Vernon County,Vernon County Sheriff
Wisconsin,Ashland County - Ashland County Sheriff,3,2,1,Ashland County,Ashland County Sheriff
Wisconsin,Kenosha County - Kenosha County Sheriff's Dept,3,1,2,Kenosha County,Kenosha County Sheriff's Dept
Wisconsin,Dane County - Oak Hill Correctional Institution,3,1,2,Dane County,Oak Hill Correctional Institution
Wisconsin,Crawford County - Crawford County Sheriff,2,1,1,Crawford County,Crawford County Sheriff
Wisconsin,Bayfield County - Bayfield County Sheriff,1,1,,Bayfield County,Bayfield County Sheriff
Wisconsin,Outagamie County - Appleton Police Dept.,1,,1,Outagamie County,Appleton Police Dept.
Wisconsin,Iron County - Iron County Sheriff,1,1,,Iron County,Iron County Sheriff
