State,Jurisdiction,All,Yes,No,County,Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Teton County - Teton County Facility,845,525,320,Teton County,Teton County Facility
Wyoming,Sheridan County - Sheridan County Jail,30,15,15,Sheridan County,Sheridan County Jail
Wyoming,Washakie County - Washakie County Jail,30,21,9,Washakie County,Washakie County Jail
Wyoming,"Fremont County - Fremont County Jail, Wy",24,17,7,Fremont County,"Fremont County Jail, Wy"
Wyoming,Goshen County - Goshen County Jail,24,11,13,Goshen County,Goshen County Jail
Wyoming,"Big Horn County - Big Horn County Jail, Wy",22,14,8,Big Horn County,"Big Horn County Jail, Wy"
Wyoming,Lincoln County - Lincoln County Jail,21,16,5,Lincoln County,Lincoln County Jail
Wyoming,Johnson County - Johnson County Jail,18,6,12,Johnson County,Johnson County Jail
Wyoming,Goshen County - Wyoming Medium C.I.,12,7,5,Goshen County,Wyoming Medium C.I.
Wyoming,Crook County - Crook County Jail,8,5,3,Crook County,Crook County Jail
Wyoming,Weston County - Weston County Jail,6,3,3,Weston County,Weston County Jail
Wyoming,Fremont County - Wind River Reservation Pd,5,5,,Fremont County,Wind River Reservation Pd
Wyoming,Hot Springs County - Hot Springs County Jail,3,1,2,Hot Springs County,Hot Springs County Jail
Wyoming,Niobrara County - Niobrara County Jail,3,2,1,Niobrara County,Niobrara County Jail
Wyoming,Natrona County - Natrona Co. Juv. Det. Center,3,2,1,Natrona County,Natrona Co. Juv. Det. Center
Wyoming,Hot Springs County - Yellowstone National Park Jai,2,1,1,Hot Springs County,Yellowstone National Park Jai
